municipality,party,expected_N,total_N,point_estimate
Høje-Taastrup,A: Socialdemokratiet,8174.6035592348,33917.99999999997,0.24101077773556245
Høje-Taastrup,Did not vote,2025.9297203687813,33917.99999999997,0.05973022349103081
Høje-Taastrup,F: SF - Socialistisk Folkeparti,2883.5049193840996,33917.99999999997,0.08501400198667675
Høje-Taastrup,I: Liberal Alliance,2993.2677605753634,33917.99999999997,0.08825012561399156
Høje-Taastrup,M: Moderaterne,3770.2676324384356,33917.99999999997,0.11115831217755878
Høje-Taastrup,Other,1463.7167626096127,33917.99999999997,0.04315457169083124
Høje-Taastrup,Other - Left,3686.4940715981334,33917.99999999997,0.10868842713597902
Høje-Taastrup,Other - Right,3861.4768063935862,33917.99999999997,0.1138474204373368
Høje-Taastrup,V: Venstre,2979.365343919562,33917.99999999997,0.08784024246475512
Høje-Taastrup,Æ: Danmarksdemokraterne,2079.3734234776302,33917.99999999997,0.061305897266278435
Hørsholm,A: Socialdemokratiet,2938.5940322776623,17784.99999999999,0.1652287901196325
Hørsholm,Did not vote,465.32074066975144,17784.99999999999,0.026163662674711933
Hørsholm,F: SF - Socialistisk Folkeparti,1325.2249090106661,17784.99999999999,0.07451362996967484
Hørsholm,I: Liberal Alliance,635.6705932566716,17784.99999999999,0.03574195070321462
Hørsholm,M: Moderaterne,2619.94023929881,17784.99999999999,0.14731179304463377
Hørsholm,Other,549.7915084708061,17784.99999999999,0.030913213858352905
Hørsholm,Other - Left,2388.1042341585267,17784.99999999999,0.13427631341909071
Hørsholm,Other - Right,2251.19317131327,17784.99999999999,0.12657819349526406
Hørsholm,V: Venstre,4001.311656394713,17784.99999999999,0.22498238157968597
Hørsholm,Æ: Danmarksdemokraterne,609.8489151491224,17784.99999999999,0.03429007113573926
Ikast-Brande,A: Socialdemokratiet,7046.338680675027,28414.99999999997,0.24797954181506365
Ikast-Brande,Did not vote,1216.6466537487977,28414.99999999997,0.042817056264254756
Ikast-Brande,F: SF - Socialistisk Folkeparti,2061.6607320917983,28414.99999999997,0.07255536625345066
Ikast-Brande,I: Liberal Alliance,2068.629592899784,28414.99999999997,0.07280061914129107
Ikast-Brande,M: Moderaterne,3125.16822951432,28414.99999999997,0.10998304520550144
