party,point_estimate
A: Socialdemokratiet,0.24380190784688796
Other - Left,0.1352457949221117
M: Moderaterne,0.11771706341166709
V: Venstre,0.10970385946008643
Other - Right,0.10215162663725498
F: SF - Socialistisk Folkeparti,0.10014108788226593
I: Liberal Alliance,0.0666700613347518
Æ: Danmarksdemokraterne,0.05628450217919744
Did not vote,0.042310745272081306
Other,0.025973351053700654
