id;v7502;v7503
1204;1285;Eslöv
1205;1280;Malmö
1206;581;Norrköping
1207;1383;Varberg
1208;486;Strängnäs
1209;1481;Mölndal
1210;580;Linköping
1211;1880;Örebro
1212;480;Nyköping
1213;1080;Karlskrona
1214;1480;Göteborg
1215;1256;Östra Göinge
1216;180;Stockholm
1217;1480;Göteborg
1218;1485;Uddevalla
1219;180;Stockholm
1220;1980;Västerås
1221;1444;Grästorp
1222;180;Stockholm
1223;581;Norrköping
1224;163;Sollentuna
1225;1780;Karlstad
1226;580;Linköping
1227;1281;Lund
1228;2401;Nordmaling
1229;484;Eskilstuna
1230;821;Högsby
1231;2482;Skellefteå
1232;2482;Skellefteå
1233;1861;Hallsberg
1234;180;Stockholm
1235;1261;Kävlinge
1236;1384;Kungsbacka
1237;1499;Falköping
1238;1262;Lomma
1239;1444;Grästorp
1240;1480;Göteborg
1241;1480;Göteborg
1242;1984;Arboga
1243;380;Uppsala
1244;581;Norrköping
1245;1489;Alingsås
1246;380;Uppsala
1247;560;Boxholm
1248;380;Uppsala
1249;1281;Lund
1250;160;Täby
1251;1286;Ystad
1252;1276;Klippan
1253;1421;Orust
1254;2321;Åre
1255;1290;Kristianstad
1256;120;Värmdö
1257;2081;Borlänge
1258;180;Stockholm
1259;1280;Malmö
1260;1435;Tanum
1261;2580;Luleå
1262;685;Vetlanda
1263;680;Jönköping
1264;1442;Vårgårda
1265;180;Stockholm
1266;180;Stockholm
1267;1489;Alingsås
1268;123;Järfälla
1269;180;Stockholm
1270;182;Nacka
1271;1780;Karlstad
1272;1280;Malmö
1273;1441;Lerum
1274;1480;Göteborg
1275;1980;Västerås
1276;2309;Krokom
1277;1287;Trelleborg
1278;1481;Mölndal
1279;662;Gislaved
1280;1485;Uddevalla
1281;380;Uppsala
1282;1438;Dals-Ed
1283;1491;Ulricehamn
1284;1280;Malmö
1285;120;Värmdö
1286;2480;Umeå
1287;2480;Umeå
1288;1499;Falköping
1289;1280;Malmö
1290;1286;Ystad
1291;1275;Perstorp
1292;2480;Umeå
1293;2583;Haparanda
1294;1402;Partille
1295;1480;Göteborg
1296;1880;Örebro
1297;2180;Gävle
1298;186;Lidingö
1299;1884;Nora
1300;180;Stockholm
1301;1490;Borås
1302;1441;Lerum
1303;2580;Luleå
1304;160;Täby
1305;581;Norrköping
1306;1497;Hjo
1307;1280;Malmö
1308;140;Nykvarn
1309;581;Norrköping
1310;1080;Karlskrona
1311;1480;Göteborg
1312;1780;Karlstad
1313;764;Alvesta
1314;2161;Ljusdal
1315;580;Linköping
1316;1480;Göteborg
1317;2084;Avesta
1318;1263;Svedala
1319;126;Huddinge
1320;680;Jönköping
1321;1480;Göteborg
1322;180;Stockholm
1323;1441;Lerum
1324;180;Stockholm
1325;1280;Malmö
1326;1402;Partille
1327;1260;Bjuv
1328;180;Stockholm
1329;1280;Malmö
1330;380;Uppsala
1331;481;Oxelösund
1332;2284;Örnsköldsvik
1333;120;Värmdö
1334;580;Linköping
1335;1233;Vellinge
1336;483;Katrineholm
1337;1980;Västerås
1338;1278;Båstad
1339;780;Växjö
1340;1283;Helsingborg
1341;680;Jönköping
1342;682;Nässjö
1343;1480;Göteborg
1344;581;Norrköping
1345;2421;Storuman
1346;1290;Kristianstad
1347;1384;Kungsbacka
1348;1280;Malmö
1349;126;Huddinge
1350;580;Linköping
1351;1272;Bromölla
1352;180;Stockholm
1353;180;Stockholm
1354;2481;Lycksele
1355;1380;Halmstad
1356;2283;Sollefteå
1357;1480;Göteborg
1358;883;Västervik
1359;2183;Bollnäs
1360;1283;Helsingborg
1361;1265;Sjöbo
1362;1463;Mark
1363;2282;Kramfors
1364;1465;Svenljunga
1365;136;Haninge
1366;1280;Malmö
1367;480;Nyköping
1368;1480;Göteborg
1369;1780;Karlstad
1370;1283;Helsingborg
1371;330;Knivsta
1372;1287;Trelleborg
1373;509;Ödeshög
1374;2031;Rättvik
1375;123;Järfälla
1376;2510;Jokkmokk
1377;1480;Göteborg
1378;1781;Kristinehamn
1379;1290;Kristianstad
1380;1280;Malmö
1381;2084;Avesta
1382;2080;Falun
1383;484;Eskilstuna
1384;180;Stockholm
1385;680;Jönköping
1386;1287;Trelleborg
1387;1293;Hässleholm
1388;484;Eskilstuna
1389;2082;Säter
1390;1293;Hässleholm
1391;1980;Västerås
1392;484;Eskilstuna
1393;120;Värmdö
1394;2582;Boden
1395;180;Stockholm
1396;1293;Hässleholm
1397;192;Nynäshamn
1398;1780;Karlstad
1399;1495;Skara
1400;1435;Tanum
1401;182;Nacka
1402;1281;Lund
1403;1980;Västerås
1404;181;Södertälje
1405;125;Ekerö
1406;1480;Göteborg
1407;192;Nynäshamn
1408;180;Stockholm
1409;180;Stockholm
1410;1265;Sjöbo
1411;1283;Helsingborg
1412;1283;Helsingborg
1413;2182;Söderhamn
1414;583;Motala
1415;2260;Ånge
1416;1441;Lerum
1417;180;Stockholm
1418;1384;Kungsbacka
1419;2581;Piteå
1420;1278;Båstad
1421;1280;Malmö
1422;1880;Örebro
1423;1080;Karlskrona
1424;1981;Sala
1425;380;Uppsala
1426;380;Uppsala
1427;380;Uppsala
1428;834;Torsås
1429;1496;Skövde
1430;186;Lidingö
1431;136;Haninge
1432;138;Tyresö
1433;1480;Göteborg
1434;184;Solna
1435;2061;Smedjebacken
1436;2580;Luleå
1437;1783;Hagfors
1438;1491;Ulricehamn
1439;1081;Ronneby
1440;581;Norrköping
1441;188;Norrtälje
1442;687;Tranås
1443;128;Salem
1444;1863;Hällefors
1445;484;Eskilstuna
1446;117;Österåker
1447;1286;Ystad
1448;1080;Karlskrona
1449;1270;Tomelilla
1450;180;Stockholm
1451;1883;Karlskoga
1452;180;Stockholm
1453;180;Stockholm
1454;1766;Sunne
1455;764;Alvesta
1456;1292;Ängelholm
1457;1497;Hjo
1458;136;Haninge
1459;1980;Västerås
1460;180;Stockholm
1461;1780;Karlstad
1462;1980;Västerås
1463;1880;Örebro
1464;484;Eskilstuna
1465;1497;Hjo
1466;1380;Halmstad
1467;1283;Helsingborg
1468;192;Nynäshamn
1469;2180;Gävle
1470;980;Gotland
1471;2482;Skellefteå
1472;562;Finspång
1473;2281;Sundsvall
1474;1881;Kumla
1475;1766;Sunne
1476;180;Stockholm
1477;1480;Göteborg
1478;1480;Göteborg
1479;486;Strängnäs
1480;180;Stockholm
1481;2281;Sundsvall
1482;2480;Umeå
1483;1285;Eslöv
1484;2180;Gävle
1485;1737;Torsby
1486;780;Växjö
1487;580;Linköping
1488;2480;Umeå
1489;682;Nässjö
1490;180;Stockholm
1491;123;Järfälla
1492;1482;Kungälv
1493;1885;Lindesberg
1494;1285;Eslöv
1495;1380;Halmstad
1496;2180;Gävle
1497;127;Botkyrka
1498;684;Sävsjö
1499;180;Stockholm
1500;1488;Trollhättan
1501;1480;Göteborg
1502;1290;Kristianstad
1503;486;Strängnäs
1504;181;Södertälje
1505;1441;Lerum
1506;1290;Kristianstad
1507;180;Stockholm
1508;513;Kinda
1509;1465;Svenljunga
1510;117;Österåker
1511;1281;Lund
1512;1384;Kungsbacka
1513;123;Järfälla
1514;2303;Ragunda
1515;583;Motala
1516;1415;Stenungsund
1517;1383;Varberg
1518;1383;Varberg
1519;1485;Uddevalla
1520;2080;Falun
1521;2061;Smedjebacken
1522;180;Stockholm
1523;1463;Mark
1524;1481;Mölndal
1525;662;Gislaved
1526;1214;Svalöv
1527;763;Tingsryd
1528;2081;Borlänge
1529;580;Linköping
1530;1280;Malmö
1531;1880;Örebro
1532;586;Mjölby
1533;180;Stockholm
1534;2180;Gävle
1535;1489;Alingsås
1536;1435;Tanum
1537;2582;Boden
1538;486;Strängnäs
1539;2581;Piteå
1540;1863;Hällefors
1541;563;Valdemarsvik
1542;1490;Borås
1543;1381;Laholm
1544;2182;Söderhamn
1545;580;Linköping
1546;2161;Ljusdal
1547;680;Jönköping
1548;1380;Halmstad
1549;883;Västervik
1550;1290;Kristianstad
1551;1447;Gullspång
1552;1280;Malmö
1553;1419;Tjörn
1554;136;Haninge
1555;1480;Göteborg
1556;2081;Borlänge
1557;581;Norrköping
1558;1737;Torsby
1559;2482;Skellefteå
1560;381;Enköping
1561;1382;Falkenberg
1562;1281;Lund
1563;1415;Stenungsund
1564;1256;Östra Göinge
1565;160;Täby
1566;1231;Burlöv
1567;1883;Karlskoga
1568;181;Södertälje
1569;1763;Forshaga
1570;136;Haninge
1571;1430;Munkedal
1572;162;Danderyd
1573;1783;Hagfors
1574;2132;Nordanstig
1575;562;Finspång
1576;1480;Göteborg
1577;1880;Örebro
1578;884;Vimmerby
1579;305;Håbo
1580;780;Växjö
1581;1402;Partille
1582;1494;Lidköping
1583;1489;Alingsås
1584;2183;Bollnäs
1585;180;Stockholm
1586;1461;Mellerud
1587;180;Stockholm
1588;2161;Ljusdal
1589;2080;Falun
1590;2083;Hedemora
1591;1427;Sotenäs
1592;2580;Luleå
1593;1480;Göteborg
1594;1081;Ronneby
1595;1281;Lund
1596;581;Norrköping
1597;120;Värmdö
1598;1884;Nora
1599;182;Nacka
1600;1384;Kungsbacka
1601;581;Norrköping
1602;1276;Klippan
1603;484;Eskilstuna
1604;1494;Lidköping
1605;1290;Kristianstad
1606;180;Stockholm
1607;182;Nacka
1608;126;Huddinge
1609;780;Växjö
1610;180;Stockholm
1611;182;Nacka
1612;1280;Malmö
1613;380;Uppsala
1614;381;Enköping
1615;2180;Gävle
1616;484;Eskilstuna
1617;191;Sigtuna
1618;2039;Älvdalen
1619;181;Södertälje
1620;2281;Sundsvall
1621;331;Heby
1622;2523;Gällivare
1623;1480;Göteborg
1624;1484;Lysekil
1625;1465;Svenljunga
1626;2281;Sundsvall
1627;2083;Hedemora
1628;764;Alvesta
1629;1256;Östra Göinge
1630;163;Sollentuna
1631;1881;Kumla
1632;1480;Göteborg
1633;581;Norrköping
1634;1280;Malmö
1635;2482;Skellefteå
1636;1782;Filipstad
1637;1463;Mark
1638;182;Nacka
1639;1382;Falkenberg
1640;162;Danderyd
1641;181;Södertälje
1642;1287;Trelleborg
1643;123;Järfälla
1644;380;Uppsala
1645;180;Stockholm
1646;162;Danderyd
1647;1256;Östra Göinge
1648;662;Gislaved
1649;2584;Kiruna
1650;120;Värmdö
1651;139;Upplands-Bro
1652;1480;Göteborg
1653;2380;Östersund
1654;1285;Eslöv
1655;2081;Borlänge
1656;180;Stockholm
1657;860;Hultsfred
1658;2482;Skellefteå
1659;1880;Örebro
1660;1882;Askersund
1661;882;Oskarshamn
1662;180;Stockholm
1663;2580;Luleå
1664;1280;Malmö
1665;180;Stockholm
1666;862;Emmaboda
1667;2581;Piteå
1668;188;Norrtälje
1669;1280;Malmö
1670;180;Stockholm
1671;180;Stockholm
1672;2282;Kramfors
1673;1233;Vellinge
1674;180;Stockholm
1675;581;Norrköping
1676;2583;Haparanda
1677;180;Stockholm
1678;180;Stockholm
1679;2580;Luleå
1680;482;Flen
1681;1737;Torsby
1682;2181;Sandviken
1683;1278;Båstad
1684;1466;Herrljunga
1685;1880;Örebro
1686;115;Vallentuna
1687;643;Habo
1688;180;Stockholm
1689;1401;Härryda
1690;2580;Luleå
1691;1231;Burlöv
1692;1281;Lund
1693;191;Sigtuna
1694;1480;Göteborg
1695;685;Vetlanda
1696;1381;Laholm
1697;1880;Örebro
1698;1980;Västerås
1699;2281;Sundsvall
1700;1264;Skurup
1701;180;Stockholm
1702;483;Katrineholm
1703;1281;Lund
1704;1083;Sölvesborg
1705;2581;Piteå
1706;1081;Ronneby
1707;2080;Falun
1708;1480;Göteborg
1709;1283;Helsingborg
1710;484;Eskilstuna
1711;1781;Kristinehamn
1712;380;Uppsala
1713;191;Sigtuna
1714;1290;Kristianstad
1715;125;Ekerö
1716;480;Nyköping
1717;188;Norrtälje
1718;1880;Örebro
1719;184;Solna
1720;1980;Västerås
1721;513;Kinda
1722;380;Uppsala
1723;183;Sundbyberg
1724;1784;Arvika
1725;1263;Svedala
1726;1487;Vänersborg
1727;180;Stockholm
1728;862;Emmaboda
1729;1480;Göteborg
1730;1080;Karlskrona
1731;2262;Timrå
1732;180;Stockholm
1733;160;Täby
1734;1292;Ängelholm
1735;1780;Karlstad
1736;581;Norrköping
1737;1284;Höganäs
1738;2482;Skellefteå
1739;180;Stockholm
1740;880;Kalmar
1741;2482;Skellefteå
1742;1485;Uddevalla
1743;2380;Östersund
1744;480;Nyköping
1745;1485;Uddevalla
1746;1080;Karlskrona
1747;561;Åtvidaberg
1748;180;Stockholm
1749;2404;Vindeln
1750;184;Solna
1751;1780;Karlstad
1752;1462;Lilla Edet
1753;188;Norrtälje
1754;2080;Falun
1755;2309;Krokom
1756;2080;Falun
1757;642;Mullsjö
1758;1380;Halmstad
1759;2418;Malå
1760;685;Vetlanda
1761;2132;Nordanstig
1762;1488;Trollhättan
1763;1407;Öckerö
1764;1266;Hörby
1765;1278;Båstad
1766;183;Sundbyberg
1767;562;Finspång
1768;139;Upplands-Bro
1769;1281;Lund
1770;1292;Ängelholm
1771;186;Lidingö
1772;1080;Karlskrona
1773;1961;Hallstahammar
1774;136;Haninge
1775;880;Kalmar
1776;1415;Stenungsund
1777;1980;Västerås
1778;1485;Uddevalla
1779;1292;Ängelholm
1780;180;Stockholm
1781;1293;Hässleholm
1782;2281;Sundsvall
1783;1291;Simrishamn
1784;162;Danderyd
1785;2284;Örnsköldsvik
1786;1230;Staffanstorp
1787;2583;Haparanda
1788;1282;Landskrona
1789;2482;Skellefteå
1790;1281;Lund
1791;160;Täby
1792;1980;Västerås
1793;182;Nacka
1794;1880;Örebro
1795;2085;Ludvika
1796;1383;Varberg
1797;180;Stockholm
1798;1280;Malmö
1799;1402;Partille
1800;180;Stockholm
1801;1282;Landskrona
1802;684;Sävsjö
1803;1480;Göteborg
1804;860;Hultsfred
1805;136;Haninge
1806;1781;Kristinehamn
1807;980;Gotland
1808;1060;Olofström
1809;1491;Ulricehamn
1810;1280;Malmö
1811;780;Växjö
1812;680;Jönköping
1813;1261;Kävlinge
1814;1480;Göteborg
1815;180;Stockholm
1816;1080;Karlskrona
1817;1861;Hallsberg
1818;1491;Ulricehamn
1819;1407;Öckerö
1820;380;Uppsala
1821;180;Stockholm
1822;1781;Kristinehamn
1823;1480;Göteborg
1824;126;Huddinge
1825;162;Danderyd
1826;180;Stockholm
1827;1861;Hallsberg
1828;781;Ljungby
1829;123;Järfälla
1830;1280;Malmö
1831;1490;Borås
1832;180;Stockholm
1833;1493;Mariestad
1834;1440;Ale
1835;2183;Bollnäs
1836;382;Östhammar
1837;180;Stockholm
1838;162;Danderyd
1839;581;Norrköping
1840;1465;Svenljunga
1841;1480;Göteborg
1842;184;Solna
1843;1981;Sala
1844;1383;Varberg
1845;580;Linköping
1846;1441;Lerum
1847;1281;Lund
1848;1233;Vellinge
1849;882;Oskarshamn
1850;191;Sigtuna
1851;1491;Ulricehamn
1852;1780;Karlstad
1853;1761;Hammarö
1854;1980;Västerås
1855;181;Södertälje
1856;1291;Simrishamn
1857;330;Knivsta
1858;1290;Kristianstad
1859;184;Solna
1860;1285;Eslöv
1861;180;Stockholm
1862;1785;Säffle
1863;2184;Hudiksvall
1864;180;Stockholm
1865;180;Stockholm
1866;1487;Vänersborg
1867;180;Stockholm
1868;381;Enköping
1869;180;Stockholm
1870;482;Flen
1871;480;Nyköping
1872;581;Norrköping
1873;1980;Västerås
1874;1499;Falköping
1875;1490;Borås
1876;1315;Hylte
1877;840;Mörbylånga
1878;1488;Trollhättan
1879;1283;Helsingborg
1880;1384;Kungsbacka
1881;680;Jönköping
1882;1489;Alingsås
1883;484;Eskilstuna
1884;2480;Umeå
1885;1480;Göteborg
1886;2180;Gävle
1887;180;Stockholm
1888;1880;Örebro
1889;880;Kalmar
1890;2080;Falun
1891;2480;Umeå
1892;182;Nacka
1893;2262;Timrå
1894;1380;Halmstad
1895;1780;Karlstad
1896;180;Stockholm
1897;136;Haninge
1898;680;Jönköping
1899;2284;Örnsköldsvik
1900;160;Täby
1901;682;Nässjö
1902;1485;Uddevalla
1903;180;Stockholm
1904;2062;Mora
1905;1380;Halmstad
1906;1266;Hörby
1907;2480;Umeå
1908;480;Nyköping
1909;1480;Göteborg
1910;2083;Hedemora
1911;180;Stockholm
1912;1880;Örebro
1913;188;Norrtälje
1914;2081;Borlänge
1915;1446;Karlsborg
1916;2284;Örnsköldsvik
1917;1489;Alingsås
1918;2085;Ludvika
1919;2161;Ljusdal
1920;2180;Gävle
1921;1280;Malmö
1922;1496;Skövde
1923;2505;Arvidsjaur
1924;1498;Tidaholm
1925;980;Gotland
1926;1266;Hörby
1927;2184;Hudiksvall
1928;2280;Härnösand
1929;115;Vallentuna
1930;125;Ekerö
1931;581;Norrköping
1932;2380;Östersund
1933;2181;Sandviken
1934;683;Värnamo
1935;1485;Uddevalla
1936;484;Eskilstuna
1937;880;Kalmar
1938;882;Oskarshamn
1939;184;Solna
1940;1480;Göteborg
1941;1489;Alingsås
1942;1463;Mark
1943;580;Linköping
1944;1262;Lomma
1945;123;Järfälla
1946;1282;Landskrona
1947;180;Stockholm
1948;1282;Landskrona
1949;1415;Stenungsund
1950;883;Västervik
1951;1761;Hammarö
1952;1781;Kristinehamn
1953;180;Stockholm
1954;483;Katrineholm
1955;1380;Halmstad
1956;780;Växjö
1957;1961;Hallstahammar
1958;305;Håbo
1959;2061;Smedjebacken
1960;1280;Malmö
1961;123;Järfälla
1962;1480;Göteborg
1963;1261;Kävlinge
1964;1481;Mölndal
1965;1080;Karlskrona
1966;1382;Falkenberg
1967;1256;Östra Göinge
1968;1480;Göteborg
1969;1880;Örebro
1970;2303;Ragunda
1971;180;Stockholm
1972;180;Stockholm
1973;1480;Göteborg
1974;1233;Vellinge
1975;1480;Göteborg
1976;180;Stockholm
1977;2580;Luleå
1978;114;Upplands Väsby
1979;1785;Säffle
1980;2080;Falun
1981;187;Vaxholm
1982;1765;Årjäng
1983;586;Mjölby
1984;126;Huddinge
1985;1499;Falköping
1986;126;Huddinge
1987;380;Uppsala
1988;680;Jönköping
1989;484;Eskilstuna
1990;581;Norrköping
1991;1485;Uddevalla
1992;1481;Mölndal
1993;319;Älvkarleby
1994;180;Stockholm
1995;381;Enköping
1996;428;Vingåker
1997;513;Kinda
1998;1489;Alingsås
1999;2580;Luleå
2000;2084;Avesta
2001;486;Strängnäs
2002;1488;Trollhättan
2003;2401;Nordmaling
2004;1495;Skara
2005;180;Stockholm
2006;1499;Falköping
2007;180;Stockholm
2008;380;Uppsala
2009;1466;Herrljunga
2010;1267;Höör
2011;1233;Vellinge
2012;180;Stockholm
2013;184;Solna
2014;360;Tierp
2015;883;Västervik
2016;180;Stockholm
2017;1291;Simrishamn
2018;180;Stockholm
2019;180;Stockholm
2020;581;Norrköping
2021;1082;Karlshamn
2022;180;Stockholm
2023;1880;Örebro
2024;481;Oxelösund
2025;683;Värnamo
2026;1290;Kristianstad
2027;1293;Hässleholm
2028;1482;Kungälv
2029;1290;Kristianstad
2030;1780;Karlstad
2031;2580;Luleå
2032;2284;Örnsköldsvik
2033;2281;Sundsvall
2034;1781;Kristinehamn
2035;583;Motala
2036;123;Järfälla
2037;1907;Surahammar
2038;1286;Ystad
2039;2580;Luleå
2040;1782;Filipstad
2041;1882;Askersund
2042;643;Habo
2043;1490;Borås
2044;1270;Tomelilla
2045;1466;Herrljunga
2046;381;Enköping
2047;484;Eskilstuna
2048;136;Haninge
2049;180;Stockholm
2050;381;Enköping
2051;2510;Jokkmokk
2052;180;Stockholm
2053;1499;Falköping
2054;180;Stockholm
2055;1280;Malmö
2056;1381;Laholm
2057;2321;Åre
2058;1814;Lekeberg
2059;580;Linköping
2060;1280;Malmö
2061;184;Solna
2062;2584;Kiruna
2063;1481;Mölndal
2064;181;Södertälje
2065;1480;Göteborg
2066;583;Motala
2067;1281;Lund
2068;1785;Säffle
2069;1480;Göteborg
2070;138;Tyresö
2071;160;Täby
2072;1401;Härryda
2073;1780;Karlstad
2074;1383;Varberg
2075;1496;Skövde
2076;180;Stockholm
2077;486;Strängnäs
2078;480;Nyköping
2079;1233;Vellinge
2080;1780;Karlstad
2081;1382;Falkenberg
2082;180;Stockholm
2083;2104;Hofors
2084;180;Stockholm
2085;1480;Göteborg
2086;305;Håbo
2087;1440;Ale
2088;1780;Karlstad
2089;428;Vingåker
2090;2582;Boden
2091;380;Uppsala
2092;120;Värmdö
2093;191;Sigtuna
2094;2081;Borlänge
2095;180;Stockholm
2096;1286;Ystad
2097;1782;Filipstad
2098;484;Eskilstuna
2099;2031;Rättvik
2100;683;Värnamo
2101;115;Vallentuna
2102;1980;Västerås
2103;1439;Färgelanda
2104;1290;Kristianstad
2105;123;Järfälla
2106;2482;Skellefteå
2107;1380;Halmstad
2108;2184;Hudiksvall
2109;182;Nacka
2110;180;Stockholm
2111;580;Linköping
2112;183;Sundbyberg
2113;180;Stockholm
2114;1281;Lund
2115;180;Stockholm
2116;2505;Arvidsjaur
2117;2180;Gävle
2118;1233;Vellinge
2119;2321;Åre
2120;180;Stockholm
2121;2081;Borlänge
2122;580;Linköping
2123;2181;Sandviken
2124;1383;Varberg
2125;180;Stockholm
2126;2031;Rättvik
2127;160;Täby
2128;180;Stockholm
2129;580;Linköping
2130;125;Ekerö
2131;1470;Vara
2132;484;Eskilstuna
2133;331;Heby
2134;180;Stockholm
2135;1880;Örebro
2136;1380;Halmstad
2137;1488;Trollhättan
2138;120;Värmdö
2139;186;Lidingö
2140;1481;Mölndal
2141;2080;Falun
2142;2180;Gävle
2143;1491;Ulricehamn
2144;1981;Sala
2145;1785;Säffle
2146;160;Täby
2147;662;Gislaved
2148;191;Sigtuna
2149;1487;Vänersborg
2150;1278;Båstad
2151;1080;Karlskrona
2152;2080;Falun
2153;1480;Göteborg
2154;180;Stockholm
2155;1481;Mölndal
2156;1380;Halmstad
2157;1260;Bjuv
2158;2380;Östersund
2159;1082;Karlshamn
2160;138;Tyresö
2161;123;Järfälla
2162;580;Linköping
2163;180;Stockholm
2164;180;Stockholm
2165;2180;Gävle
2166;1280;Malmö
2167;1488;Trollhättan
2168;180;Stockholm
2169;1280;Malmö
2170;1488;Trollhättan
2171;2084;Avesta
2172;1261;Kävlinge
2173;1499;Falköping
2174;160;Täby
2175;882;Oskarshamn
2176;180;Stockholm
2177;380;Uppsala
2178;180;Stockholm
2179;1980;Västerås
2180;2260;Ånge
2181;1480;Göteborg
2182;662;Gislaved
2183;2282;Kramfors
2184;1280;Malmö
2185;186;Lidingö
2186;180;Stockholm
2187;683;Värnamo
2188;128;Salem
2189;180;Stockholm
2190;1280;Malmö
2191;180;Stockholm
2192;138;Tyresö
2193;1980;Västerås
2194;2180;Gävle
2195;182;Nacka
2196;1231;Burlöv
2197;180;Stockholm
2198;563;Valdemarsvik
2199;1499;Falköping
2200;126;Huddinge
2201;1487;Vänersborg
2202;584;Vadstena
2203;2181;Sandviken
2204;1980;Västerås
2205;2583;Haparanda
2206;780;Växjö
2207;120;Värmdö
2208;581;Norrköping
2209;2380;Östersund
2210;1384;Kungsbacka
2211;191;Sigtuna
2212;1480;Göteborg
2213;581;Norrköping
2214;1383;Varberg
2215;180;Stockholm
2216;1780;Karlstad
2217;2581;Piteå
2218;381;Enköping
2219;1290;Kristianstad
2220;180;Stockholm
2221;1499;Falköping
2222;1281;Lund
2223;192;Nynäshamn
2224;1285;Eslöv
2225;883;Västervik
2226;1280;Malmö
2227;115;Vallentuna
2228;1781;Kristinehamn
2229;2184;Hudiksvall
2230;1286;Ystad
2231;1480;Göteborg
2232;180;Stockholm
2233;1080;Karlskrona
2234;2361;Härjedalen
2235;2521;Pajala
2236;2580;Luleå
2237;181;Södertälje
2238;163;Sollentuna
2239;163;Sollentuna
2240;2280;Härnösand
2241;1280;Malmö
2242;1401;Härryda
2243;1402;Partille
2244;139;Upplands-Bro
2245;483;Katrineholm
2246;381;Enköping
2247;483;Katrineholm
2248;883;Västervik
2249;180;Stockholm
2250;117;Österåker
2251;1283;Helsingborg
2252;586;Mjölby
2253;1490;Borås
2254;1442;Vårgårda
2255;1382;Falkenberg
2256;1441;Lerum
2257;160;Täby
2258;1415;Stenungsund
2259;2480;Umeå
2260;380;Uppsala
2261;1267;Höör
2262;1280;Malmö
2263;180;Stockholm
2264;581;Norrköping
2265;1283;Helsingborg
2266;2029;Leksand
2267;1293;Hässleholm
2268;1481;Mölndal
2269;330;Knivsta
2270;136;Haninge
2271;1780;Karlstad
2272;1480;Göteborg
2273;1280;Malmö
2274;2480;Umeå
2275;1401;Härryda
2276;680;Jönköping
2277;1980;Västerås
2278;1498;Tidaholm
2279;1480;Göteborg
2280;1256;Östra Göinge
2281;1480;Göteborg
2282;180;Stockholm
2283;2182;Söderhamn
2284;1384;Kungsbacka
2285;2462;Vilhelmina
2286;1290;Kristianstad
2287;380;Uppsala
2288;1495;Skara
2289;126;Huddinge
2290;581;Norrköping
2291;184;Solna
2292;1480;Göteborg
2293;2031;Rättvik
2294;883;Västervik
2295;1401;Härryda
2296;1782;Filipstad
2297;1961;Hallstahammar
2298;2480;Umeå
2299;2180;Gävle
2300;180;Stockholm
2301;1285;Eslöv
2302;1290;Kristianstad
2303;1481;Mölndal
2304;181;Södertälje
2305;182;Nacka
2306;180;Stockholm
2307;180;Stockholm
2308;2132;Nordanstig
2309;860;Hultsfred
2310;1263;Svedala
2311;305;Håbo
2312;180;Stockholm
2313;180;Stockholm
2314;780;Växjö
2315;821;Högsby
2316;2380;Östersund
2317;1980;Västerås
2318;1446;Karlsborg
2319;1960;Kungsör
2320;330;Knivsta
2321;1233;Vellinge
2322;1384;Kungsbacka
2323;126;Huddinge
2324;1281;Lund
2325;180;Stockholm
2326;182;Nacka
2327;182;Nacka
2328;1494;Lidköping
2329;1480;Göteborg
2330;780;Växjö
2331;1267;Höör
2332;1480;Göteborg
2333;160;Täby
2334;2080;Falun
2335;486;Strängnäs
2336;883;Västervik
2337;180;Stockholm
2338;680;Jönköping
2339;1441;Lerum
2340;180;Stockholm
2341;180;Stockholm
2342;1481;Mölndal
2343;180;Stockholm
2344;1233;Vellinge
2345;1286;Ystad
2346;980;Gotland
2347;860;Hultsfred
2348;1261;Kävlinge
2349;184;Solna
2350;305;Håbo
2351;381;Enköping
2352;484;Eskilstuna
2353;1480;Göteborg
2354;1283;Helsingborg
2355;1287;Trelleborg
2356;123;Järfälla
2357;182;Nacka
2358;2380;Östersund
2359;2380;Östersund
2360;180;Stockholm
2361;180;Stockholm
2362;1499;Falköping
2363;1482;Kungälv
2364;1283;Helsingborg
2365;180;Stockholm
2366;117;Österåker
2367;1382;Falkenberg
2368;180;Stockholm
2369;1287;Trelleborg
2370;884;Vimmerby
2371;2181;Sandviken
2372;1440;Ale
2373;1480;Göteborg
2374;581;Norrköping
2375;1880;Örebro
2376;1281;Lund
2377;1214;Svalöv
2378;1980;Västerås
2379;2380;Östersund
2380;682;Nässjö
2381;1780;Karlstad
2382;1276;Klippan
2383;1493;Mariestad
2384;180;Stockholm
2385;1283;Helsingborg
2386;1281;Lund
2387;305;Håbo
2388;1480;Göteborg
2389;2184;Hudiksvall
2390;1480;Göteborg
2391;2281;Sundsvall
2392;2180;Gävle
2393;1080;Karlskrona
2394;2580;Luleå
2395;2523;Gällivare
2396;1284;Höganäs
2397;1487;Vänersborg
2398;1261;Kävlinge
2399;1488;Trollhättan
2400;1491;Ulricehamn
2401;2281;Sundsvall
2402;180;Stockholm
2403;1401;Härryda
2404;181;Södertälje
2405;162;Danderyd
2406;1880;Örebro
2407;680;Jönköping
2408;180;Stockholm
2409;181;Södertälje
2410;180;Stockholm
2411;780;Växjö
2412;380;Uppsala
2413;180;Stockholm
2414;180;Stockholm
2415;1287;Trelleborg
2416;180;Stockholm
2417;980;Gotland
2418;2380;Östersund
2419;1814;Lekeberg
