municipality,gender,age_group,N
's-Gravenzande,Mannen,75+,0.0
's-Gravenzande,Vrouwen,15-19,0.0
's-Gravenzande,Vrouwen,20-24,0.0
's-Gravenzande,Vrouwen,25-29,0.0
's-Gravenzande,Vrouwen,30-34,0.0
's-Gravenzande,Vrouwen,35-39,0.0
's-Gravenzande,Vrouwen,40-44,0.0
's-Gravenzande,Vrouwen,45-49,0.0
's-Gravenzande,Vrouwen,50-54,0.0
's-Gravenzande,Vrouwen,55-59,0.0
's-Gravenzande,Vrouwen,60-64,0.0
's-Gravenzande,Vrouwen,65-69,0.0
's-Gravenzande,Vrouwen,70-74,0.0
's-Gravenzande,Vrouwen,75+,0.0
's-Hertogenbosch,Mannen,15-19,4303.0
's-Hertogenbosch,Mannen,20-24,4959.0
's-Hertogenbosch,Mannen,25-29,6416.0
's-Hertogenbosch,Mannen,30-34,6117.0
's-Hertogenbosch,Mannen,35-39,5370.0
's-Hertogenbosch,Mannen,40-44,5010.0
's-Hertogenbosch,Mannen,45-49,4637.0
's-Hertogenbosch,Mannen,50-54,5661.0
's-Hertogenbosch,Mannen,55-59,5572.0
's-Hertogenbosch,Mannen,60-64,5251.0
's-Hertogenbosch,Mannen,65-69,4439.0
's-Hertogenbosch,Mannen,70-74,4017.0
's-Hertogenbosch,Mannen,75+,734.0
's-Hertogenbosch,Vrouwen,15-19,4018.0
's-Hertogenbosch,Vrouwen,20-24,5125.0
's-Hertogenbosch,Vrouwen,25-29,6220.0
's-Hertogenbosch,Vrouwen,30-34,5876.0
's-Hertogenbosch,Vrouwen,35-39,5341.0
's-Hertogenbosch,Vrouwen,40-44,4864.0
's-Hertogenbosch,Vrouwen,45-49,4705.0
's-Hertogenbosch,Vrouwen,50-54,5677.0
's-Hertogenbosch,Vrouwen,55-59,5666.0
's-Hertogenbosch,Vrouwen,60-64,5365.0
's-Hertogenbosch,Vrouwen,65-69,4756.0
's-Hertogenbosch,Vrouwen,70-74,4154.0
's-Hertogenbosch,Vrouwen,75+,833.0
't Zandt,Mannen,15-19,0.0
't Zandt,Mannen,20-24,0.0
't Zandt,Mannen,25-29,0.0
't Zandt,Mannen,30-34,0.0
't Zandt,Mannen,35-39,0.0
't Zandt,Mannen,40-44,0.0
't Zandt,Mannen,45-49,0.0
't Zandt,Mannen,50-54,0.0
't Zandt,Mannen,55-59,0.0
't Zandt,Mannen,60-64,0.0
't Zandt,Mannen,65-69,0.0
't Zandt,Mannen,70-74,0.0
't Zandt,Mannen,75+,0.0
't Zandt,Vrouwen,15-19,0.0
't Zandt,Vrouwen,20-24,0.0
't Zandt,Vrouwen,25-29,0.0
't Zandt,Vrouwen,30-34,0.0
't Zandt,Vrouwen,35-39,0.0
't Zandt,Vrouwen,40-44,0.0
't Zandt,Vrouwen,45-49,0.0
't Zandt,Vrouwen,50-54,0.0
't Zandt,Vrouwen,55-59,0.0
't Zandt,Vrouwen,60-64,0.0
't Zandt,Vrouwen,65-69,0.0
't Zandt,Vrouwen,70-74,0.0
't Zandt,Vrouwen,75+,0.0
Aa en Hunze,Mannen,15-19,715.0
Aa en Hunze,Mannen,20-24,639.0
Aa en Hunze,Mannen,25-29,493.0
Aa en Hunze,Mannen,30-34,584.0
Aa en Hunze,Mannen,35-39,629.0
Aa en Hunze,Mannen,40-44,626.0
Aa en Hunze,Mannen,45-49,689.0
Aa en Hunze,Mannen,50-54,949.0
Aa en Hunze,Mannen,55-59,1034.0
Aa en Hunze,Mannen,60-64,1114.0
Aa en Hunze,Mannen,65-69,1100.0
Aa en Hunze,Mannen,70-74,933.0
Aa en Hunze,Mannen,75+,185.0
Aa en Hunze,Vrouwen,15-19,659.0
Aa en Hunze,Vrouwen,20-24,492.0
Aa en Hunze,Vrouwen,25-29,422.0
Aa en Hunze,Vrouwen,30-34,599.0
Aa en Hunze,Vrouwen,35-39,672.0
Aa en Hunze,Vrouwen,40-44,687.0
Aa en Hunze,Vrouwen,45-49,714.0
Aa en Hunze,Vrouwen,50-54,1009.0
Aa en Hunze,Vrouwen,55-59,1104.0
Aa en Hunze,Vrouwen,60-64,1157.0
Aa en Hunze,Vrouwen,65-69,1038.0
Aa en Hunze,Vrouwen,70-74,961.0
Aa en Hunze,Vrouwen,75+,192.0
Aalburg,Mannen,15-19,0.0
Aalburg,Mannen,20-24,0.0
Aalburg,Mannen,25-29,0.0
Aalburg,Mannen,30-34,0.0
Aalburg,Mannen,35-39,0.0
Aalburg,Mannen,40-44,0.0
Aalburg,Mannen,45-49,0.0
Aalburg,Mannen,50-54,0.0
Aalburg,Mannen,55-59,0.0
Aalburg,Mannen,60-64,0.0
Aalburg,Mannen,65-69,0.0
Aalburg,Mannen,70-74,0.0
Aalburg,Mannen,75+,0.0
Aalburg,Vrouwen,15-19,0.0
Aalburg,Vrouwen,20-24,0.0
Aalburg,Vrouwen,25-29,0.0
Aalburg,Vrouwen,30-34,0.0
Aalburg,Vrouwen,35-39,0.0
Aalburg,Vrouwen,40-44,0.0
Aalburg,Vrouwen,45-49,0.0
Aalburg,Vrouwen,50-54,0.0
Aalburg,Vrouwen,55-59,0.0
Aalburg,Vrouwen,60-64,0.0
Aalburg,Vrouwen,65-69,0.0
