municipality,gender,age_group,education,N
Menterwolde,Vrouwen,65 tot 75 jaar,low,
Meppel,Vrouwen,65 tot 75 jaar,low,819.0
Middelburg (Z.),Vrouwen,65 tot 75 jaar,low,1265.0
Midden-Delfland,Vrouwen,65 tot 75 jaar,low,397.0
Midden-Drenthe,Vrouwen,65 tot 75 jaar,low,763.0
Midden-Groningen,Vrouwen,65 tot 75 jaar,low,1752.0
Mill en Sint Hubert,Vrouwen,65 tot 75 jaar,low,
Millingen aan de Rijn,Vrouwen,65 tot 75 jaar,low,
Moerdijk,Vrouwen,65 tot 75 jaar,low,1030.0
Molenlanden,Vrouwen,65 tot 75 jaar,low,1157.0
Molenwaard,Vrouwen,65 tot 75 jaar,low,
Montferland,Vrouwen,65 tot 75 jaar,low,1198.0
Montfoort,Vrouwen,65 tot 75 jaar,low,
Mook en Middelaar,Vrouwen,65 tot 75 jaar,low,
Muiden,Vrouwen,65 tot 75 jaar,low,
Naarden,Vrouwen,65 tot 75 jaar,low,
Neder-Betuwe,Vrouwen,65 tot 75 jaar,low,731.0
Nederlek,Vrouwen,65 tot 75 jaar,low,
Nederweert,Vrouwen,65 tot 75 jaar,low,595.0
Neerijnen,Vrouwen,65 tot 75 jaar,low,
Nieuwegein,Vrouwen,65 tot 75 jaar,low,1656.0
Nieuwkoop,Vrouwen,65 tot 75 jaar,low,673.0
Nijkerk,Vrouwen,65 tot 75 jaar,low,1054.0
Nijmegen,Vrouwen,65 tot 75 jaar,low,3083.0
Nissewaard,Vrouwen,65 tot 75 jaar,low,2825.0
Noardeast-Fryslân,Vrouwen,65 tot 75 jaar,low,1372.0
Noord-Beveland,Vrouwen,65 tot 75 jaar,low,
Noordenveld,Vrouwen,65 tot 75 jaar,low,731.0
Noordoostpolder,Vrouwen,65 tot 75 jaar,low,1102.0
Noordwijk,Vrouwen,65 tot 75 jaar,low,1030.0
Noordwijkerhout,Vrouwen,65 tot 75 jaar,low,
"Nuenen, Gerwen en Nederwetten",Vrouwen,65 tot 75 jaar,low,528.0
Nunspeet,Vrouwen,65 tot 75 jaar,low,838.0
Nuth,Vrouwen,65 tot 75 jaar,low,
Oegstgeest,Vrouwen,65 tot 75 jaar,low,278.0
Oirschot,Vrouwen,65 tot 75 jaar,low,662.0
Oisterwijk,Vrouwen,65 tot 75 jaar,low,766.0
Oldambt,Vrouwen,65 tot 75 jaar,low,1386.0
Oldebroek,Vrouwen,65 tot 75 jaar,low,841.0
Oldenzaal,Vrouwen,65 tot 75 jaar,low,911.0
Olst-Wijhe,Vrouwen,65 tot 75 jaar,low,401.0
Ommen,Vrouwen,65 tot 75 jaar,low,448.0
Onderbanken,Vrouwen,65 tot 75 jaar,low,
Oost Gelre,Vrouwen,65 tot 75 jaar,low,842.0
Oosterhout,Vrouwen,65 tot 75 jaar,low,1610.0
Ooststellingwerf,Vrouwen,65 tot 75 jaar,low,698.0
Oostzaan,Vrouwen,65 tot 75 jaar,low,
Opmeer,Vrouwen,65 tot 75 jaar,low,
Opsterland,Vrouwen,65 tot 75 jaar,low,792.0
Oss,Vrouwen,65 tot 75 jaar,low,2391.0
Oud-Beijerland,Vrouwen,65 tot 75 jaar,low,
Oude IJsselstreek,Vrouwen,65 tot 75 jaar,low,1198.0
Ouder-Amstel,Vrouwen,65 tot 75 jaar,low,
Ouderkerk,Vrouwen,65 tot 75 jaar,low,
Oudewater,Vrouwen,65 tot 75 jaar,low,
Overbetuwe,Vrouwen,65 tot 75 jaar,low,1105.0
Papendrecht,Vrouwen,65 tot 75 jaar,low,851.0
Peel en Maas,Vrouwen,65 tot 75 jaar,low,1302.0
Pekela,Vrouwen,65 tot 75 jaar,low,
Pijnacker-Nootdorp,Vrouwen,65 tot 75 jaar,low,1112.0
Purmerend,Vrouwen,65 tot 75 jaar,low,2502.0
Putten,Vrouwen,65 tot 75 jaar,low,652.0
Raalte,Vrouwen,65 tot 75 jaar,low,1092.0
Reimerswaal,Vrouwen,65 tot 75 jaar,low,472.0
Renkum,Vrouwen,65 tot 75 jaar,low,667.0
Renswoude,Vrouwen,65 tot 75 jaar,low,
Reusel-De Mierden,Vrouwen,65 tot 75 jaar,low,
Rheden,Vrouwen,65 tot 75 jaar,low,975.0
Rhenen,Vrouwen,65 tot 75 jaar,low,476.0
Ridderkerk,Vrouwen,65 tot 75 jaar,low,1734.0
Rijnwaarden,Vrouwen,65 tot 75 jaar,low,
Rijnwoude,Vrouwen,65 tot 75 jaar,low,
Rijssen-Holten,Vrouwen,65 tot 75 jaar,low,948.0
Rijswijk (ZH.),Vrouwen,65 tot 75 jaar,low,1208.0
Roerdalen,Vrouwen,65 tot 75 jaar,low,677.0
Roermond,Vrouwen,65 tot 75 jaar,low,1646.0
De Ronde Venen,Vrouwen,65 tot 75 jaar,low,1056.0
Roosendaal,Vrouwen,65 tot 75 jaar,low,2237.0
Rotterdam,Vrouwen,65 tot 75 jaar,low,15352.0
Rozendaal,Vrouwen,65 tot 75 jaar,low,
Rucphen,Vrouwen,65 tot 75 jaar,low,1066.0
Schagen,Vrouwen,65 tot 75 jaar,low,1341.0
Schermer,Vrouwen,65 tot 75 jaar,low,
Scherpenzeel,Vrouwen,65 tot 75 jaar,low,
Schiedam,Vrouwen,65 tot 75 jaar,low,1876.0
Schiermonnikoog,Vrouwen,65 tot 75 jaar,low,
Schijndel,Vrouwen,65 tot 75 jaar,low,
Schinnen,Vrouwen,65 tot 75 jaar,low,
Schoonhoven,Vrouwen,65 tot 75 jaar,low,
Schouwen-Duiveland,Vrouwen,65 tot 75 jaar,low,1075.0
Simpelveld,Vrouwen,65 tot 75 jaar,low,
Sint Anthonis,Vrouwen,65 tot 75 jaar,low,
Sint-Michielsgestel,Vrouwen,65 tot 75 jaar,low,680.0
Sint-Oedenrode,Vrouwen,65 tot 75 jaar,low,
Sittard-Geleen,Vrouwen,65 tot 75 jaar,low,3043.0
Skarsterlân,Vrouwen,65 tot 75 jaar,low,
Sliedrecht,Vrouwen,65 tot 75 jaar,low,735.0
Slochteren,Vrouwen,65 tot 75 jaar,low,
Sluis,Vrouwen,65 tot 75 jaar,low,797.0
Smallingerland,Vrouwen,65 tot 75 jaar,low,1238.0
Soest,Vrouwen,65 tot 75 jaar,low,995.0
Someren,Vrouwen,65 tot 75 jaar,low,689.0
Son en Breugel,Vrouwen,65 tot 75 jaar,low,
Spijkenisse,Vrouwen,65 tot 75 jaar,low,
Stadskanaal,Vrouwen,65 tot 75 jaar,low,1120.0
Staphorst,Vrouwen,65 tot 75 jaar,low,
Stede Broec,Vrouwen,65 tot 75 jaar,low,644.0
Steenbergen,Vrouwen,65 tot 75 jaar,low,835.0
Steenwijkerland,Vrouwen,65 tot 75 jaar,low,1064.0
Stein (L.),Vrouwen,65 tot 75 jaar,low,990.0
Stichtse Vecht,Vrouwen,65 tot 75 jaar,low,1492.0
Strijen,Vrouwen,65 tot 75 jaar,low,
Súdwest-Fryslân,Vrouwen,65 tot 75 jaar,low,2320.0
Terneuzen,Vrouwen,65 tot 75 jaar,low,1702.0
Terschelling,Vrouwen,65 tot 75 jaar,low,
Texel,Vrouwen,65 tot 75 jaar,low,307.0
Teylingen,Vrouwen,65 tot 75 jaar,low,658.0
Tholen,Vrouwen,65 tot 75 jaar,low,809.0
Tiel,Vrouwen,65 tot 75 jaar,low,749.0
Tilburg,Vrouwen,65 tot 75 jaar,low,4817.0
Tubbergen,Vrouwen,65 tot 75 jaar,low,663.0
Twenterand,Vrouwen,65 tot 75 jaar,low,1081.0
Tynaarlo,Vrouwen,65 tot 75 jaar,low,610.0
Tytsjerksteradiel,Vrouwen,65 tot 75 jaar,low,827.0
Ubbergen,Vrouwen,65 tot 75 jaar,low,
Uden,Vrouwen,65 tot 75 jaar,low,
Uitgeest,Vrouwen,65 tot 75 jaar,low,
Uithoorn,Vrouwen,65 tot 75 jaar,low,548.0
Urk,Vrouwen,65 tot 75 jaar,low,
Utrecht (gemeente),Vrouwen,65 tot 75 jaar,low,4046.0
Utrechtse Heuvelrug,Vrouwen,65 tot 75 jaar,low,906.0
Vaals,Vrouwen,65 tot 75 jaar,low,
Valkenburg aan de Geul,Vrouwen,65 tot 75 jaar,low,568.0
Valkenswaard,Vrouwen,65 tot 75 jaar,low,1014.0
Veendam,Vrouwen,65 tot 75 jaar,low,902.0
Veenendaal,Vrouwen,65 tot 75 jaar,low,1680.0
Veere,Vrouwen,65 tot 75 jaar,low,556.0
Veghel,Vrouwen,65 tot 75 jaar,low,
Veldhoven,Vrouwen,65 tot 75 jaar,low,944.0
Velsen,Vrouwen,65 tot 75 jaar,low,1628.0
Venlo,Vrouwen,65 tot 75 jaar,low,3094.0
Venray,Vrouwen,65 tot 75 jaar,low,1198.0
Vianen,Vrouwen,65 tot 75 jaar,low,
Vijfheerenlanden,Vrouwen,65 tot 75 jaar,low,1731.0
Vlaardingen,Vrouwen,65 tot 75 jaar,low,2016.0
Vlagtwedde,Vrouwen,65 tot 75 jaar,low,
Vlieland,Vrouwen,65 tot 75 jaar,low,
Vlissingen,Vrouwen,65 tot 75 jaar,low,1194.0
Vlist,Vrouwen,65 tot 75 jaar,low,
Voerendaal,Vrouwen,65 tot 75 jaar,low,
Voorne aan Zee,Vrouwen,65 tot 75 jaar,low,2445.0
Voorschoten,Vrouwen,65 tot 75 jaar,low,381.0
Voorst,Vrouwen,65 tot 75 jaar,low,666.0
Vught,Vrouwen,65 tot 75 jaar,low,620.0
Waadhoeke,Vrouwen,65 tot 75 jaar,low,1200.0
Waalre,Vrouwen,65 tot 75 jaar,low,264.0
Waalwijk,Vrouwen,65 tot 75 jaar,low,1440.0
Waddinxveen,Vrouwen,65 tot 75 jaar,low,741.0
Wageningen,Vrouwen,65 tot 75 jaar,low,515.0
Wassenaar,Vrouwen,65 tot 75 jaar,low,326.0
Waterland,Vrouwen,65 tot 75 jaar,low,389.0
Weert,Vrouwen,65 tot 75 jaar,low,1533.0
Weesp,Vrouwen,65 tot 75 jaar,low,
Werkendam,Vrouwen,65 tot 75 jaar,low,
West Betuwe,Vrouwen,65 tot 75 jaar,low,1235.0
West Maas en Waal,Vrouwen,65 tot 75 jaar,low,602.0
Westerkwartier,Vrouwen,65 tot 75 jaar,low,1498.0
Westerveld,Vrouwen,65 tot 75 jaar,low,472.0
Westervoort,Vrouwen,65 tot 75 jaar,low,448.0
Westerwolde,Vrouwen,65 tot 75 jaar,low,806.0
Westland,Vrouwen,65 tot 75 jaar,low,2703.0
Weststellingwerf,Vrouwen,65 tot 75 jaar,low,736.0
Westvoorne,Vrouwen,65 tot 75 jaar,low,
Wierden,Vrouwen,65 tot 75 jaar,low,656.0
Wijchen,Vrouwen,65 tot 75 jaar,low,1272.0
Wijdemeren,Vrouwen,65 tot 75 jaar,low,557.0
Wijk bij Duurstede,Vrouwen,65 tot 75 jaar,low,567.0
Winsum,Vrouwen,65 tot 75 jaar,low,
Winterswijk,Vrouwen,65 tot 75 jaar,low,828.0
Woensdrecht,Vrouwen,65 tot 75 jaar,low,750.0
Woerden,Vrouwen,65 tot 75 jaar,low,1131.0
De Wolden,Vrouwen,65 tot 75 jaar,low,620.0
Wormerland,Vrouwen,65 tot 75 jaar,low,
Woudenberg,Vrouwen,65 tot 75 jaar,low,
Woudrichem,Vrouwen,65 tot 75 jaar,low,
Zaanstad,Vrouwen,65 tot 75 jaar,low,3112.0
Zaltbommel,Vrouwen,65 tot 75 jaar,low,733.0
Zandvoort,Vrouwen,65 tot 75 jaar,low,455.0
Zederik,Vrouwen,65 tot 75 jaar,low,
Zeevang,Vrouwen,65 tot 75 jaar,low,
Zeewolde,Vrouwen,65 tot 75 jaar,low,385.0
Zeist,Vrouwen,65 tot 75 jaar,low,1088.0
Zevenaar,Vrouwen,65 tot 75 jaar,low,1429.0
Zoetermeer,Vrouwen,65 tot 75 jaar,low,3001.0
Zoeterwoude,Vrouwen,65 tot 75 jaar,low,
Zuidhorn,Vrouwen,65 tot 75 jaar,low,
Zuidplas,Vrouwen,65 tot 75 jaar,low,1100.0
Zundert,Vrouwen,65 tot 75 jaar,low,738.0
Zutphen,Vrouwen,65 tot 75 jaar,low,1218.0
Zwartewaterland,Vrouwen,65 tot 75 jaar,low,619.0
Zwijndrecht,Vrouwen,65 tot 75 jaar,low,1177.0
Zwolle,Vrouwen,65 tot 75 jaar,low,2438.0
Aa en Hunze,Mannen,15 tot 75 jaar,medium,4237.0
Aalburg,Mannen,15 tot 75 jaar,medium,
Aalsmeer,Mannen,15 tot 75 jaar,medium,5338.0
Aalten,Mannen,15 tot 75 jaar,medium,5202.0
Achtkarspelen,Mannen,15 tot 75 jaar,medium,5389.0
Alblasserdam,Mannen,15 tot 75 jaar,medium,3344.0
Albrandswaard,Mannen,15 tot 75 jaar,medium,4435.0
Alkmaar,Mannen,15 tot 75 jaar,medium,18571.0
Almelo,Mannen,15 tot 75 jaar,medium,12727.0
Almere,Mannen,15 tot 75 jaar,medium,37583.0
Alphen aan den Rijn,Mannen,15 tot 75 jaar,medium,19225.0
Alphen-Chaam,Mannen,15 tot 75 jaar,medium,1968.0
Altena,Mannen,15 tot 75 jaar,medium,10464.0
Ameland,Mannen,15 tot 75 jaar,medium,783.0
Amersfoort,Mannen,15 tot 75 jaar,medium,22397.0
Amstelveen,Mannen,15 tot 75 jaar,medium,10878.0
Amsterdam,Mannen,15 tot 75 jaar,medium,112018.0
Apeldoorn,Mannen,15 tot 75 jaar,medium,27113.0
Appingedam,Mannen,15 tot 75 jaar,medium,
Arnhem,Mannen,15 tot 75 jaar,medium,24954.0
Assen,Mannen,15 tot 75 jaar,medium,12322.0
Asten,Mannen,15 tot 75 jaar,medium,2858.0
Baarle-Nassau,Mannen,15 tot 75 jaar,medium,1355.0
Baarn,Mannen,15 tot 75 jaar,medium,3044.0
Barendrecht,Mannen,15 tot 75 jaar,medium,7903.0
Barneveld,Mannen,15 tot 75 jaar,medium,10144.0
Bedum,Mannen,15 tot 75 jaar,medium,
Beek (L.),Mannen,15 tot 75 jaar,medium,2502.0
Beekdaelen,Mannen,15 tot 75 jaar,medium,5626.0
Beemster,Mannen,15 tot 75 jaar,medium,
Beesel,Mannen,15 tot 75 jaar,medium,2229.0
Bellingwedde,Mannen,15 tot 75 jaar,medium,
Berg en Dal,Mannen,15 tot 75 jaar,medium,5423.0
Bergambacht,Mannen,15 tot 75 jaar,medium,
Bergeijk,Mannen,15 tot 75 jaar,medium,3750.0
Bergen (L.),Mannen,15 tot 75 jaar,medium,2555.0
Bergen (NH.),Mannen,15 tot 75 jaar,medium,4284.0
Bergen op Zoom,Mannen,15 tot 75 jaar,medium,11014.0
Berkelland,Mannen,15 tot 75 jaar,medium,8464.0
Bernheze,Mannen,15 tot 75 jaar,medium,5791.0
Bernisse,Mannen,15 tot 75 jaar,medium,
Best,Mannen,15 tot 75 jaar,medium,4788.0
Beuningen,Mannen,15 tot 75 jaar,medium,4515.0
Beverwijk,Mannen,15 tot 75 jaar,medium,8052.0
het Bildt,Mannen,15 tot 75 jaar,medium,
De Bilt,Mannen,15 tot 75 jaar,medium,5250.0
Binnenmaas,Mannen,15 tot 75 jaar,medium,
Bladel,Mannen,15 tot 75 jaar,medium,3912.0
Blaricum,Mannen,15 tot 75 jaar,medium,1449.0
Bloemendaal,Mannen,15 tot 75 jaar,medium,1989.0
Boarnsterhim,Mannen,15 tot 75 jaar,medium,
Bodegraven-Reeuwijk,Mannen,15 tot 75 jaar,medium,5926.0
Boekel,Mannen,15 tot 75 jaar,medium,2110.0
Ten Boer,Mannen,15 tot 75 jaar,medium,
Borger-Odoorn,Mannen,15 tot 75 jaar,medium,4812.0
Borne,Mannen,15 tot 75 jaar,medium,3987.0
Borsele,Mannen,15 tot 75 jaar,medium,4620.0
Boskoop,Mannen,15 tot 75 jaar,medium,
Boxmeer,Mannen,15 tot 75 jaar,medium,
Boxtel,Mannen,15 tot 75 jaar,medium,5547.0
Breda,Mannen,15 tot 75 jaar,medium,27346.0
Brielle,Mannen,15 tot 75 jaar,medium,
Bronckhorst,Mannen,15 tot 75 jaar,medium,6759.0
Brummen,Mannen,15 tot 75 jaar,medium,3721.0
Brunssum,Mannen,15 tot 75 jaar,medium,4614.0
Bunnik,Mannen,15 tot 75 jaar,medium,2372.0
Bunschoten,Mannen,15 tot 75 jaar,medium,3948.0
Buren,Mannen,15 tot 75 jaar,medium,4665.0
Bussum,Mannen,15 tot 75 jaar,medium,
Capelle aan den IJssel,Mannen,15 tot 75 jaar,medium,10234.0
Castricum,Mannen,15 tot 75 jaar,medium,5581.0
Coevorden,Mannen,15 tot 75 jaar,medium,6966.0
Cranendonck,Mannen,15 tot 75 jaar,medium,3440.0
Cromstrijen,Mannen,15 tot 75 jaar,medium,
Cuijk,Mannen,15 tot 75 jaar,medium,
Culemborg,Mannen,15 tot 75 jaar,medium,4307.0
Dalfsen,Mannen,15 tot 75 jaar,medium,5483.0
Dantumadiel,Mannen,15 tot 75 jaar,medium,3649.0
Delft,Mannen,15 tot 75 jaar,medium,16634.0
Delfzijl,Mannen,15 tot 75 jaar,medium,
Deurne,Mannen,15 tot 75 jaar,medium,6045.0
Deventer,Mannen,15 tot 75 jaar,medium,16592.0
Diemen,Mannen,15 tot 75 jaar,medium,4322.0
Dijk en Waard,Mannen,15 tot 75 jaar,medium,15926.0
Dinkelland,Mannen,15 tot 75 jaar,medium,5129.0
Doesburg,Mannen,15 tot 75 jaar,medium,1882.0
Doetinchem,Mannen,15 tot 75 jaar,medium,10306.0
Dongen,Mannen,15 tot 75 jaar,medium,4892.0
Dongeradeel,Mannen,15 tot 75 jaar,medium,
Dordrecht,Mannen,15 tot 75 jaar,medium,20506.0
Drechterland,Mannen,15 tot 75 jaar,medium,3618.0
Drimmelen,Mannen,15 tot 75 jaar,medium,4940.0
Dronten,Mannen,15 tot 75 jaar,medium,8359.0
Druten,Mannen,15 tot 75 jaar,medium,3245.0
Duiven,Mannen,15 tot 75 jaar,medium,4465.0
Echt-Susteren,Mannen,15 tot 75 jaar,medium,5646.0
Edam-Volendam,Mannen,15 tot 75 jaar,medium,6342.0
Ede,Mannen,15 tot 75 jaar,medium,19152.0
Eemnes,Mannen,15 tot 75 jaar,medium,1519.0
Eemsdelta,Mannen,15 tot 75 jaar,medium,9290.0
Eemsmond,Mannen,15 tot 75 jaar,medium,
Eersel,Mannen,15 tot 75 jaar,medium,3334.0
Eijsden-Margraten,Mannen,15 tot 75 jaar,medium,4018.0
Eindhoven,Mannen,15 tot 75 jaar,medium,35362.0
Elburg,Mannen,15 tot 75 jaar,medium,4002.0
Emmen,Mannen,15 tot 75 jaar,medium,21133.0
Enkhuizen,Mannen,15 tot 75 jaar,medium,3302.0
Enschede,Mannen,15 tot 75 jaar,medium,28864.0
Epe,Mannen,15 tot 75 jaar,medium,5481.0
Ermelo,Mannen,15 tot 75 jaar,medium,4326.0
Etten-Leur,Mannen,15 tot 75 jaar,medium,7420.0
Ferwerderadiel,Mannen,15 tot 75 jaar,medium,
Franekeradeel,Mannen,15 tot 75 jaar,medium,
De Friese Meren,Mannen,15 tot 75 jaar,medium,
De Fryske Marren,Mannen,15 tot 75 jaar,medium,9913.0
Gaasterlân-Sleat,Mannen,15 tot 75 jaar,medium,
Geertruidenberg,Mannen,15 tot 75 jaar,medium,3715.0
Geldermalsen,Mannen,15 tot 75 jaar,medium,
Geldrop-Mierlo,Mannen,15 tot 75 jaar,medium,6297.0
Gemert-Bakel,Mannen,15 tot 75 jaar,medium,5748.0
Gennep,Mannen,15 tot 75 jaar,medium,3284.0
Giessenlanden,Mannen,15 tot 75 jaar,medium,
Gilze en Rijen,Mannen,15 tot 75 jaar,medium,5238.0
Goeree-Overflakkee,Mannen,15 tot 75 jaar,medium,9466.0
Goes,Mannen,15 tot 75 jaar,medium,6468.0
Goirle,Mannen,15 tot 75 jaar,medium,3667.0
Gooise Meren,Mannen,15 tot 75 jaar,medium,6710.0
Gorinchem,Mannen,15 tot 75 jaar,medium,6192.0
Gouda,Mannen,15 tot 75 jaar,medium,11111.0
Graft-De Rijp,Mannen,15 tot 75 jaar,medium,
Grave,Mannen,15 tot 75 jaar,medium,
's-Gravenhage (gemeente),Mannen,15 tot 75 jaar,medium,74035.0
Groesbeek,Mannen,15 tot 75 jaar,medium,
Groningen (gemeente),Mannen,15 tot 75 jaar,medium,41035.0
Grootegast,Mannen,15 tot 75 jaar,medium,
Gulpen-Wittem,Mannen,15 tot 75 jaar,medium,2309.0
Haaksbergen,Mannen,15 tot 75 jaar,medium,4491.0
Haaren,Mannen,15 tot 75 jaar,medium,
Haarlem,Mannen,15 tot 75 jaar,medium,21820.0
Haarlemmerliede en Spaarnwoude,Mannen,15 tot 75 jaar,medium,
Haarlemmermeer,Mannen,15 tot 75 jaar,medium,26622.0
Halderberge,Mannen,15 tot 75 jaar,medium,5510.0
Hardenberg,Mannen,15 tot 75 jaar,medium,13030.0
Harderwijk,Mannen,15 tot 75 jaar,medium,7979.0
Hardinxveld-Giessendam,Mannen,15 tot 75 jaar,medium,3400.0
Haren,Mannen,15 tot 75 jaar,medium,
Harlingen,Mannen,15 tot 75 jaar,medium,2976.0
Hattem,Mannen,15 tot 75 jaar,medium,2038.0
Heemskerk,Mannen,15 tot 75 jaar,medium,6941.0
Heemstede,Mannen,15 tot 75 jaar,medium,2430.0
Heerde,Mannen,15 tot 75 jaar,medium,3304.0
Heerenveen,Mannen,15 tot 75 jaar,medium,8917.0
Heerhugowaard,Mannen,15 tot 75 jaar,medium,
Heerlen,Mannen,15 tot 75 jaar,medium,14706.0
Heeze-Leende,Mannen,15 tot 75 jaar,medium,2614.0
Heiloo,Mannen,15 tot 75 jaar,medium,3410.0
Den Helder,Mannen,15 tot 75 jaar,medium,11554.0
Hellendoorn,Mannen,15 tot 75 jaar,medium,7018.0
Hellevoetsluis,Mannen,15 tot 75 jaar,medium,
Helmond,Mannen,15 tot 75 jaar,medium,15570.0
Hendrik-Ido-Ambacht,Mannen,15 tot 75 jaar,medium,5510.0
Hengelo (O.),Mannen,15 tot 75 jaar,medium,14355.0
's-Hertogenbosch,Mannen,15 tot 75 jaar,medium,22655.0
Heumen,Mannen,15 tot 75 jaar,medium,2319.0
Heusden,Mannen,15 tot 75 jaar,medium,7805.0
Hillegom,Mannen,15 tot 75 jaar,medium,3664.0
Hilvarenbeek,Mannen,15 tot 75 jaar,medium,2820.0
Hilversum,Mannen,15 tot 75 jaar,medium,12076.0
Hoeksche Waard,Mannen,15 tot 75 jaar,medium,15628.0
Hof van Twente,Mannen,15 tot 75 jaar,medium,6384.0
Het Hogeland,Mannen,15 tot 75 jaar,medium,9111.0
Hollands Kroon,Mannen,15 tot 75 jaar,medium,10138.0
Hoogeveen,Mannen,15 tot 75 jaar,medium,10535.0
Hoogezand-Sappemeer,Mannen,15 tot 75 jaar,medium,
Hoorn,Mannen,15 tot 75 jaar,medium,12348.0
Horst aan de Maas,Mannen,15 tot 75 jaar,medium,8276.0
Houten,Mannen,15 tot 75 jaar,medium,7163.0
Huizen,Mannen,15 tot 75 jaar,medium,6003.0
Hulst,Mannen,15 tot 75 jaar,medium,5274.0
IJsselstein,Mannen,15 tot 75 jaar,medium,5092.0
Kaag en Braassem,Mannen,15 tot 75 jaar,medium,5269.0
Kampen,Mannen,15 tot 75 jaar,medium,9907.0
Kapelle,Mannen,15 tot 75 jaar,medium,2082.0
Katwijk,Mannen,15 tot 75 jaar,medium,11263.0
Kerkrade,Mannen,15 tot 75 jaar,medium,7542.0
Koggenland,Mannen,15 tot 75 jaar,medium,4619.0
Kollumerland en Nieuwkruisland,Mannen,15 tot 75 jaar,medium,
Korendijk,Mannen,15 tot 75 jaar,medium,
Krimpen aan den IJssel,Mannen,15 tot 75 jaar,medium,4600.0
Krimpenerwaard,Mannen,15 tot 75 jaar,medium,9639.0
Laarbeek,Mannen,15 tot 75 jaar,medium,4154.0
Land van Cuijk,Mannen,15 tot 75 jaar,medium,16934.0
Landerd,Mannen,15 tot 75 jaar,medium,
Landgraaf,Mannen,15 tot 75 jaar,medium,6096.0
Landsmeer,Mannen,15 tot 75 jaar,medium,1656.0
Langedijk,Mannen,15 tot 75 jaar,medium,
Lansingerland,Mannen,15 tot 75 jaar,medium,9118.0
Laren (NH.),Mannen,15 tot 75 jaar,medium,1022.0
Leek,Mannen,15 tot 75 jaar,medium,
Leerdam,Mannen,15 tot 75 jaar,medium,
Leeuwarden,Mannen,15 tot 75 jaar,medium,22650.0
Leeuwarderadeel,Mannen,15 tot 75 jaar,medium,
Leiden,Mannen,15 tot 75 jaar,medium,17254.0
Leiderdorp,Mannen,15 tot 75 jaar,medium,3742.0
Leidschendam-Voorburg,Mannen,15 tot 75 jaar,medium,8965.0
Lelystad,Mannen,15 tot 75 jaar,medium,14606.0
Lemsterland,Mannen,15 tot 75 jaar,medium,
Leudal,Mannen,15 tot 75 jaar,medium,6090.0
Leusden,Mannen,15 tot 75 jaar,medium,4634.0
Lingewaal,Mannen,15 tot 75 jaar,medium,
Lingewaard,Mannen,15 tot 75 jaar,medium,7779.0
Lisse,Mannen,15 tot 75 jaar,medium,3850.0
Littenseradiel,Mannen,15 tot 75 jaar,medium,
Lochem,Mannen,15 tot 75 jaar,medium,5481.0
Loon op Zand,Mannen,15 tot 75 jaar,medium,4388.0
Lopik,Mannen,15 tot 75 jaar,medium,2571.0
Loppersum,Mannen,15 tot 75 jaar,medium,
Losser,Mannen,15 tot 75 jaar,medium,4343.0
Maasdonk,Mannen,15 tot 75 jaar,medium,
Maasdriel,Mannen,15 tot 75 jaar,medium,4909.0
Maasgouw,Mannen,15 tot 75 jaar,medium,3836.0
Maashorst,Mannen,15 tot 75 jaar,medium,10416.0
Maassluis,Mannen,15 tot 75 jaar,medium,5568.0
Maastricht,Mannen,15 tot 75 jaar,medium,18684.0
De Marne,Mannen,15 tot 75 jaar,medium,
Marum,Mannen,15 tot 75 jaar,medium,
Medemblik,Mannen,15 tot 75 jaar,medium,8509.0
Meerssen,Mannen,15 tot 75 jaar,medium,2801.0
Meierijstad,Mannen,15 tot 75 jaar,medium,15070.0
Menameradiel,Mannen,15 tot 75 jaar,medium,
Menterwolde,Mannen,15 tot 75 jaar,medium,
Meppel,Mannen,15 tot 75 jaar,medium,5958.0
Middelburg (Z.),Mannen,15 tot 75 jaar,medium,8514.0
Midden-Delfland,Mannen,15 tot 75 jaar,medium,2954.0
Midden-Drenthe,Mannen,15 tot 75 jaar,medium,6388.0
Midden-Groningen,Mannen,15 tot 75 jaar,medium,11770.0
Mill en Sint Hubert,Mannen,15 tot 75 jaar,medium,
Millingen aan de Rijn,Mannen,15 tot 75 jaar,medium,
Moerdijk,Mannen,15 tot 75 jaar,medium,7322.0
Molenlanden,Mannen,15 tot 75 jaar,medium,8954.0
Molenwaard,Mannen,15 tot 75 jaar,medium,
Montferland,Mannen,15 tot 75 jaar,medium,6608.0
Montfoort,Mannen,15 tot 75 jaar,medium,2336.0
Mook en Middelaar,Mannen,15 tot 75 jaar,medium,1218.0
Muiden,Mannen,15 tot 75 jaar,medium,
Naarden,Mannen,15 tot 75 jaar,medium,
Neder-Betuwe,Mannen,15 tot 75 jaar,medium,4817.0
Nederlek,Mannen,15 tot 75 jaar,medium,
Nederweert,Mannen,15 tot 75 jaar,medium,3028.0
Neerijnen,Mannen,15 tot 75 jaar,medium,
Nieuwegein,Mannen,15 tot 75 jaar,medium,10906.0
Nieuwkoop,Mannen,15 tot 75 jaar,medium,5361.0
Nijkerk,Mannen,15 tot 75 jaar,medium,7442.0
Nijmegen,Mannen,15 tot 75 jaar,medium,25702.0
Nissewaard,Mannen,15 tot 75 jaar,medium,16348.0
Noardeast-Fryslân,Mannen,15 tot 75 jaar,medium,8961.0
Noord-Beveland,Mannen,15 tot 75 jaar,medium,1266.0
