region,gender,age_group,education,N
Agglomeratie 's-Gravenhage (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",25277
Agglomeratie 's-Gravenhage (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",7198
Agglomeratie 's-Gravenhage (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",8100
Agglomeratie 's-Gravenhage (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",21967
Agglomeratie 's-Gravenhage (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",34733
Agglomeratie 's-Gravenhage (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",12052
Agglomeratie 's-Gravenhage (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",18798
Agglomeratie 's-Gravenhage (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",34650
Agglomeratie 's-Gravenhage (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",15062
Agglomeratie 's-Gravenhage (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",18938
Agglomeratie 's-Gravenhage (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",28438
Agglomeratie 's-Gravenhage (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",17168
Agglomeratie 's-Gravenhage (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",20880
Agglomeratie 's-Gravenhage (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",19952
Agglomeratie 's-Gravenhage (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",16634
Agglomeratie 's-Gravenhage (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",15594
Agglomeratie 's-Gravenhage (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",12972
Agglomeratie Haarlem (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",6322
Agglomeratie Haarlem (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",5129
Agglomeratie Haarlem (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",836
Agglomeratie Haarlem (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2045
Agglomeratie Haarlem (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",5515
Agglomeratie Haarlem (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",6840
Agglomeratie Haarlem (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2494
Agglomeratie Haarlem (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",4450
Agglomeratie Haarlem (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",9356
Agglomeratie Haarlem (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2624
Agglomeratie Haarlem (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",4420
Agglomeratie Haarlem (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",8872
