region,gender,age_group,education,N
Delfzijl en omgeving (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",585
Delfzijl en omgeving (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",896
Delfzijl en omgeving (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",1967
Delfzijl en omgeving (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",637
Delfzijl en omgeving (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",818
Delfzijl en omgeving (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",1513
Delfzijl en omgeving (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",769
Delfzijl en omgeving (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",1111
Delfzijl en omgeving (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",939
Delfzijl en omgeving (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",150
Delfzijl en omgeving (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",229
Delfzijl en omgeving (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",1131
Delfzijl en omgeving (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",843
Delfzijl en omgeving (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",504
Delfzijl en omgeving (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",1164
Delfzijl en omgeving (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",635
Delfzijl en omgeving (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",613
Delfzijl en omgeving (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",1498
Delfzijl en omgeving (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",686
Delfzijl en omgeving (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",1046
Delfzijl en omgeving (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",1782
Delfzijl en omgeving (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",672
Delfzijl en omgeving (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",1432
Delfzijl en omgeving (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",1175
Delfzijl en omgeving (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",493
Flevoland (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",15990
Flevoland (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",12390
Flevoland (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",1620
Flevoland (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",6127
Flevoland (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",15457
Flevoland (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",9517
Flevoland (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",6815
Flevoland (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",15020
Flevoland (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",10433
Flevoland (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",6622
Flevoland (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",13329
Flevoland (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",8348
Flevoland (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",7296
Flevoland (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",13156
Flevoland (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",9448
Flevoland (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",5504
Flevoland (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",9396
Flevoland (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",6622
Flevoland (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",13328
Flevoland (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",11560
Flevoland (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",2312
Flevoland (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",3758
Flevoland (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",14353
Flevoland (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",12690
Flevoland (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",5232
Flevoland (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",13739
Flevoland (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",13129
Flevoland (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",6608
Flevoland (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",13157
Flevoland (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",9735
Flevoland (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",8786
Flevoland (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",13741
Flevoland (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",7874
Flevoland (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",9127
Flevoland (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",8442
Flevoland (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",4530
Groot-Amsterdam (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",39689
Groot-Amsterdam (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",40520
Groot-Amsterdam (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",11999
Groot-Amsterdam (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",15405
Groot-Amsterdam (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",39043
Groot-Amsterdam (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",78352
Groot-Amsterdam (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",17679
Groot-Amsterdam (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",31418
Groot-Amsterdam (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",57404
Groot-Amsterdam (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",18782
Groot-Amsterdam (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",29438
Groot-Amsterdam (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",41990
Groot-Amsterdam (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",24142
Groot-Amsterdam (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",31612
Groot-Amsterdam (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",35347
Groot-Amsterdam (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",17655
Groot-Amsterdam (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",21828
Groot-Amsterdam (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",24717
Groot-Amsterdam (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",33197
Groot-Amsterdam (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",45646
Groot-Amsterdam (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",19958
Groot-Amsterdam (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",9986
Groot-Amsterdam (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",32558
Groot-Amsterdam (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",94255
Groot-Amsterdam (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",14763
Groot-Amsterdam (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",27536
Groot-Amsterdam (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",62296
Groot-Amsterdam (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",18849
Groot-Amsterdam (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",27358
Groot-Amsterdam (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",45292
Groot-Amsterdam (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",24585
Groot-Amsterdam (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",31201
Groot-Amsterdam (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",33614
Groot-Amsterdam (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",23753
Groot-Amsterdam (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",20533
Groot-Amsterdam (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",22814
Groot-Rijnmond (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",45354
Groot-Rijnmond (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",39250
Groot-Rijnmond (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",9390
Groot-Rijnmond (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",18379
Groot-Rijnmond (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",47370
Groot-Rijnmond (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",43651
Groot-Rijnmond (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",20685
Groot-Rijnmond (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",41567
Groot-Rijnmond (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",36150
Groot-Rijnmond (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",23808
Groot-Rijnmond (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",38967
Groot-Rijnmond (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",30225
Groot-Rijnmond (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",28497
Groot-Rijnmond (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",41152
Groot-Rijnmond (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",27048
Groot-Rijnmond (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",23603
Groot-Rijnmond (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",29467
Groot-Rijnmond (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",20231
Groot-Rijnmond (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",37771
Groot-Rijnmond (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",41355
Groot-Rijnmond (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",12774
Groot-Rijnmond (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",13200
Groot-Rijnmond (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",41441
Groot-Rijnmond (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",53559
Groot-Rijnmond (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",18136
Groot-Rijnmond (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",37876
Groot-Rijnmond (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",44188
Groot-Rijnmond (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",25186
Groot-Rijnmond (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",37778
Groot-Rijnmond (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",32436
Groot-Rijnmond (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",35335
Groot-Rijnmond (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",40072
Groot-Rijnmond (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",23293
Groot-Rijnmond (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",38333
Groot-Rijnmond (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",26453
Groot-Rijnmond (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",14414
Het Gooi en Vechtstreek (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",6574
Het Gooi en Vechtstreek (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",5584
Het Gooi en Vechtstreek (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",1043
Het Gooi en Vechtstreek (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2175
Het Gooi en Vechtstreek (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",5150
Het Gooi en Vechtstreek (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",5188
Het Gooi en Vechtstreek (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2186
Het Gooi en Vechtstreek (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",5053
Het Gooi en Vechtstreek (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",8262
Het Gooi en Vechtstreek (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2882
Het Gooi en Vechtstreek (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",4943
Het Gooi en Vechtstreek (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",8275
Het Gooi en Vechtstreek (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",3434
Het Gooi en Vechtstreek (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",5610
Het Gooi en Vechtstreek (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",7956
Het Gooi en Vechtstreek (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",2829
Het Gooi en Vechtstreek (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",4621
Het Gooi en Vechtstreek (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",5350
Het Gooi en Vechtstreek (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",5769
Het Gooi en Vechtstreek (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",5350
Het Gooi en Vechtstreek (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",1181
Het Gooi en Vechtstreek (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",1399
Het Gooi en Vechtstreek (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",4423
Het Gooi en Vechtstreek (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",6779
Het Gooi en Vechtstreek (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",1891
Het Gooi en Vechtstreek (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",4499
Het Gooi en Vechtstreek (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",9910
Het Gooi en Vechtstreek (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2335
Het Gooi en Vechtstreek (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",5174
Het Gooi en Vechtstreek (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",9274
Het Gooi en Vechtstreek (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",3731
Het Gooi en Vechtstreek (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",6530
Het Gooi en Vechtstreek (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",7339
Het Gooi en Vechtstreek (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",4286
Het Gooi en Vechtstreek (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",5316
Het Gooi en Vechtstreek (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",4498
IJmond (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",5684
IJmond (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",5139
IJmond (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",777
IJmond (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",1798
IJmond (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",6597
IJmond (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",4005
IJmond (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2190
IJmond (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",5498
IJmond (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",4224
IJmond (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2492
IJmond (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",5729
IJmond (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",4179
IJmond (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",3286
IJmond (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",7285
IJmond (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",4914
IJmond (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",2984
IJmond (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",5113
IJmond (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",3604
IJmond (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",4651
IJmond (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",4756
IJmond (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",1102
IJmond (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",1535
IJmond (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",5426
IJmond (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",4927
IJmond (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",1860
IJmond (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",4824
IJmond (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",5316
IJmond (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",2735
IJmond (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",5186
IJmond (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",4979
IJmond (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",4481
IJmond (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",7161
IJmond (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",3758
IJmond (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",4665
IJmond (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",4772
IJmond (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",2463
Kop van Noord-Holland (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",11638
Kop van Noord-Holland (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",10074
Kop van Noord-Holland (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",1311
Kop van Noord-Holland (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",3742
Kop van Noord-Holland (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",13190
Kop van Noord-Holland (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",6145
Kop van Noord-Holland (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",5017
Kop van Noord-Holland (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",11503
Kop van Noord-Holland (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",6079
Kop van Noord-Holland (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",5658
Kop van Noord-Holland (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",12398
Kop van Noord-Holland (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",6544
Kop van Noord-Holland (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",8009
Kop van Noord-Holland (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",13649
Kop van Noord-Holland (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",6542
Kop van Noord-Holland (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",7238
Kop van Noord-Holland (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",10552
Kop van Noord-Holland (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",5710
Kop van Noord-Holland (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",9390
Kop van Noord-Holland (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",9748
Kop van Noord-Holland (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",1962
Kop van Noord-Holland (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",3038
Kop van Noord-Holland (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",10329
Kop van Noord-Holland (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",8333
Kop van Noord-Holland (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",3712
Kop van Noord-Holland (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",9630
Kop van Noord-Holland (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",9158
Kop van Noord-Holland (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",5250
Kop van Noord-Holland (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",12025
Kop van Noord-Holland (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",7725
Kop van Noord-Holland (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",8093
Kop van Noord-Holland (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",13649
Kop van Noord-Holland (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",6486
Kop van Noord-Holland (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",10266
Kop van Noord-Holland (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",9604
Kop van Noord-Holland (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",4606
Midden-Limburg (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",6502
Midden-Limburg (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",5299
Midden-Limburg (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",998
Midden-Limburg (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2818
Midden-Limburg (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",6862
Midden-Limburg (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",4920
Midden-Limburg (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",2779
Midden-Limburg (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",6422
Midden-Limburg (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",5198
Midden-Limburg (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",3419
Midden-Limburg (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",6438
Midden-Limburg (CR),Mannen,45 tot 55 jaar,"3 Hbo, wo",4943
Midden-Limburg (CR),Mannen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",5076
Midden-Limburg (CR),Mannen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",8781
Midden-Limburg (CR),Mannen,55 tot 65 jaar,"3 Hbo, wo",5723
Midden-Limburg (CR),Mannen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",5096
Midden-Limburg (CR),Mannen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",6922
Midden-Limburg (CR),Mannen,65 tot 75 jaar,"3 Hbo, wo",4582
Midden-Limburg (CR),Vrouwen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",5324
Midden-Limburg (CR),Vrouwen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",4400
Midden-Limburg (CR),Vrouwen,15 tot 25 jaar,"3 Hbo, wo",1676
Midden-Limburg (CR),Vrouwen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",2626
Midden-Limburg (CR),Vrouwen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",5347
Midden-Limburg (CR),Vrouwen,25 tot 35 jaar,"3 Hbo, wo",5427
Midden-Limburg (CR),Vrouwen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",1836
Midden-Limburg (CR),Vrouwen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",5277
Midden-Limburg (CR),Vrouwen,35 tot 45 jaar,"3 Hbo, wo",6487
Midden-Limburg (CR),Vrouwen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",3397
Midden-Limburg (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",6318
Midden-Limburg (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",5185
Midden-Limburg (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",5798
Midden-Limburg (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",9120
Midden-Limburg (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",4282
Midden-Limburg (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",7537
Midden-Limburg (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",6473
Midden-Limburg (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",2890
Midden-Noord-Brabant (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",14382
Midden-Noord-Brabant (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",16150
