,birthyear,age,municipality,mun_code,number_of_children,Q91,gender,marital_status,living_situation,interest_in_politics,days_per_week_tv_news,days_per_week_newspaper,turnout_in_2022,vote_in_2022,vote_in_2019,party_attachment_strength,class_differences_perception,gross_annual_income,economic_security,social_class_identity,union_membership,employment_sector,school_education,higher_education
935,1991.0,35.0,Køge,259.0,2.0,1.0,Women,In a steady relationship,Living with cohabitant,Very interested,7.0,5.0,,F: SF - Socialistisk Folkeparti,B: Det Radikale Venstre,,Yes,"600,000-699,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
936,1991.0,35.0,Køge,259.0,1.0,1.0,Women,In a steady relationship,Living alone,Only slightly interested,1.0,1.0,,O: Dansk Folkeparti,V: Venstre,,,"250,000-299,999 kr.",Insecure,,"Yes, member of a labor union",Self-employed,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
937,1992.0,34.0,Køge,259.0,1.0,1.0,Women,Married,Living with spouse,Only slightly interested,1.0,0.0,I did not vote,Did not vote,A: Socialdemokraterne,,Yes,"250,000-299,999 kr.",Secure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
938,1994.0,32.0,Køge,259.0,1.0,1.0,Women,Married,Living with spouse,Not at all interested,0.0,0.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,,,Very secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
939,1999.0,27.0,Køge,259.0,2.0,1.0,Women,In a steady relationship,Living with other adults,Only slightly interested,7.0,4.0,,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"Under 100,000 kr.",Very secure,Working class,"Yes, member of a labor union",,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
940,2000.0,26.0,Køge,259.0,2.0,1.0,Women,Single,Living with other adults,Not at all interested,4.0,1.0,Voted,Voted blank,V: Venstre,,Yes,"Under 100,000 kr.",Insecure,,"Yes, member of a labor union",Publicly employed,H30 – Vocational Education and Training (VET),H30 Vocational Education and Training (VET)
941,2003.0,23.0,Køge,259.0,2.0,4.0,Men,In a steady relationship,Living with other adults,Somewhat interested,3.0,6.0,,F: SF - Socialistisk Folkeparti,Did not vote,,,"200,000-249,999 kr.",Neither secure nor insecure,Working class,,Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
942,1945.0,81.0,Halsnæs,260.0,2.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,4.0,,A: Socialdemokratiet,B: Det Radikale Venstre,,Yes,"350,000-399,999 kr.",Very secure,Middle class,,Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H60 Bachelors programs
943,1945.0,81.0,Halsnæs,260.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,7.0,Voted,B: Det Radikale Venstre,B: Det Radikale Venstre,,,"500,000-599,999 kr.",Very secure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
944,1945.0,81.0,Halsnæs,260.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,7.0,7.0,Voted,V: Venstre,V: Venstre,,Yes,"150,000-199,999 kr.",Secure,,"No, not a member",Self-employed,H1010 Primary school through to 6th grade,H30 Vocational Education and Training (VET)
945,1947.0,79.0,Halsnæs,260.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,7.0,6.0,Voted,V: Venstre,V: Venstre,Not strongly convinced supporter,,"150,000-199,999 kr.",Secure,,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
946,1954.0,72.0,Halsnæs,260.0,2.0,1.0,Men,Married,Living with spouse,Only slightly interested,7.0,7.0,Voted,A: Socialdemokratiet,O: Dansk Folkeparti,,No,"150,000-199,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",Privately employed,H1010 Primary school through to 6th grade,H30 Vocational Education and Training (VET)
947,1954.0,72.0,Halsnæs,260.0,2.0,1.0,Women,Widow/widower,Living alone,Somewhat interested,7.0,1.0,Voted,Æ: Danmarksdemokraterne,,,Yes,"100,000-149,999 kr.",Insecure,Middle class,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
948,1964.0,62.0,Halsnæs,260.0,1.0,1.0,Men,In a steady relationship,Living with cohabitant,Somewhat interested,7.0,3.0,Voted,M: Moderaterne,V: Venstre,,Yes,"500,000-599,999 kr.",Secure,Working class,"Yes, member of a labor union",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
949,1968.0,58.0,Halsnæs,260.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,3.0,3.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"150,000-199,999 kr.",Very insecure,Working class,"Yes, member of a labor union",,H90 Not stated,H50 Vocational bachelors educations
950,1971.0,55.0,Halsnæs,260.0,1.0,4.0,Men,Married,Living with spouse,Only slightly interested,1.0,1.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,No,"400,000-449,999 kr.",Very secure,,"Yes, member of a labor union",,H1020 Primary school 7th-9th grade,
951,1972.0,54.0,Halsnæs,260.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,5.0,6.0,,Q: Frie Grønne,B: Det Radikale Venstre,,Yes,"250,000-299,999 kr.",Secure,Working class,"Yes, member of a labor union",,H90 Not stated,H50 Vocational bachelors educations
952,1973.0,53.0,Halsnæs,260.0,1.0,1.0,Men,Married,Living with spouse,Only slightly interested,0.0,7.0,I did not vote,Did not vote,Did not vote,,Yes,"500,000-599,999 kr.",Very secure,,"Yes, member of a labor union",,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
953,1986.0,40.0,Halsnæs,260.0,1.0,1.0,Women,In a steady relationship,Living with cohabitant,Somewhat interested,3.0,0.0,,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"Under 100,000 kr.",Secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
954,1944.0,82.0,Roskilde,265.0,2.0,1.0,Women,Widow/widower,Living alone,Somewhat interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"350,000-399,999 kr.",Secure,Middle class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
955,1944.0,82.0,Roskilde,265.0,2.0,1.0,Women,Divorced,Living alone,Very interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
956,1945.0,81.0,Roskilde,265.0,2.0,1.0,Men,Married,Living with spouse,Only slightly interested,4.0,1.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,No,"Under 100,000 kr.",Very secure,,"Yes, member of a labor union",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
