,birthyear,age,municipality,mun_code,number_of_children,Q91,gender,marital_status,living_situation,interest_in_politics,days_per_week_tv_news,days_per_week_newspaper,turnout_in_2022,vote_in_2022,vote_in_2019,party_attachment_strength,class_differences_perception,gross_annual_income,economic_security,social_class_identity,union_membership,employment_sector,school_education,higher_education
0,1993.0,33.0,,,2.0,,Women,Single,Living alone,Not at all interested,1.0,0.0,,Did not vote,Did not vote,,,,,,,,,
1,1933.0,93.0,København,101.0,1.0,4.0,Men,Widow/widower,Living alone,Very interested,7.0,5.0,Voted,Ø: Enhedslisten,A: Socialdemokraterne,Not strongly convinced supporter,,"150,000-199,999 kr.",Secure,,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
2,1939.0,87.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,5.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"100,000-149,999 kr.",Very secure,,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
3,1942.0,84.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
4,1942.0,84.0,København,101.0,1.0,1.0,Men,Single,Living alone,Only slightly interested,7.0,7.0,Voted,M: Moderaterne,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H40 Short cycle higher education
5,1943.0,83.0,København,101.0,2.0,1.0,Women,Single,Living alone,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,,Neither secure nor insecure,Middle class,"Yes, member of a labor union",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
6,1943.0,83.0,København,101.0,2.0,1.0,Women,Single,Living alone,Very interested,7.0,7.0,,V: Venstre,Voted blank,Not strongly convinced supporter,Yes,"200,000-249,999 kr.",Secure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
7,1943.0,83.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,7.0,,V: Venstre,O: Dansk Folkeparti,,Yes,"100,000-149,999 kr.",Secure,,"No, not a member",Other/Not in workforce,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
8,1943.0,83.0,København,101.0,2.0,1.0,Women,Single,Living alone,Somewhat interested,5.0,5.0,,,,,,"300,000-349,999 kr.",Secure,Working class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
9,1943.0,83.0,København,101.0,2.0,1.0,Men,Widow/widower,Living alone,Somewhat interested,7.0,7.0,,Did not vote,C: Det Konservative Folkeparti,Not strongly convinced supporter,No,"150,000-199,999 kr.",Secure,Middle class,"No, not a member",Privately employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
10,1946.0,80.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,6.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Secure,Middle class,"No, not a member",Self-employed,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
11,1946.0,80.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,C: Det Konservative Folkeparti,O: Dansk Folkeparti,,Yes,"200,000-249,999 kr.",Insecure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
12,1946.0,80.0,København,101.0,2.0,,Women,Married,Living alone,Very interested,7.0,7.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,Not strongly convinced supporter,Yes,,Secure,Middle class,"No, not a member",Privately employed,H90 Not stated,
13,1947.0,79.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Only slightly interested,7.0,3.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"100,000-149,999 kr.",Secure,,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
14,1947.0,79.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,Voted,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,No,"450,000-499,999 kr.",Secure,,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
15,1947.0,79.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Very interested,5.0,6.0,,F: SF - Socialistisk Folkeparti,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,,"Yes, member of a labor union",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
16,1947.0,79.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,Voted,K: Kristendemokraterne,V: Venstre,,Yes,"200,000-249,999 kr.",Insecure,,"No, not a member",Privately employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
17,1947.0,79.0,København,101.0,1.0,,Women,Single,Living alone,Not at all interested,7.0,,"I usually vote, did not vote",Did not vote,A: Socialdemokraterne,,,"Under 100,000 kr.",Neither secure nor insecure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H90 Not stated
18,1948.0,78.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,No,"250,000-299,999 kr.",Secure,,"Yes, member of a labor union",Self-employed,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
19,1948.0,78.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"400,000-449,999 kr.",Secure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
20,1948.0,78.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,3.0,6.0,,V: Venstre,V: Venstre,,Yes,"250,000-299,999 kr.",Secure,Middle class,"No, not a member",Other/Not in workforce,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
21,1949.0,77.0,København,101.0,1.0,1.0,Women,In a steady relationship,Living with cohabitant,Very interested,7.0,5.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,Working class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
22,1950.0,76.0,København,101.0,2.0,1.0,Men,Divorced,Living alone,Very interested,7.0,7.0,,A: Socialdemokratiet,F: SF - Socialistisk Folkeparti,,Yes,"150,000-199,999 kr.",Insecure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
23,1950.0,76.0,København,101.0,2.0,1.0,Men,Divorced,Living alone,Very interested,0.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,,Yes,"250,000-299,999 kr.",Secure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
24,1951.0,75.0,København,101.0,2.0,1.0,Men,In a steady relationship,Living with cohabitant,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"150,000-199,999 kr.",Very secure,Working class,"Yes, member of a labor union",Self-employed,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
25,1951.0,75.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,Voted,F: SF - Socialistisk Folkeparti,B: Det Radikale Venstre,,Yes,,Very secure,Middle class,"Yes, member of a labor union",Other/Not in workforce,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
26,1951.0,75.0,København,101.0,1.0,1.0,Women,Widow/widower,Living alone,Very interested,7.0,7.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Very secure,Middle class,"Yes, member of a labor union",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
27,1951.0,75.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,V: Venstre,V: Venstre,,No,"150,000-199,999 kr.",Very secure,Middle class,"Yes, member of a labor union",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
28,1951.0,75.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Very interested,7.0,6.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"250,000-299,999 kr.",Insecure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
29,1951.0,75.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,Å: Alternativet,Å: Alternativet,Strongly convinced supporter,Yes,"250,000-299,999 kr.",Very secure,Middle class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
30,1952.0,74.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"200,000-249,999 kr.",Secure,Middle class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
31,1953.0,73.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Somewhat interested,5.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"400,000-449,999 kr.",Secure,Middle class,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
32,1953.0,73.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Very interested,7.0,0.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
33,1953.0,73.0,København,101.0,2.0,1.0,Men,Single,Living alone,Only slightly interested,4.0,0.0,,C: Det Konservative Folkeparti,A: Socialdemokraterne,,Yes,"300,000-349,999 kr.",Insecure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
34,1953.0,73.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"Under 100,000 kr.",Secure,Middle class,,Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H60 Bachelors programs
35,1953.0,73.0,København,101.0,2.0,1.0,Men,Married,Living alone,Very interested,7.0,0.0,,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",,H1030 Primary school 10th grade,H50 Vocational bachelors educations
36,1953.0,73.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,6.0,7.0,,Å: Alternativet,F: SF - Socialistisk Folkeparti,,Yes,"300,000-349,999 kr.",Secure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
37,1954.0,72.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,7.0,2.0,,A: Socialdemokratiet,A: Socialdemokraterne,Not strongly convinced supporter,Yes,"150,000-199,999 kr.",Very secure,Middle class,"No, not a member",Self-employed,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
38,1954.0,72.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"500,000-599,999 kr.",Very secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
39,1954.0,72.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"450,000-499,999 kr.",Very secure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
40,1954.0,72.0,København,101.0,1.0,1.0,Women,Married,Living with spouse,Somewhat interested,6.0,0.0,Voted,Ø: Enhedslisten,Ø: Enhedslisten,Strongly convinced supporter,Yes,"200,000-249,999 kr.",Very secure,Working class,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
41,1956.0,70.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Somewhat interested,7.0,5.0,,A: Socialdemokratiet,B: Det Radikale Venstre,,Yes,"200,000-249,999 kr.",Insecure,Working class,"No, not a member",Self-employed,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
42,1956.0,70.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,Not strongly convinced supporter,Yes,"450,000-499,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
43,1956.0,70.0,København,101.0,2.0,,Men,Divorced,Living alone,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,Not strongly convinced supporter,Yes,"200,000-249,999 kr.",Very secure,,"No, not a member",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",
44,1956.0,70.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,Ø: Enhedslisten,Ø: Enhedslisten,Not strongly convinced supporter,Yes,"250,000-299,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
45,1956.0,70.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,Å: Alternativet,F: SF - Socialistisk Folkeparti,,Yes,"150,000-199,999 kr.",Neither secure nor insecure,Middle class,"No, not a member",Publicly employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
46,1957.0,69.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Somewhat interested,3.0,0.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"200,000-249,999 kr.",Insecure,Working class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
47,1957.0,69.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Very interested,4.0,7.0,,Q: Frie Grønne,K: Kristendemokraterne,Strongly convinced supporter,Yes,"200,000-249,999 kr.",Insecure,,"No, not a member",Other/Not in workforce,H90 Not stated,H30 Vocational Education and Training (VET)
48,1958.0,68.0,København,101.0,2.0,1.0,Men,Single,Living alone,Very interested,7.0,7.0,Voted,A: Socialdemokratiet,B: Det Radikale Venstre,,,"300,000-349,999 kr.",Insecure,Working class,"Yes, member of a labor union",Privately employed,H90 Not stated,H70 Masters programs
49,1958.0,68.0,København,101.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,4.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"350,000-399,999 kr.",Very secure,,"Yes, member of a labor union",Other/Not in workforce,H1030 Primary school 10th grade,H30 Vocational Education and Training (VET)
50,1958.0,68.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,A: Socialdemokratiet,B: Det Radikale Venstre,Not strongly convinced supporter,Yes,"600,000-699,999 kr.",Insecure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H60 Bachelors programs
51,1958.0,68.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,5.0,7.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"400,000-449,999 kr.",Secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
52,1958.0,68.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Somewhat interested,0.0,4.0,,V: Venstre,Did not vote,,Yes,"1,000,000-1,199,999 kr.",Secure,Middle class,"No, not a member",,H90 Not stated,H70 Masters programs
53,1959.0,67.0,København,101.0,,4.0,Men,In a steady relationship,Living with cohabitant,Very interested,7.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"300,000-349,999 kr.",Secure,Working class,"Yes, member of a labor union",Publicly employed,,H30 Vocational Education and Training (VET)
54,1959.0,67.0,København,101.0,2.0,1.0,Women,In a steady relationship,Living with cohabitant,Very interested,7.0,3.0,,A: Socialdemokratiet,F: SF - Socialistisk Folkeparti,Strongly convinced supporter,Yes,"450,000-499,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
55,1959.0,67.0,København,101.0,2.0,1.0,Men,Single,Living alone,Very interested,1.0,7.0,,F: SF - Socialistisk Folkeparti,Ø: Enhedslisten,,Yes,"250,000-299,999 kr.",Secure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
56,1959.0,67.0,København,101.0,1.0,1.0,Women,Divorced,Living alone,Somewhat interested,3.0,1.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"250,000-299,999 kr.",Secure,Middle class,"No, not a member",Publicly employed,H90 Not stated,H30 Vocational Education and Training (VET)
57,1959.0,67.0,København,101.0,2.0,1.0,Men,In a steady relationship,Living alone,Only slightly interested,2.0,4.0,"Considered voting, did not vote",,Did not vote,,Yes,"350,000-399,999 kr.",Neither secure nor insecure,Working class,"Yes, member of a labor union",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
58,1960.0,66.0,København,101.0,2.0,1.0,Women,In a steady relationship,Living with cohabitant,Only slightly interested,6.0,7.0,Voted,A: Socialdemokratiet,B: Det Radikale Venstre,Not strongly convinced supporter,Yes,"Under 100,000 kr.",Very secure,,"No, not a member",Privately employed,"H2020 Upper secondary education, General (hhx, htx)",H60 Bachelors programs
59,1960.0,66.0,København,101.0,2.0,1.0,Women,Single,Living alone,Very interested,7.0,7.0,Voted,Ø: Enhedslisten,F: SF - Socialistisk Folkeparti,,Yes,,Insecure,,"No, not a member",Publicly employed,H90 Not stated,H50 Vocational bachelors educations
60,1961.0,65.0,København,101.0,2.0,1.0,Women,Single,Living alone,Somewhat interested,5.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"350,000-399,999 kr.",Secure,,"Yes, member of a labor union",,"H2020 Upper secondary education, General (hhx, htx)",H30 Vocational Education and Training (VET)
61,1961.0,65.0,København,101.0,2.0,4.0,Women,Married,Living with spouse,Only slightly interested,6.0,7.0,Voted,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"400,000-449,999 kr.",Secure,,"Yes, member of a labor union",,H1030 Primary school 10th grade,
62,1961.0,65.0,København,101.0,2.0,1.0,Men,Single,Living alone,Only slightly interested,0.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,,No,"200,000-249,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H40 Short cycle higher education
63,1961.0,65.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,F: SF - Socialistisk Folkeparti,A: Socialdemokraterne,,Yes,"500,000-599,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
64,1962.0,64.0,København,101.0,1.0,1.0,Women,Divorced,Living alone,Somewhat interested,6.0,2.0,Voted,C: Det Konservative Folkeparti,O: Dansk Folkeparti,,Yes,"450,000-499,999 kr.",Neither secure nor insecure,,"Yes, member of a labor union",Other/Not in workforce,"H2010 Upper secondary education, General (stx, hf, student courses)",H30 Vocational Education and Training (VET)
65,1962.0,64.0,København,101.0,2.0,1.0,Men,Single,Living alone,Somewhat interested,0.0,7.0,Voted,F: SF - Socialistisk Folkeparti,A: Socialdemokraterne,,Yes,"Under 100,000 kr.",Insecure,,"No, not a member",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
66,1962.0,64.0,København,101.0,2.0,2.0,Women,Married,Living alone,Somewhat interested,7.0,4.0,,F: SF - Socialistisk Folkeparti,A: Socialdemokraterne,,Yes,"450,000-499,999 kr.",Insecure,Working class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",
67,1962.0,64.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Somewhat interested,6.0,1.0,,Å: Alternativet,Å: Alternativet,,Yes,"450,000-499,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
68,1963.0,63.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,7.0,7.0,,M: Moderaterne,V: Venstre,Not strongly convinced supporter,Yes,"1,200,000 kr. or more",Very insecure,Middle class,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
69,1964.0,62.0,København,101.0,2.0,4.0,Women,Single,Living alone,Very interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,,Yes,"800,000-999,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",
70,1964.0,62.0,København,101.0,1.0,1.0,Women,Married,Living with spouse,Very interested,7.0,7.0,Voted,A: Socialdemokratiet,F: SF - Socialistisk Folkeparti,Strongly convinced supporter,Yes,,Very insecure,,"Yes, member of a labor union",Self-employed,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
71,1964.0,62.0,København,101.0,2.0,1.0,Men,Single,Living alone,Somewhat interested,7.0,7.0,,A: Socialdemokratiet,A: Socialdemokraterne,Strongly convinced supporter,Yes,"1,200,000 kr. or more",Very secure,,"Yes, member of a labor union",,H30 – Vocational Education and Training (VET),H30 Vocational Education and Training (VET)
72,1964.0,62.0,København,101.0,2.0,1.0,Women,In a steady relationship,Living alone,Very interested,7.0,7.0,,C: Det Konservative Folkeparti,A: Socialdemokraterne,,Yes,"350,000-399,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,H90 Not stated,H70 Masters programs
73,1964.0,62.0,København,101.0,2.0,,Women,Widow/widower,Living alone,Somewhat interested,3.0,0.0,,C: Det Konservative Folkeparti,C: Det Konservative Folkeparti,,,,Insecure,,"No, not a member",Self-employed,,
74,1964.0,62.0,København,101.0,1.0,1.0,Women,Married,Living with spouse,Somewhat interested,1.0,6.0,,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"450,000-499,999 kr.",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
75,1964.0,62.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,6.0,0.0,Voted,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,Strongly convinced supporter,Yes,"450,000-499,999 kr.",Very secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
76,1964.0,62.0,København,101.0,1.0,1.0,Women,Married,Living with spouse,Somewhat interested,7.0,7.0,,M: Moderaterne,B: Det Radikale Venstre,,Yes,"500,000-599,999 kr.",Secure,Middle class,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
77,1964.0,62.0,København,101.0,2.0,1.0,Men,Married,Living with spouse,Very interested,4.0,4.0,Voted,M: Moderaterne,B: Det Radikale Venstre,,Yes,"1,200,000 kr. or more",Secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
78,1965.0,61.0,København,101.0,1.0,1.0,Women,Married,Living with spouse,Very interested,6.0,7.0,,B: Det Radikale Venstre,F: SF - Socialistisk Folkeparti,,Yes,"500,000-599,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
79,1965.0,61.0,København,101.0,2.0,4.0,Women,Married,Living with spouse,Very interested,7.0,7.0,,F: SF - Socialistisk Folkeparti,F: SF - Socialistisk Folkeparti,,Yes,"450,000-499,999 kr.",Very secure,,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",
80,1965.0,61.0,København,101.0,2.0,1.0,Women,Single,Living alone,Somewhat interested,7.0,7.0,Voted,F: SF - Socialistisk Folkeparti,Ø: Enhedslisten,,Yes,"450,000-499,999 kr.",Secure,Working class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H50 Vocational bachelors educations
81,1965.0,61.0,København,101.0,2.0,1.0,Women,Divorced,Living alone,Very interested,6.0,2.0,,F: SF - Socialistisk Folkeparti,Ø: Enhedslisten,,Yes,"300,000-349,999 kr.",Neither secure nor insecure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
82,1965.0,61.0,København,101.0,2.0,1.0,Men,In a steady relationship,Living with cohabitant,Very interested,0.0,7.0,,M: Moderaterne,B: Det Radikale Venstre,,Yes,"700,000-799,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
83,1965.0,61.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Only slightly interested,7.0,7.0,,V: Venstre,V: Venstre,Not strongly convinced supporter,Yes,,Very secure,Middle class,"No, not a member",,H90 Not stated,H30 Vocational Education and Training (VET)
84,1965.0,61.0,København,101.0,2.0,1.0,Women,Married,Living with spouse,Very interested,0.0,1.0,,Æ: Danmarksdemokraterne,O: Dansk Folkeparti,Strongly convinced supporter,Yes,"450,000-499,999 kr.",Secure,,"No, not a member",Publicly employed,H90 Not stated,H50 Vocational bachelors educations
85,1965.0,61.0,København,101.0,1.0,1.0,Men,Married,Living with spouse,Somewhat interested,7.0,7.0,Voted,Æ: Danmarksdemokraterne,O: Dansk Folkeparti,,Yes,"300,000-349,999 kr.",Secure,Middle class,"Yes, member of a labor union",,H1020 Primary school 7th-9th grade,H30 Vocational Education and Training (VET)
86,1965.0,61.0,København,101.0,1.0,1.0,Women,Married,Living with spouse,Very interested,5.0,5.0,,Ø: Enhedslisten,Ø: Enhedslisten,,Yes,"200,000-249,999 kr.",Very secure,Middle class,"Yes, member of a labor union",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
87,1965.0,61.0,København,101.0,2.0,1.0,Men,In a steady relationship,Living alone,Very interested,3.0,7.0,,Ø: Enhedslisten,A: Socialdemokraterne,Strongly convinced supporter,Yes,,Very secure,,"No, not a member",,"H2010 Upper secondary education, General (stx, hf, student courses)",H70 Masters programs
