party,municipality,year,N,N_pct
Independent candidate,Guldborgsund,2022,69,0.0018342282949651762
Independent candidate,Vordingborg,2022,84,0.0029256060183895237
Independent candidate,Bornholm,2022,45,0.0018246695320736355
Independent candidate,Middelfart,2022,21,0.0008209859650494546
Independent candidate,Assens,2022,36,0.0014158178314390216
Independent candidate,Faaborg-Midtfyn,2022,33,0.001011804384485666
Independent candidate,Kerteminde,2022,11,0.0007199895274250557
Independent candidate,Nyborg,2022,19,0.0009396636993076162
Independent candidate,Odense,2022,115,0.0009270604927124984
Independent candidate,Svendborg,2022,66,0.001741562656674671
Independent candidate,Nordfyns,2022,11,0.0005990306594782988
Independent candidate,Langeland,2022,16,0.001987083954297069
Independent candidate,Ærø,2022,6,0.001524390243902439
Independent candidate,Haderslev,2022,20,0.0006052352852171282
Independent candidate,Billund,2022,13,0.0008440462277626282
Independent candidate,Sønderborg,2022,29,0.0006685724824787901
Independent candidate,Tønder,2022,22,0.001029384241063073
Independent candidate,Esbjerg,2022,59,0.0008595320649165234
Independent candidate,Fanø,2022,4,0.001697792869269949
Independent candidate,Varde,2022,14,0.00046565774155995343
Independent candidate,Vejen,2022,37,0.0014714655000994234
Independent candidate,Aabenraa,2022,36,0.0010711735301118781
Independent candidate,Fredericia,2022,25,0.0008140670791273201
Independent candidate,Horsens,2022,47,0.0008662476731113036
Independent candidate,Kolding,2022,36,0.000646842152546941
Independent candidate,Vejle,2022,54,0.00076545799903609
Independent candidate,Herning,2022,59,0.0010868363850716576
Independent candidate,Holstebro,2022,35,0.0009619613016710642
Independent candidate,Lemvig,2022,13,0.0010347846851866593
Independent candidate,Struer,2022,9,0.0006805807622504537
Independent candidate,Syddjurs,2022,31,0.0011058000998787187
Independent candidate,Norddjurs,2022,32,0.0014090708938793483
Independent candidate,Favrskov,2022,28,0.0009245806366398098
Independent candidate,Odder,2022,20,0.0013238895876083936
Independent candidate,Randers,2022,54,0.0008992955518177428
Independent candidate,Silkeborg,2022,120,0.0019407112706807045
Independent candidate,Samsø,2022,4,0.001589825119236884
Independent candidate,Skanderborg,2022,37,0.0009136253642155168
Independent candidate,Aarhus,2022,203,0.0009077615851395404
Independent candidate,Ikast-Brande,2022,22,0.0009052007899934167
Independent candidate,Ringkøbing-Skjern,2022,27,0.000793347633179561
Independent candidate,Hedensted,2022,26,0.0008878265323544477
Independent candidate,Morsø,2022,5,0.000393886875689302
Independent candidate,Skive,2022,25,0.0008766393155200225
Independent candidate,Thisted,2022,14,0.0005226610916150228
Independent candidate,Viborg,2022,61,0.0010277492291880781
Independent candidate,Brønderslev,2022,19,0.0008395934600088378
Independent candidate,Frederikshavn,2022,30,0.000821962847279303
Independent candidate,Vesthimmerlands,2022,16,0.0007293281064819036
Independent candidate,Rebild,2022,17,0.000878053819534115
Independent candidate,Mariagerfjord,2022,27,0.0010330578512396695
Independent candidate,Jammerbugt,2022,21,0.0008639486567655408
Independent candidate,Aalborg,2022,155,0.0011196428700419685
Independent candidate,Hjørring,2022,50,0.00125228542089313
Å: Alternativet,Copenhagen,2022,36877,0.10353909002849802
Å: Alternativet,Frederiksberg,2022,4966,0.07669734972508803
Å: Alternativet,Ballerup,2022,854,0.03045540458614172
Å: Alternativet,Brøndby,2022,269,0.015368793921042108
Å: Alternativet,Dragør,2022,247,0.02710413694721826
Å: Alternativet,Gentofte,2022,1698,0.03781147705257532
Å: Alternativet,Gladsaxe,2022,1466,0.03902464994942235
Å: Alternativet,Glostrup,2022,239,0.01856166511338925
Å: Alternativet,Herlev,2022,396,0.02505853318990065
Å: Alternativet,Albertslund,2022,420,0.03053879153639206
Å: Alternativet,Hvidovre,2022,806,0.027885413783559368
Å: Alternativet,Høje-Taastrup,2022,516,0.019569916941631585
Å: Alternativet,Lyngby-Taarbæk,2022,1343,0.03907363765965494
Å: Alternativet,Rødovre,2022,711,0.03138103014520899
Å: Alternativet,Ishøj,2022,151,0.015227914481645824
Å: Alternativet,Tårnby,2022,679,0.027552345398474273
Å: Alternativet,Vallensbæk,2022,123,0.014401123990165085
Å: Alternativet,Furesø,2022,995,0.039765006794021264
Å: Alternativet,Allerød,2022,470,0.028357668637625195
Å: Alternativet,Fredensborg,2022,916,0.03781061669280938
Å: Alternativet,Helsingør,2022,1663,0.04313430513046636
Å: Alternativet,Hillerød,2022,1211,0.03696468361771619
Å: Alternativet,Hørsholm,2022,283,0.017614838789991285
Å: Alternativet,Rudersdal,2022,1237,0.03480095653397102
Å: Alternativet,Egedal,2022,660,0.02370859975572958
Å: Alternativet,Frederikssund,2022,654,0.02245879120879121
Å: Alternativet,Greve,2022,356,0.01206370721789224
Å: Alternativet,Køge,2022,641,0.017069663400085214
Å: Alternativet,Halsnæs,2022,717,0.03697591666236914
Å: Alternativet,Roskilde,2022,1739,0.030723295996607895
Å: Alternativet,Solrød,2022,204,0.013821138211382113
Å: Alternativet,Gribskov,2022,853,0.032132901378738796
Å: Alternativet,Odsherred,2022,550,0.02569613156419361
Å: Alternativet,Holbæk,2022,840,0.018806671890742192
Å: Alternativet,Faxe,2022,386,0.017060773480662983
Å: Alternativet,Kalundborg,2022,459,0.015338345864661655
Å: Alternativet,Ringsted,2022,422,0.02030798845043311
Å: Alternativet,Slagelse,2022,662,0.014039999151661682
Å: Alternativet,Stevns,2022,294,0.019468909343752068
Å: Alternativet,Sorø,2022,486,0.02592
Å: Alternativet,Lejre,2022,588,0.03190623473872701
Å: Alternativet,Lolland,2022,262,0.01095363518541745
Å: Alternativet,Næstved,2022,829,0.01592240468644963
Å: Alternativet,Guldborgsund,2022,531,0.014115582965601574
Å: Alternativet,Vordingborg,2022,872,0.03037057676232934
Å: Alternativet,Bornholm,2022,656,0.02659962695645122
Å: Alternativet,Middelfart,2022,497,0.019430001172837094
Å: Alternativet,Christiansø,2022,7,0.11864406779661017
Å: Alternativet,Assens,2022,512,0.02013607582491053
Å: Alternativet,Faaborg-Midtfyn,2022,742,0.022750268281465584
Å: Alternativet,Kerteminde,2022,248,0.016232491163764892
Å: Alternativet,Nyborg,2022,360,0.017804154302670624
Å: Alternativet,Odense,2022,4044,0.032600283761124726
Å: Alternativet,Svendborg,2022,1523,0.04018787766841703
Å: Alternativet,Nordfyns,2022,213,0.011599411860807058
Å: Alternativet,Langeland,2022,201,0.02496274217585693
Å: Alternativet,Ærø,2022,136,0.034552845528455285
Å: Alternativet,Haderslev,2022,472,0.014283552731124225
Å: Alternativet,Billund,2022,135,0.00876509544215037
Å: Alternativet,Sønderborg,2022,537,0.012380118037624493
Å: Alternativet,Tønder,2022,178,0.008328654314055774
Å: Alternativet,Esbjerg,2022,888,0.012936685993997844
Å: Alternativet,Fanø,2022,123,0.052207130730050934
Å: Alternativet,Varde,2022,288,0.009579244969233328
Å: Alternativet,Vejen,2022,261,0.010379797176377013
Å: Alternativet,Aabenraa,2022,359,0.010681980480837896
Å: Alternativet,Fredericia,2022,546,0.01777922500814067
Å: Alternativet,Horsens,2022,1042,0.019204895220893158
Å: Alternativet,Kolding,2022,964,0.01732099541820142
Å: Alternativet,Vejle,2022,1387,0.019660930456723274
Å: Alternativet,Herning,2022,610,0.011236782964300187
Å: Alternativet,Holstebro,2022,387,0.010636543535620054
Å: Alternativet,Lemvig,2022,133,0.010586643317678899
Å: Alternativet,Struer,2022,131,0.009906231094978827
Å: Alternativet,Syddjurs,2022,1264,0.04508810729828066
Å: Alternativet,Norddjurs,2022,402,0.017701453104359312
Å: Alternativet,Favrskov,2022,624,0.020604939902258618
Å: Alternativet,Odder,2022,543,0.035943602303567884
Å: Alternativet,Randers,2022,1037,0.017269805319166654
Å: Alternativet,Silkeborg,2022,1439,0.023272362654246113
Å: Alternativet,Samsø,2022,145,0.05763116057233704
Å: Alternativet,Skanderborg,2022,1410,0.03481653414983456
Å: Alternativet,Aarhus,2022,12366,0.05529743725042146
Å: Alternativet,Ikast-Brande,2022,303,0.012467083607636603
Å: Alternativet,Ringkøbing-Skjern,2022,320,0.009402638615461464
Å: Alternativet,Hedensted,2022,341,0.011644186443571795
Å: Alternativet,Morsø,2022,131,0.010319836143059714
Å: Alternativet,Skive,2022,284,0.009958622624307455
Å: Alternativet,Thisted,2022,567,0.021167774210408424
Å: Alternativet,Viborg,2022,1124,0.0189375431738918
Å: Alternativet,Brønderslev,2022,262,0.011577551922227132
Å: Alternativet,Frederikshavn,2022,326,0.008931996273768426
Å: Alternativet,Vesthimmerlands,2022,192,0.008751937277782843
Å: Alternativet,Læsø,2022,20,0.016260162601626018
Å: Alternativet,Rebild,2022,371,0.019162233355715097
Å: Alternativet,Mariagerfjord,2022,385,0.014730639730639731
Å: Alternativet,Jammerbugt,2022,319,0.013123791500390834
Å: Alternativet,Aalborg,2022,3803,0.027470979579158752
Å: Alternativet,Hjørring,2022,468,0.011721391539559697
D: Nye Borgerlige,Copenhagen,2022,5400,0.015161512220459618
D: Nye Borgerlige,Frederiksberg,2022,868,0.01340581948477173
D: Nye Borgerlige,Ballerup,2022,909,0.03241681823044827
D: Nye Borgerlige,Brøndby,2022,682,0.03896474890018854
D: Nye Borgerlige,Dragør,2022,253,0.027762537035004937
D: Nye Borgerlige,Gentofte,2022,930,0.020709466230209098
D: Nye Borgerlige,Gladsaxe,2022,914,0.0243305116328595
D: Nye Borgerlige,Glostrup,2022,458,0.03557005281143212
D: Nye Borgerlige,Herlev,2022,535,0.03385433145605265
D: Nye Borgerlige,Albertslund,2022,409,0.02973896604377227
D: Nye Borgerlige,Hvidovre,2022,906,0.0313451425408248
D: Nye Borgerlige,Høje-Taastrup,2022,1017,0.03857094094891341
D: Nye Borgerlige,Lyngby-Taarbæk,2022,739,0.021500683715923306
D: Nye Borgerlige,Rødovre,2022,677,0.02988039016639449
D: Nye Borgerlige,Ishøj,2022,384,0.03872529245663574
D: Nye Borgerlige,Tårnby,2022,991,0.040212627820159066
D: Nye Borgerlige,Vallensbæk,2022,258,0.03020723568668774
D: Nye Borgerlige,Furesø,2022,539,0.02154104388138438
D: Nye Borgerlige,Allerød,2022,514,0.031012429105828406
D: Nye Borgerlige,Fredensborg,2022,858,0.03541649467514241
D: Nye Borgerlige,Helsingør,2022,1543,0.04002178762255538
D: Nye Borgerlige,Hillerød,2022,1271,0.03879612954427521
D: Nye Borgerlige,Hørsholm,2022,554,0.034482758620689655
D: Nye Borgerlige,Rudersdal,2022,820,0.023069348712899142
D: Nye Borgerlige,Egedal,2022,1052,0.03779007112579927
D: Nye Borgerlige,Frederikssund,2022,1572,0.053983516483516486
D: Nye Borgerlige,Greve,2022,1100,0.03727549983056591
D: Nye Borgerlige,Køge,2022,1363,0.0362963357477631
D: Nye Borgerlige,Halsnæs,2022,1024,0.05280800371306276
D: Nye Borgerlige,Roskilde,2022,1585,0.028002544079714496
D: Nye Borgerlige,Solrød,2022,553,0.03746612466124661
D: Nye Borgerlige,Gribskov,2022,1543,0.05812551796880886
D: Nye Borgerlige,Odsherred,2022,1094,0.05111194169314147
D: Nye Borgerlige,Holbæk,2022,1853,0.04148662263517296
D: Nye Borgerlige,Faxe,2022,1331,0.05882872928176795
D: Nye Borgerlige,Kalundborg,2022,2091,0.06987468671679198
D: Nye Borgerlige,Ringsted,2022,900,0.04331087584215592
D: Nye Borgerlige,Slagelse,2022,2331,0.04943691544187822
D: Nye Borgerlige,Stevns,2022,776,0.05138732534269254
D: Nye Borgerlige,Sorø,2022,907,0.04837333333333333
D: Nye Borgerlige,Lejre,2022,727,0.039448694991589345
D: Nye Borgerlige,Lolland,2022,1054,0.04406538734896944
D: Nye Borgerlige,Næstved,2022,2568,0.04932296168251225
D: Nye Borgerlige,Guldborgsund,2022,1521,0.04043277154553671
D: Nye Borgerlige,Vordingborg,2022,1236,0.043048202842017276
D: Nye Borgerlige,Bornholm,2022,528,0.021409455842997322
D: Nye Borgerlige,Middelfart,2022,1092,0.04269127018257164
D: Nye Borgerlige,Christiansø,2022,1,0.01694915254237288
D: Nye Borgerlige,Assens,2022,1189,0.046761316710583235
D: Nye Borgerlige,Faaborg-Midtfyn,2022,1380,0.04231181971485513
D: Nye Borgerlige,Kerteminde,2022,738,0.048304751930881004
D: Nye Borgerlige,Nyborg,2022,811,0.040108803165182984
D: Nye Borgerlige,Odense,2022,3082,0.024845221204694956
D: Nye Borgerlige,Svendborg,2022,1213,0.03200781064464205
D: Nye Borgerlige,Nordfyns,2022,965,0.052551326036050755
D: Nye Borgerlige,Langeland,2022,306,0.038002980625931444
D: Nye Borgerlige,Ærø,2022,97,0.02464430894308943
D: Nye Borgerlige,Haderslev,2022,2504,0.07577545770918445
D: Nye Borgerlige,Billund,2022,934,0.060641475133099594
D: Nye Borgerlige,Sønderborg,2022,3039,0.07006178531907045
D: Nye Borgerlige,Tønder,2022,1681,0.07865431405577392
D: Nye Borgerlige,Esbjerg,2022,3948,0.05751580664899041
D: Nye Borgerlige,Fanø,2022,81,0.03438030560271647
D: Nye Borgerlige,Varde,2022,1947,0.06475968734408781
D: Nye Borgerlige,Vejen,2022,2046,0.08136806522171405
D: Nye Borgerlige,Aabenraa,2022,2665,0.07929659604855986
D: Nye Borgerlige,Fredericia,2022,1638,0.053337675024422014
D: Nye Borgerlige,Horsens,2022,2333,0.04299906002912067
D: Nye Borgerlige,Kolding,2022,3089,0.05550265025604169
D: Nye Borgerlige,Vejle,2022,3207,0.045459700053865564
D: Nye Borgerlige,Herning,2022,1608,0.029620896732122464
D: Nye Borgerlige,Holstebro,2022,940,0.025835532102022867
D: Nye Borgerlige,Lemvig,2022,444,0.035341876940221284
D: Nye Borgerlige,Struer,2022,376,0.028433151845130067
D: Nye Borgerlige,Syddjurs,2022,1297,0.046265249340087036
D: Nye Borgerlige,Norddjurs,2022,1374,0.06050198150594452
D: Nye Borgerlige,Favrskov,2022,1475,0.04870558710870427
D: Nye Borgerlige,Odder,2022,535,0.03541404646852452
D: Nye Borgerlige,Randers,2022,2927,0.04874514963278765
D: Nye Borgerlige,Silkeborg,2022,1815,0.029353257969045657
D: Nye Borgerlige,Samsø,2022,68,0.02702702702702703
D: Nye Borgerlige,Skanderborg,2022,1469,0.03627339621709714
D: Nye Borgerlige,Aarhus,2022,4693,0.020985838024925433
D: Nye Borgerlige,Ikast-Brande,2022,957,0.03937623436471363
D: Nye Borgerlige,Ringkøbing-Skjern,2022,1205,0.035406811036347074
D: Nye Borgerlige,Hedensted,2022,1714,0.058528256786750894
D: Nye Borgerlige,Morsø,2022,367,0.02891129667559477
D: Nye Borgerlige,Skive,2022,838,0.029384949856231152
D: Nye Borgerlige,Thisted,2022,908,0.03389830508474576
D: Nye Borgerlige,Viborg,2022,1864,0.03140532070830455
D: Nye Borgerlige,Brønderslev,2022,912,0.04030048608042421
D: Nye Borgerlige,Frederikshavn,2022,1671,0.045783330593457176
D: Nye Borgerlige,Vesthimmerlands,2022,997,0.045446257635153614
D: Nye Borgerlige,Læsø,2022,85,0.06910569105691057
D: Nye Borgerlige,Rebild,2022,711,0.0367233097463974
D: Nye Borgerlige,Mariagerfjord,2022,919,0.035162228344046524
D: Nye Borgerlige,Jammerbugt,2022,1073,0.04414366231949644
D: Nye Borgerlige,Aalborg,2022,3491,0.02521724683430008
D: Nye Borgerlige,Hjørring,2022,1667,0.04175119593257695
Q: Frie Grønne,Copenhagen,2022,8852,0.02485364929176084
Q: Frie Grønne,Frederiksberg,2022,853,0.01317415209736208
Q: Frie Grønne,Ballerup,2022,405,0.01444313683534824
Q: Frie Grønne,Brøndby,2022,987,0.05639033308575673
Q: Frie Grønne,Dragør,2022,24,0.0026336003511467135
Q: Frie Grønne,Gentofte,2022,200,0.004453648651657871
Q: Frie Grønne,Gladsaxe,2022,668,0.017782036948304318
Q: Frie Grønne,Glostrup,2022,292,0.02267785026405716
Q: Frie Grønne,Herlev,2022,278,0.017591596532303994
Q: Frie Grønne,Albertslund,2022,665,0.04835308659928743
Q: Frie Grønne,Hvidovre,2022,701,0.02425269858843067
Q: Frie Grønne,Høje-Taastrup,2022,915,0.03470246899533508
Q: Frie Grønne,Lyngby-Taarbæk,2022,208,0.0060516132786360595
Q: Frie Grønne,Rødovre,2022,576,0.02542260669991614
Q: Frie Grønne,Ishøj,2022,755,0.07613957240822912
Q: Frie Grønne,Tårnby,2022,325,0.013187794189254991
Q: Frie Grønne,Vallensbæk,2022,299,0.0350076103500761
Q: Frie Grønne,Furesø,2022,163,0.006514267444648709
Q: Frie Grønne,Allerød,2022,65,0.003921805237118378
Q: Frie Grønne,Fredensborg,2022,224,0.009246264344093123
Q: Frie Grønne,Helsingør,2022,422,0.010945686569486954
Q: Frie Grønne,Hillerød,2022,224,0.006837398125820335
Q: Frie Grønne,Hørsholm,2022,64,0.003983567782895556
Q: Frie Grønne,Rudersdal,2022,122,0.0034322689548459697
Q: Frie Grønne,Egedal,2022,142,0.00510094115956606
Q: Frie Grønne,Frederikssund,2022,93,0.0031936813186813186
Q: Frie Grønne,Greve,2022,398,0.013486953575059302
Q: Frie Grønne,Køge,2022,276,0.007349808265871325
Q: Frie Grønne,Halsnæs,2022,46,0.002372234541797741
Q: Frie Grønne,Roskilde,2022,340,0.006006854881452952
Q: Frie Grønne,Solrød,2022,36,0.0024390243902439024
Q: Frie Grønne,Gribskov,2022,60,0.00226022752957131
Q: Frie Grønne,Odsherred,2022,42,0.0019622500467202392
Q: Frie Grønne,Holbæk,2022,274,0.0061345572595992385
Q: Frie Grønne,Faxe,2022,43,0.0019005524861878452
Q: Frie Grønne,Kalundborg,2022,97,0.003241436925647452
Q: Frie Grønne,Ringsted,2022,199,0.009576515880654475
Q: Frie Grønne,Slagelse,2022,382,0.008101630930415049
Q: Frie Grønne,Stevns,2022,25,0.0016555195020197338
Q: Frie Grønne,Sorø,2022,45,0.0024
Q: Frie Grønne,Lejre,2022,49,0.0026588528948939174
Q: Frie Grønne,Lolland,2022,46,0.0019231573226305447
Q: Frie Grønne,Næstved,2022,139,0.002669739748391434
Q: Frie Grønne,Guldborgsund,2022,92,0.002445637726620235
Q: Frie Grønne,Vordingborg,2022,81,0.002821120089161326
Q: Frie Grønne,Bornholm,2022,48,0.0019463141675452112
Q: Frie Grønne,Middelfart,2022,59,0.002306579616091325
Q: Frie Grønne,Assens,2022,41,0.0016124591969166634
Q: Frie Grønne,Faaborg-Midtfyn,2022,87,0.0026674842863713016
Q: Frie Grønne,Kerteminde,2022,74,0.004843565911768556
Q: Frie Grønne,Nyborg,2022,88,0.004352126607319486
Q: Frie Grønne,Odense,2022,2405,0.019387656391074422
Q: Frie Grønne,Svendborg,2022,149,0.003931709634007969
Q: Frie Grønne,Nordfyns,2022,22,0.0011980613189565975
Q: Frie Grønne,Langeland,2022,21,0.0026080476900149033
Q: Frie Grønne,Ærø,2022,12,0.003048780487804878
Q: Frie Grønne,Haderslev,2022,114,0.0034498411257376303
Q: Frie Grønne,Billund,2022,21,0.0013634592910011687
Q: Frie Grønne,Sønderborg,2022,206,0.004749170047952785
Q: Frie Grønne,Tønder,2022,26,0.0012165450121654502
Q: Frie Grønne,Esbjerg,2022,290,0.004224818624165963
Q: Frie Grønne,Fanø,2022,1,0.00042444821731748726
Q: Frie Grønne,Varde,2022,40,0.0013304506901712955
Q: Frie Grønne,Vejen,2022,28,0.0011135414595346987
Q: Frie Grønne,Aabenraa,2022,82,0.0024398952630326114
Q: Frie Grønne,Fredericia,2022,108,0.003516769781830023
Q: Frie Grønne,Horsens,2022,200,0.0036861603111119304
Q: Frie Grønne,Kolding,2022,341,0.006127032611625191
Q: Frie Grønne,Vejle,2022,527,0.007470303064667025
Q: Frie Grønne,Herning,2022,215,0.003960505471023837
Q: Frie Grønne,Holstebro,2022,119,0.0032706684256816184
Q: Frie Grønne,Lemvig,2022,11,0.0008755870413117886
Q: Frie Grønne,Struer,2022,32,0.0024198427102238356
Q: Frie Grønne,Syddjurs,2022,55,0.00196190340301063
Q: Frie Grønne,Norddjurs,2022,50,0.002201673271686482
Q: Frie Grønne,Favrskov,2022,63,0.002080306432439572
Q: Frie Grønne,Odder,2022,25,0.0016548619845104919
Q: Frie Grønne,Randers,2022,175,0.002914383732742685
Q: Frie Grønne,Silkeborg,2022,151,0.00244206168227322
Q: Frie Grønne,Samsø,2022,3,0.0011923688394276629
Q: Frie Grønne,Skanderborg,2022,111,0.0027408760926465503
Q: Frie Grønne,Aarhus,2022,3330,0.014890867381845663
Q: Frie Grønne,Ikast-Brande,2022,63,0.0025921658986175116
Q: Frie Grønne,Ringkøbing-Skjern,2022,40,0.001175329826932683
Q: Frie Grønne,Hedensted,2022,45,0.001536622844459621
Q: Frie Grønne,Morsø,2022,9,0.0007089963762407437
Q: Frie Grønne,Skive,2022,59,0.002068868784627253
Q: Frie Grønne,Thisted,2022,35,0.0013066527290375568
Q: Frie Grønne,Viborg,2022,77,0.0012973227974997052
Q: Frie Grønne,Brønderslev,2022,20,0.0008837825894829872
Q: Frie Grønne,Frederikshavn,2022,30,0.000821962847279303
Q: Frie Grønne,Vesthimmerlands,2022,15,0.0006837450998267846
Q: Frie Grønne,Læsø,2022,3,0.0024390243902439024
Q: Frie Grønne,Rebild,2022,36,0.0018594080884251846
Q: Frie Grønne,Mariagerfjord,2022,20,0.0007652280379553107
Q: Frie Grønne,Jammerbugt,2022,21,0.0008639486567655408
Q: Frie Grønne,Aalborg,2022,743,0.005367062273814081
Q: Frie Grønne,Hjørring,2022,49,0.0012272397124752673
M: Moderaterne,Copenhagen,2022,32677,0.09174680274591833
M: Moderaterne,Frederiksberg,2022,6827,0.10543955025637858
M: Moderaterne,Ballerup,2022,2663,0.0949680824506972
M: Moderaterne,Brøndby,2022,1335,0.07627263897617552
M: Moderaterne,Dragør,2022,1280,0.14045868539449138
M: Moderaterne,Gentofte,2022,6462,0.1438973879350658
M: Moderaterne,Gladsaxe,2022,4079,0.10858222861097801
M: Moderaterne,Glostrup,2022,1399,0.10865175520347935
M: Moderaterne,Herlev,2022,1551,0.09814592166044422
M: Moderaterne,Albertslund,2022,949,0.06900312659056206
M: Moderaterne,Hvidovre,2022,2806,0.09707998892886797
M: Moderaterne,Høje-Taastrup,2022,2460,0.09329844123335988
M: Moderaterne,Lyngby-Taarbæk,2022,4650,0.1352884699310465
M: Moderaterne,Rødovre,2022,2191,0.09670300569360463
M: Moderaterne,Ishøj,2022,835,0.08420734167002823
M: Moderaterne,Tårnby,2022,2124,0.08618730725531569
M: Moderaterne,Vallensbæk,2022,1022,0.11965811965811966
M: Moderaterne,Furesø,2022,2882,0.11517864279434098
M: Moderaterne,Allerød,2022,2005,0.12097260769880536
M: Moderaterne,Fredensborg,2022,2874,0.11863287377198052
M: Moderaterne,Helsingør,2022,4200,0.10893811277688437
M: Moderaterne,Hillerød,2022,3920,0.11965446720185587
M: Moderaterne,Hørsholm,2022,2250,0.1400473048674219
M: Moderaterne,Rudersdal,2022,4496,0.12648755099170067
M: Moderaterne,Egedal,2022,3277,0.11771678999928156
M: Moderaterne,Frederikssund,2022,2928,0.10054945054945055
M: Moderaterne,Greve,2022,3738,0.1266689257878685
M: Moderaterne,Køge,2022,4320,0.11504047720494248
M: Moderaterne,Halsnæs,2022,1807,0.0931875612397504
M: Moderaterne,Roskilde,2022,7218,0.12752199568919825
M: Moderaterne,Solrød,2022,2046,0.13861788617886178
M: Moderaterne,Gribskov,2022,3778,0.14231899344534016
M: Moderaterne,Odsherred,2022,2135,0.09974771070827883
M: Moderaterne,Holbæk,2022,4876,0.10916825254673682
M: Moderaterne,Faxe,2022,2448,0.10819889502762431
M: Moderaterne,Kalundborg,2022,2816,0.09410192147034252
M: Moderaterne,Ringsted,2022,2193,0.10553416746871992
M: Moderaterne,Slagelse,2022,4653,0.09868295476235923
M: Moderaterne,Stevns,2022,1669,0.11052248195483742
M: Moderaterne,Sorø,2022,1949,0.10394666666666667
M: Moderaterne,Lejre,2022,2137,0.11595854359976125
M: Moderaterne,Lolland,2022,1773,0.07412517245704252
M: Moderaterne,Næstved,2022,5584,0.10725055219437242
M: Moderaterne,Guldborgsund,2022,3443,0.09152533361688553
M: Moderaterne,Vordingborg,2022,3328,0.11590972415714684
M: Moderaterne,Bornholm,2022,1495,0.060619576676668556
M: Moderaterne,Middelfart,2022,2719,0.10629813518902224
M: Moderaterne,Christiansø,2022,4,0.06779661016949153
M: Moderaterne,Assens,2022,2074,0.08156683840012585
M: Moderaterne,Faaborg-Midtfyn,2022,3143,0.09636670243752875
M: Moderaterne,Kerteminde,2022,1425,0.09327137059824585
M: Moderaterne,Nyborg,2022,1834,0.090702274975272
M: Moderaterne,Odense,2022,13430,0.1082645427576422
M: Moderaterne,Svendborg,2022,3607,0.09517903791856876
M: Moderaterne,Nordfyns,2022,1616,0.08800304961063007
M: Moderaterne,Langeland,2022,650,0.08072528564331843
M: Moderaterne,Ærø,2022,327,0.08307926829268293
M: Moderaterne,Haderslev,2022,2722,0.08237252231805114
M: Moderaterne,Billund,2022,1321,0.085768082067264
M: Moderaterne,Sønderborg,2022,3660,0.08437845813353007
M: Moderaterne,Tønder,2022,2701,0.12638031068688002
M: Moderaterne,Esbjerg,2022,6012,0.0875848605809854
M: Moderaterne,Fanø,2022,220,0.0933786078098472
M: Moderaterne,Varde,2022,2522,0.08388491601530018
M: Moderaterne,Vejen,2022,2088,0.0830383774110161
M: Moderaterne,Aabenraa,2022,2736,0.08140918828850274
M: Moderaterne,Fredericia,2022,3111,0.10130250732660372
M: Moderaterne,Horsens,2022,4991,0.09198813056379822
M: Moderaterne,Kolding,2022,5695,0.10232683496541191
M: Moderaterne,Vejle,2022,7277,0.10315255294417827
M: Moderaterne,Herning,2022,4232,0.07795748443429246
M: Moderaterne,Holstebro,2022,1884,0.05178100263852243
M: Moderaterne,Lemvig,2022,591,0.04704290376502428
M: Moderaterne,Struer,2022,701,0.0530096793708409
M: Moderaterne,Syddjurs,2022,2305,0.08222158807162731
M: Moderaterne,Norddjurs,2022,1345,0.05922501100836636
M: Moderaterne,Favrskov,2022,2542,0.0839387135120856
M: Moderaterne,Odder,2022,1307,0.08651618455020851
M: Moderaterne,Randers,2022,3990,0.06644794910653322
M: Moderaterne,Silkeborg,2022,5823,0.09417301440978118
M: Moderaterne,Samsø,2022,152,0.06041335453100159
M: Moderaterne,Skanderborg,2022,3991,0.09854807644821967
M: Moderaterne,Aarhus,2022,20698,0.09255590782866112
M: Moderaterne,Ikast-Brande,2022,1806,0.07430875576036866
M: Moderaterne,Ringkøbing-Skjern,2022,2178,0.0639967090764846
M: Moderaterne,Hedensted,2022,2633,0.08990950998804849
M: Moderaterne,Morsø,2022,652,0.051362848589884984
M: Moderaterne,Skive,2022,1489,0.052212637632372536
M: Moderaterne,Thisted,2022,1459,0.054468752333308446
M: Moderaterne,Viborg,2022,3304,0.05566694185635099
M: Moderaterne,Brønderslev,2022,1309,0.05784357048166151
M: Moderaterne,Frederikshavn,2022,2213,0.06063345936763658
M: Moderaterne,Vesthimmerlands,2022,1031,0.04699607986142766
M: Moderaterne,Læsø,2022,76,0.061788617886178863
M: Moderaterne,Rebild,2022,1254,0.0647693817468106
M: Moderaterne,Mariagerfjord,2022,1368,0.05234159779614325
M: Moderaterne,Jammerbugt,2022,1380,0.056773768873164106
M: Moderaterne,Aalborg,2022,10023,0.07240116442858484
M: Moderaterne,Hjørring,2022,2530,0.06336564229719238
Æ: Danmarksdemokraterne,Copenhagen,2022,5470,0.015358050341835947
Æ: Danmarksdemokraterne,Frederiksberg,2022,1040,0.016062272193735714
Æ: Danmarksdemokraterne,Ballerup,2022,1231,0.04390000356620662
Æ: Danmarksdemokraterne,Brøndby,2022,917,0.05239101868251157
Æ: Danmarksdemokraterne,Dragør,2022,423,0.04641720618896082
Æ: Danmarksdemokraterne,Gentofte,2022,747,0.016634377713942147
Æ: Danmarksdemokraterne,Gladsaxe,2022,1171,0.031171804291114307
