party,municipality,year,N,N_pct
Å: Alternativet,Gribskov,2019,761,0.02872348456254246
Å: Alternativet,Odsherred,2019,504,0.0234364101371774
Å: Alternativet,Holbæk,2019,934,0.021244654717496134
Å: Alternativet,Faxe,2019,423,0.018710191082802547
Å: Alternativet,Kalundborg,2019,476,0.01574751050385417
Å: Alternativet,Ringsted,2019,436,0.020822388843784324
Å: Alternativet,Slagelse,2019,859,0.0178519472962301
Å: Alternativet,Stevns,2019,240,0.01641025641025641
Å: Alternativet,Sorø,2019,422,0.02262370664236316
Å: Alternativet,Lejre,2019,500,0.02753303964757709
Å: Alternativet,Lolland,2019,273,0.010906040268456376
Å: Alternativet,Næstved,2019,900,0.017411491584445733
Å: Alternativet,Guldborgsund,2019,614,0.016168531928900592
Å: Alternativet,Vordingborg,2019,822,0.02806226956165506
Å: Alternativet,Bornholm,2019,822,0.032584136044713996
Å: Alternativet,Middelfart,2019,498,0.02003218020917136
Å: Alternativet,Christiansø,2019,2,0.03571428571428571
Å: Alternativet,Assens,2019,574,0.022110939907550076
Å: Alternativet,Faaborg-Midtfyn,2019,854,0.02617624521072797
Å: Alternativet,Kerteminde,2019,263,0.017226698107028232
Å: Alternativet,Nyborg,2019,443,0.021845258641944868
Å: Alternativet,Odense,2019,4707,0.03759104267825198
Å: Alternativet,Svendborg,2019,1562,0.04164666986615475
Å: Alternativet,Nordfyns,2019,265,0.01424578002365337
Å: Alternativet,Langeland,2019,207,0.025222371146582184
Å: Alternativet,Ærø,2019,132,0.03283582089552239
Å: Alternativet,Haderslev,2019,495,0.014485967633373328
Å: Alternativet,Billund,2019,167,0.010692105768615148
Å: Alternativet,Sønderborg,2019,671,0.014951646686572485
Å: Alternativet,Tønder,2019,245,0.011083465279348564
Å: Alternativet,Esbjerg,2019,1229,0.017637266438965588
Å: Alternativet,Fanø,2019,93,0.040242319342276074
Å: Alternativet,Varde,2019,380,0.012481934042832743
Å: Alternativet,Vejen,2019,306,0.012024520591009117
Å: Alternativet,Aabenraa,2019,401,0.01167836444651542
Å: Alternativet,Fredericia,2019,588,0.019097109451120493
Å: Alternativet,Horsens,2019,1075,0.02047034180710273
Å: Alternativet,Kolding,2019,1202,0.02147195426938192
Å: Alternativet,Vejle,2019,1395,0.020170910510562617
Å: Alternativet,Herning,2019,827,0.015074735690849436
Å: Alternativet,Holstebro,2019,512,0.013949433304272014
Å: Alternativet,Lemvig,2019,147,0.011468247776564206
Å: Alternativet,Struer,2019,181,0.013507462686567164
Å: Alternativet,Syddjurs,2019,878,0.03231981152911728
Å: Alternativet,Norddjurs,2019,410,0.017885966060288794
Å: Alternativet,Favrskov,2019,630,0.021089983931440813
Å: Alternativet,Odder,2019,423,0.02884418683941357
Å: Alternativet,Randers,2019,1073,0.017997014474765604
Å: Alternativet,Silkeborg,2019,1645,0.027983329080547757
Å: Alternativet,Samsø,2019,98,0.04014748054076198
Å: Alternativet,Skanderborg,2019,1291,0.03294796212643238
Å: Alternativet,Aarhus,2019,10664,0.04876598819263114
Å: Alternativet,Ikast-Brande,2019,336,0.013750204616140122
Å: Alternativet,Ringkøbing-Skjern,2019,396,0.011531069827033953
Å: Alternativet,Hedensted,2019,373,0.012862512500431049
Å: Alternativet,Morsø,2019,152,0.011676140728222461
Å: Alternativet,Skive,2019,328,0.011146983857264231
Å: Alternativet,Thisted,2019,466,0.0171361329705082
Å: Alternativet,Viborg,2019,1131,0.019093119049226823
Å: Alternativet,Brønderslev,2019,308,0.013770286582912326
Å: Alternativet,Frederikshavn,2019,442,0.011857177347962551
Å: Alternativet,Vesthimmerlands,2019,214,0.00973258140804075
Å: Alternativet,Læsø,2019,15,0.012285012285012284
Å: Alternativet,Rebild,2019,384,0.02062409366775874
Å: Alternativet,Mariagerfjord,2019,376,0.014510651435628281
Å: Alternativet,Jammerbugt,2019,357,0.014883061658398299
Å: Alternativet,Aalborg,2019,3982,0.02957845868152275
Å: Alternativet,Hjørring,2019,572,0.0142331044092764
D: Nye Borgerlige,Copenhagen,2019,4671,0.013220684384817865
D: Nye Borgerlige,Frederiksberg,2019,906,0.013946829636243285
D: Nye Borgerlige,Ballerup,2019,689,0.023852385238523854
D: Nye Borgerlige,Brøndby,2019,406,0.022073614962213887
D: Nye Borgerlige,Dragør,2019,214,0.023612490345360258
D: Nye Borgerlige,Gentofte,2019,995,0.022214780084840367
D: Nye Borgerlige,Gladsaxe,2019,737,0.018935793016623417
D: Nye Borgerlige,Glostrup,2019,355,0.02719264649559556
D: Nye Borgerlige,Herlev,2019,400,0.024122542515981185
D: Nye Borgerlige,Albertslund,2019,358,0.02379369932207896
D: Nye Borgerlige,Hvidovre,2019,720,0.02382212811011117
D: Nye Borgerlige,Høje-Taastrup,2019,736,0.027567608060528877
D: Nye Borgerlige,Lyngby-Taarbæk,2019,692,0.020305164319248826
D: Nye Borgerlige,Rødovre,2019,518,0.022456322885507436
D: Nye Borgerlige,Ishøj,2019,326,0.030550089026333053
D: Nye Borgerlige,Tårnby,2019,626,0.024969087790674485
D: Nye Borgerlige,Vallensbæk,2019,212,0.023184601924759404
D: Nye Borgerlige,Furesø,2019,534,0.021536600120992136
D: Nye Borgerlige,Allerød,2019,468,0.028267697511476203
D: Nye Borgerlige,Fredensborg,2019,739,0.03014357970305107
D: Nye Borgerlige,Helsingør,2019,1453,0.03777656449054936
D: Nye Borgerlige,Hillerød,2019,1024,0.03244613434727503
D: Nye Borgerlige,Hørsholm,2019,516,0.0316622691292876
D: Nye Borgerlige,Rudersdal,2019,886,0.025150448506869535
D: Nye Borgerlige,Egedal,2019,873,0.031738529775321746
D: Nye Borgerlige,Frederikssund,2019,1089,0.037756128003328365
D: Nye Borgerlige,Greve,2019,860,0.028329545080212144
D: Nye Borgerlige,Køge,2019,999,0.026606652994913042
D: Nye Borgerlige,Halsnæs,2019,763,0.039293439077144915
D: Nye Borgerlige,Roskilde,2019,1116,0.02006400345187156
D: Nye Borgerlige,Solrød,2019,395,0.027138440398488492
D: Nye Borgerlige,Gribskov,2019,1094,0.04129236808333962
D: Nye Borgerlige,Odsherred,2019,528,0.024552429667519183
D: Nye Borgerlige,Holbæk,2019,975,0.022177235920298424
D: Nye Borgerlige,Faxe,2019,687,0.03038747346072187
D: Nye Borgerlige,Kalundborg,2019,961,0.03179276805505012
D: Nye Borgerlige,Ringsted,2019,512,0.024451979559673338
D: Nye Borgerlige,Slagelse,2019,1455,0.03023816451224074
D: Nye Borgerlige,Stevns,2019,391,0.026735042735042736
D: Nye Borgerlige,Sorø,2019,477,0.02557229400096499
D: Nye Borgerlige,Lejre,2019,489,0.026927312775330395
D: Nye Borgerlige,Lolland,2019,588,0.02348993288590604
D: Nye Borgerlige,Næstved,2019,1355,0.026213967885471076
D: Nye Borgerlige,Guldborgsund,2019,847,0.02230414746543779
D: Nye Borgerlige,Vordingborg,2019,684,0.023351085620647277
D: Nye Borgerlige,Bornholm,2019,428,0.016965949181432592
