draw,predicted_vote_party,share
21,Venstre (V),0.11041649015159208
21,Other - Right,0.10782314675892253
21,Other - Left,0.1311143746463796
21,Moderaterne (M),0.08484613278281042
21,Danmarksdemokraterne (Æ),0.05953796144713681
21,Socialistisk Folkeparti (F),0.09546837175496828
21,Liberal Alliance (I),0.0966981757351515
21,Other,0.005904540849257296
22,Did not vote,0.04359779983968009
22,Socialdemokratiet (A),0.26459704223462427
22,Venstre (V),0.1102641366705451
22,Other - Right,0.10776233825063111
22,Other - Left,0.131151509180303
22,Moderaterne (M),0.0849387954804632
22,Danmarksdemokraterne (Æ),0.059538763360039146
22,Socialistisk Folkeparti (F),0.09546168733650959
22,Liberal Alliance (I),0.09678098648631916
22,Other,0.005906941160885344
23,Did not vote,0.0437630454862876
23,Socialdemokratiet (A),0.2644606912739584
23,Venstre (V),0.11023425325403909
23,Other - Right,0.10766983048873738
23,Other - Left,0.13104550901186973
23,Moderaterne (M),0.08500154718838099
23,Danmarksdemokraterne (Æ),0.05953956490333449
23,Socialistisk Folkeparti (F),0.09546088006634518
23,Liberal Alliance (I),0.0969138850343353
23,Other,0.005910793292711899
24,Did not vote,0.04360863609459053
24,Socialdemokratiet (A),0.264776026050829
24,Venstre (V),0.11021917756759479
24,Other - Right,0.1077355251012323
24,Other - Left,0.13115564359711687
24,Moderaterne (M),0.08477940920287226
24,Danmarksdemokraterne (Æ),0.05953854052366918
24,Socialistisk Folkeparti (F),0.09553960272924444
24,Liberal Alliance (I),0.09674163849349643
24,Other,0.00590580063935425
25,Did not vote,0.04376414027727064
25,Socialdemokratiet (A),0.26463439902112856
25,Venstre (V),0.11021756723478654
25,Other - Right,0.10773222666236779
25,Other - Left,0.13113286342919298
25,Moderaterne (M),0.08481644997881747
25,Danmarksdemokraterne (Æ),0.05953951485038464
25,Socialistisk Folkeparti (F),0.09546092453444098
25,Liberal Alliance (I),0.09679457886862915
25,Other,0.005907335142981286
26,Did not vote,0.043557553545260475
26,Socialdemokratiet (A),0.26483288594908067
26,Venstre (V),0.1102433785309684
26,Other - Right,0.1077022276067483
26,Other - Left,0.13115643261511173
26,Moderaterne (M),0.08481012326813829
26,Danmarksdemokraterne (Æ),0.05955245249316492
26,Socialistisk Folkeparti (F),0.09546972729524829
26,Liberal Alliance (I),0.09676863553401127
26,Other,0.005906583162267724
27,Did not vote,0.043237561115318755
27,Socialdemokratiet (A),0.2647330004846308
27,Venstre (V),0.11058246811212505
27,Other - Right,0.10775736060163944
27,Other - Left,0.1310572403069408
27,Moderaterne (M),0.08494559488397448
27,Danmarksdemokraterne (Æ),0.05953900460436429
27,Socialistisk Folkeparti (F),0.09546116415112255
27,Liberal Alliance (I),0.09677970181582449
27,Other,0.005906903924059411
28,Did not vote,0.043773214874823885
28,Socialdemokratiet (A),0.26454025686788907
28,Venstre (V),0.11023397066373482
28,Other - Right,0.10771689472195274
28,Other - Left,0.1311833621080288
28,Moderaterne (M),0.0848211915261683
28,Danmarksdemokraterne (Æ),0.059538943859991936
28,Socialistisk Folkeparti (F),0.0954602478725396
28,Liberal Alliance (I),0.09682373719306536
28,Other,0.005908180311805524
29,Did not vote,0.043572176255898175
29,Socialdemokratiet (A),0.2647773171408235
29,Venstre (V),0.11024068256223564
29,Other - Right,0.10777309807327128
29,Other - Left,0.13109400415965952
29,Moderaterne (M),0.08492019300655458
29,Danmarksdemokraterne (Æ),0.05953856766214717
29,Socialistisk Folkeparti (F),0.09546086680289108
29,Liberal Alliance (I),0.09671797946607562
29,Other,0.005905114870443502
30,Did not vote,0.04387114632937662
30,Socialdemokratiet (A),0.2645471757163253
30,Venstre (V),0.11023151829238521
30,Other - Right,0.10771663022860191
30,Other - Left,0.1311083680586051
30,Moderaterne (M),0.08481952577323239
30,Danmarksdemokraterne (Æ),0.059538430159710616
30,Socialistisk Folkeparti (F),0.09545907208098302
30,Liberal Alliance (I),0.09680062302486425
30,Other,0.005907510335915636
31,Did not vote,0.04335362268196522
31,Socialdemokratiet (A),0.26489180355948194
31,Venstre (V),0.11022697979035738
31,Other - Right,0.10773096100512311
31,Other - Left,0.13119347340364199
31,Moderaterne (M),0.0848938989434398
31,Danmarksdemokraterne (Æ),0.05953952640990598
31,Socialistisk Folkeparti (F),0.09546196523174025
31,Liberal Alliance (I),0.09680026890283534
31,Other,0.0059075000715090005
32,Did not vote,0.04314616058800609
32,Socialdemokratiet (A),0.26519299551022696
32,Venstre (V),0.11026577398675688
32,Other - Right,0.1077847598666592
32,Other - Left,0.13108387164737845
32,Moderaterne (M),0.08485924770574364
32,Danmarksdemokraterne (Æ),0.059538074529571786
32,Socialistisk Folkeparti (F),0.09545885832078531
32,Liberal Alliance (I),0.09676381442489711
32,Other,0.00590644341997456
33,Did not vote,0.04356765139556186
33,Socialdemokratiet (A),0.26468732092948144
33,Venstre (V),0.11034241745618756
33,Other - Right,0.10769529524196611
33,Other - Left,0.13105878069641916
33,Moderaterne (M),0.08488028370768384
33,Danmarksdemokraterne (Æ),0.05953898080771097
33,Socialistisk Folkeparti (F),0.095460665923385
33,Liberal Alliance (I),0.09685939011186243
33,Other,0.005909213729741671
34,Did not vote,0.043627173452266306
34,Socialdemokratiet (A),0.2647313425549507
34,Venstre (V),0.11033769988620583
34,Other - Right,0.10773370270099156
34,Other - Left,0.13106385654353697
34,Moderaterne (M),0.0848080380897183
34,Danmarksdemokraterne (Æ),0.05953809736804255
34,Socialistisk Folkeparti (F),0.09546161385807854
34,Liberal Alliance (I),0.0967912372614083
34,Other,0.005907238284800971
35,Did not vote,0.0437660538276971
35,Socialdemokratiet (A),0.2645910106148485
35,Venstre (V),0.11025688196442188
35,Other - Right,0.10783039140355859
35,Other - Left,0.13106779153180761
35,Moderaterne (M),0.08484932818054608
35,Danmarksdemokraterne (Æ),0.05953844331202897
35,Socialistisk Folkeparti (F),0.09549767220738353
35,Liberal Alliance (I),0.09669789426694907
35,Other,0.005904532690758675
36,Did not vote,0.04357785924928282
36,Socialdemokratiet (A),0.26481624393165243
36,Venstre (V),0.11029741977746846
36,Other - Right,0.10774802944017106
36,Other - Left,0.13109342602852173
36,Moderaterne (M),0.08481977068113453
36,Danmarksdemokraterne (Æ),0.059665951142873125
36,Socialistisk Folkeparti (F),0.09546031722890733
36,Liberal Alliance (I),0.09661874403874311
36,Other,0.005902238481245458
37,Did not vote,0.04359780885974746
37,Socialdemokratiet (A),0.2647630389504124
37,Venstre (V),0.11026678992084189
37,Other - Right,0.1076448940632647
37,Other - Left,0.13135847157514438
37,Moderaterne (M),0.08489135544285926
37,Danmarksdemokraterne (Æ),0.05953857870077108
37,Socialistisk Folkeparti (F),0.09563787295737546
37,Liberal Alliance (I),0.09640514240018032
37,Other,0.005896047129403058
38,Did not vote,0.04376376823646219
