Did not vote,Socialdemokratiet (A),Venstre (V),Other - Right,Other - Left,Moderaterne (M),Danmarksdemokraterne (Æ),Socialistisk Folkeparti (F),Liberal Alliance (I),Other
0.04352434372377405,0.26479629812206035,0.11034290374364734,0.10749899276558089,0.13109529269354794,0.08480818354305422,0.05953947372980903,0.09546083798683967,0.097019810107013,0.00591386358467357
0.04354077319542845,0.26475186416438407,0.1103467072454462,0.10772241667057261,0.13108981253639002,0.08481750013507565,0.05953842256308803,0.0954594342056717,0.09682485652765689,0.0059082127562864375
0.04382160237728011,0.26463085619076177,0.11023775547802935,0.10766136627386388,0.13105120249131152,0.0848164397964672,0.0595404198616885,0.09546007728259354,0.09687073760540613,0.00590954264259801
0.0436278152528596,0.2647904157100606,0.1102384978172377,0.10768098989740911,0.13112818820630937,0.08477698359114857,0.05953917063741548,0.09546137479170491,0.09684768951388063,0.005908874581974082
0.043900788627482756,0.26434768319059976,0.11037773666082722,0.1078039099217364,0.13117304345565323,0.08479161723301865,0.059539001756231356,0.0954593940744236,0.09670216849849883,0.005904656581528234
0.04349664056245457,0.2646796692778776,0.11023187115107508,0.10777166496007738,0.13132379182896528,0.08483513072814365,0.05953767693259348,0.09560857256197232,0.09661291254441627,0.00590206945242439
0.043574384900207985,0.2646462003269295,0.11027384673779786,0.10771570080090272,0.13126689716875617,0.08481088987973849,0.0595382782964496,0.09548343422939312,0.09678335776618942,0.005907009893635206
0.04348385411559333,0.26490101013610956,0.11027554597581343,0.10778890697435092,0.1310820354442835,0.08478464943036322,0.05953847534234858,0.09546002953478004,0.09677862046577765,0.005906872580579793
0.043673414414278584,0.2646804709780788,0.11024486690143748,0.10773326828472261,0.13105383370452198,0.08500001458991781,0.05953906429527553,0.09546048522206435,0.09670970653438095,0.005904875075321918
0.04363219890820765,0.2647048677476895,0.11032091031818266,0.10769969832057927,0.13116739999182872,0.08481158648763697,0.05953764261836587,0.09546030146899723,0.0967590877243506,0.005906306414161618
0.04362351623630912,0.264777462411483,0.11025561825759085,0.10777525927084852,0.1310558006977141,0.08486312393906935,0.059539709130492266,0.09546075736155793,0.09674291505383183,0.005905837641103103
0.04345092864544252,0.26497050677622275,0.11024978628227154,0.1077448300036159,0.13107632516191026,0.08481682932137088,0.059539081990883785,0.09546072821240979,0.0967839563616445,0.005907027244228107
0.04370142138502997,0.26472709735691385,0.11029299333035632,0.10758047962200994,0.13104889668707953,0.08480734153250659,0.059538651254603565,0.0954600683948043,0.09693173961976857,0.005911310816927356
0.04361084277748452,0.2645956868175244,0.11035166747876383,0.10788321763103538,0.13108608255358228,0.08488645946044832,0.05953883675494915,0.0954612571384422,0.09668188085391091,0.005904068533859018
0.04368593746322535,0.26463101158603697,0.11023341377766149,0.10779052823563884,0.13110726845945184,0.08493195374380977,0.05953910629126851,0.09546080342669788,0.09671494995760564,0.005905027058603792
0.04366978595174602,0.2645632188867117,0.11045037742769973,0.10775911610817163,0.13111471899619084,0.0848072466388202,0.05953833478565064,0.09546351818546682,0.09672826987633777,0.005905413143204724
0.04368527209871647,0.2647095945146023,0.1101967081963412,0.10779037651733815,0.13116383159786862,0.08477884786184958,0.05953789337071981,0.09545973820347872,0.09677108352068206,0.005906654118403109
0.04335376969140471,0.26496041640867324,0.11028399323589527,0.10781284922957368,0.13112623261526388,0.08483037128368102,0.059538891115600824,0.09546097356035477,0.0967271229602913,0.005905379899261347
0.04388671574310289,0.2645365376212385,0.11024881182078237,0.10764869911341639,0.1310561303041111,0.08480379793219422,0.059538963806110776,0.09545991373736998,0.0969097563023527,0.005910673619321099
