municipality,predicted_vote_party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Favrskov,Venstre (V),0.1229376816264434,0.1229085663082504,0.12292985905449459,0.12296195429356799,4.7169987042304256e-5,250
Favrskov,Other - Right,0.11264475744469515,0.11252313535852557,0.11257626244456265,0.1126118928509437,7.586259006943801e-5,250
Favrskov,Liberal Alliance (I),0.10930433824747515,0.10929808116316257,0.10936084654333308,0.10942487945912947,1.097496092791379e-4,250
Favrskov,Other - Left,0.08822286118505247,0.08816317601095472,0.08818741104465636,0.08822487386567195,5.717337371175104e-5,250
Favrskov,Moderaterne (M),0.08387382539224399,0.08390051987926643,0.08392024845395185,0.08395822607281918,5.47678158911593e-5,250
Favrskov,Socialistisk Folkeparti (F),0.08005330438620036,0.08005504193342192,0.08005573495675686,0.080057035015793,5.168504272744986e-5,250
Favrskov,Danmarksdemokraterne (Æ),0.0662217138532763,0.0662229219384371,0.06622330636371485,0.06622379606501635,2.503677619710692e-5,250
Favrskov,Did not vote,0.03666195937061844,0.03648906579583453,0.03658575778807941,0.036669796962089496,1.405633828632661e-4,250
Favrskov,Other,0.005289960256645011,0.005289778891882327,0.00529159817826408,0.005293454204808904,3.1811480950474707e-6,250
Faxe,Socialdemokratiet (A),0.28132292513101603,0.28125830912587846,0.28131529655115084,0.28138687239007765,1.0893588550917655e-4,250
Faxe,Other - Right,0.12916742905597822,0.12902366152871755,0.12907639882773858,0.1291298393004782,8.559774860376532e-5,250
Faxe,Venstre (V),0.11775470650993686,0.11772255877764498,0.1177392303128077,0.11776874861818562,3.634732651642879e-5,250
Faxe,Moderaterne (M),0.11260884349653776,0.11262880963666407,0.11264617056396067,0.11267219654624318,4.6802555502981176e-5,250
Faxe,Socialistisk Folkeparti (F),0.09065735554565996,0.09065902579101556,0.09065983346194814,0.09066111894685142,4.846810820764616e-5,250
Faxe,Liberal Alliance (I),0.07876095565392048,0.07876068836701815,0.07882219356465142,0.07888058566289272,1.1502866619981971e-4,250
Faxe,Other - Left,0.0697979762218234,0.06974841584510345,0.06976607566926482,0.06980022258710794,5.1297112675521874e-5,250
Faxe,Danmarksdemokraterne (Æ),0.06769850418206903,0.06769954140323879,0.06770005478877868,0.06770048254520789,2.4166373696603903e-5,250
Faxe,Did not vote,0.047026386648248264,0.04695326567560812,0.04702102554282293,0.04707174154874923,1.0826441861532999e-4,250
Faxe,Other,0.005204917554810007,0.005204909807363562,0.00520669256671525,0.005208385091301954,3.3341642376758954e-6,250
Fredensborg,Socialdemokratiet (A),0.2540191215769392,0.2540197991251014,0.2541713173267688,0.25431335649327397,2.3089082359180823e-4,250
Fredensborg,Other - Left,0.12870282948728815,0.12859477018560891,0.12863068965332086,0.1287000378786105,9.09091880213016e-5,250
Fredensborg,Other - Right,0.11745247840491037,0.11729728484874277,0.11734533201920755,0.11738566143152723,7.225129234549948e-5,250
Fredensborg,Liberal Alliance (I),0.11269438367836344,0.112721996057153,0.1127938198290429,0.11284638966331201,1.1065028001495913e-4,250
Fredensborg,Venstre (V),0.10226859707376296,0.10220909573666583,0.10223923958106496,0.10229887265845283,7.43347799227699e-5,250
Fredensborg,Socialistisk Folkeparti (F),0.09045380827396073,0.09045550579409031,0.0904561908067181,0.09045777094128275,5.662352606278256e-5,250
Fredensborg,Moderaterne (M),0.0877844308755628,0.08781132876346676,0.08784877526316032,0.08790840340598902,8.147611526692292e-5,250
Fredensborg,Danmarksdemokraterne (Æ),0.05705712212025325,0.05705818429522406,0.057058535052626064,0.057058920423304696,2.6098567341038874e-5,250
Fredensborg,Did not vote,0.042144790172539116,0.041804077380135626,0.04196435922889996,0.042113916563979836,2.3872261659047407e-4,250
Fredensborg,Other,0.00742243833642006,0.007423238695225554,0.00742532054368613,0.007426844306998279,3.2072544931871885e-6,250
Fredericia,Socialdemokratiet (A),0.3339111021002408,0.33390457931977974,0.33398343035035744,0.3340541704914546,1.30112828758504e-4,250
Fredericia,Other - Right,0.10795818413337659,0.10780048030741991,0.10785562971719917,0.10789289063196561,6.99297622259416e-5,250
Fredericia,Liberal Alliance (I),0.10327495085443077,0.103292028906451,0.1033553094014758,0.1034096939187365,1.006663614268663e-4,250
Fredericia,Venstre (V),0.09502163521786018,0.09498049327586132,0.09500240932026377,0.09503693146094949,4.600913106655329e-5,250
Fredericia,Moderaterne (M),0.08934367031908629,0.08936296070133243,0.08938155934160091,0.08941725501948364,5.179152824460183e-5,250
Fredericia,Danmarksdemokraterne (Æ),0.07496834954756909,0.07496978469205791,0.07497030637063062,0.07497075290343018,2.32682202314193e-5,250
Fredericia,Other - Left,0.07143515067831889,0.07135935408935258,0.07138300527466877,0.07142496117384214,5.803161665430904e-5,250
Fredericia,Socialistisk Folkeparti (F),0.06941599963574123,0.06941728068801346,0.06941789658015522,0.069419435797997,4.937429790765327e-5,250
Fredericia,Did not vote,0.04886226507213915,0.04870482000905232,0.04879986609483339,0.048877968006388786,1.2991876948790208e-4,250
Fredericia,Other,0.0058086924412371075,0.005809187457237694,0.0058110216744847905,0.005812598037303941,2.9178655486048163e-6,250
Frederiksberg,Other - Left,0.29495103380853194,0.29471539269691316,0.2947794053524102,0.2948743687576345,1.368264978094588e-4,250
Frederiksberg,Socialdemokratiet (A),0.1837463375498015,0.18351889954049827,0.18377156196819078,0.18396976746479723,3.711812046075947e-4,250
Frederiksberg,Socialistisk Folkeparti (F),0.12359315811306056,0.12359509910403249,0.1235961579972582,0.12359780034712124,7.41524007023818e-5,250
Frederiksberg,Venstre (V),0.09612612946705076,0.09602431597286433,0.09607046875631364,0.09615230571835193,1.1390118462026392e-4,250
Frederiksberg,Liberal Alliance (I),0.08132396181410802,0.08130239763552011,0.08136945397764148,0.08142530734913869,1.1445697092881772e-4,250
Frederiksberg,Other - Right,0.0772056956516093,0.07714173406167119,0.07717497754807837,0.07720585889165114,4.909846822908653e-5,250
Frederiksberg,Moderaterne (M),0.07204300448001738,0.07207590657251564,0.0721263439808024,0.07221810338183617,1.254528573383549e-4,250
Frederiksberg,Did not vote,0.03638830923874867,0.03616456966357428,0.036403311718789494,0.03661357463188437,3.8125287704599936e-4,250
Frederiksberg,Danmarksdemokraterne (Æ),0.028634358159303926,0.028634808694862575,0.028634978887250022,0.028635178731972827,3.237401650859733e-5,250
Frederiksberg,Other,0.005988011717767962,0.0059873866691132396,0.005989330331203714,0.005990949269507981,3.317593360255534e-6,250
Frederikshavn,Socialdemokratiet (A),0.37259012780670697,0.3725919444617783,0.3726476894322387,0.37271362908703415,9.190658897421186e-5,250
