municipality,predicted_vote_party,expected_N,total_N,point_estimate
Thisted,Other - Left,2060.3844273150667,30483,0.06759126159876215
Thisted,Other - Right,3132.9546632136658,30483,0.1027771106260429
Thisted,Socialdemokratiet (A),10475.44249200134,30483,0.3436486727684723
Thisted,Socialistisk Folkeparti (F),1914.8257191270907,30483,0.06281618341787523
Thisted,Venstre (V),3403.482628318877,30483,0.11165182653672134
Tårnby,Danmarksdemokraterne (Æ),1833.791156159175,29507,0.06214766516959281
Tårnby,Did not vote,1313.728306138317,29507,0.04452259823561586
Tårnby,Liberal Alliance (I),3260.0736764727894,29507,0.110484755362212
Tårnby,Moderaterne (M),2557.375590646478,29507,0.08667013219393628
Tårnby,Other,162.40136390619853,29507,0.005503824987501221
Tårnby,Other - Left,2885.09730712338,29507,0.09777670746342833
Tårnby,Other - Right,3915.0526318731972,29507,0.13268216463460186
Tårnby,Socialdemokratiet (A),8871.01339503241,29507,0.3006409799380625
Tårnby,Socialistisk Folkeparti (F),2391.664127054596,29507,0.08105412705644749
Tårnby,Venstre (V),2316.8024455934597,29507,0.07851704495860168
Tønder,Danmarksdemokraterne (Æ),2094.2790358627326,24632,0.0850226955124526
Tønder,Did not vote,1166.1648444405357,24632,0.04734348994968073
Tønder,Liberal Alliance (I),2417.104741993665,24632,0.09812864330925888
Tønder,Moderaterne (M),2736.220687378115,24632,0.11108398373571432
Tønder,Other,143.85146910062133,24632,0.0058400239160693946
Tønder,Other - Left,1624.0030122225744,24632,0.06593061920357966
Tønder,Other - Right,2843.879542077763,24632,0.11545467449162726
Tønder,Socialdemokratiet (A),6506.416713552073,24632,0.2641448811932475
Tønder,Socialistisk Folkeparti (F),1672.070599394702,24632,0.06788204771819999
Tønder,Venstre (V),3428.009353977219,24632,0.13916894097016966
Vallensbæk,Danmarksdemokraterne (Æ),617.9701321119757,10523,0.058725661133894866
Vallensbæk,Did not vote,483.82960732337784,10523,0.045978295858916454
Vallensbæk,Liberal Alliance (I),1159.8443223486338,10523,0.11021992990103904
Vallensbæk,Moderaterne (M),1018.6222456538851,10523,0.09679960521276111
Vallensbæk,Other,71.28383117789251,10523,0.0067740978027076414
Vallensbæk,Other - Left,1107.9402559170667,10523,0.10528748987143084
Vallensbæk,Other - Right,1527.165907753832,10523,0.14512647607657816
Vallensbæk,Socialdemokratiet (A),2548.1230899498637,10523,0.24214797015583614
Vallensbæk,Socialistisk Folkeparti (F),775.2093090495698,10523,0.07366808980799865
Vallensbæk,Venstre (V),1213.0112987139032,10523,0.11527238417883715
Varde,Danmarksdemokraterne (Æ),2469.2822583124753,34385,0.07181277470735714
Varde,Did not vote,1542.2646266381057,34385,0.04485283195108639
Varde,Liberal Alliance (I),3287.6027974336675,34385,0.09561153984102566
Varde,Moderaterne (M),3060.5782079487867,34385,0.08900910885411624
Varde,Other,182.47644038262825,34385,0.005306861724083997
Varde,Other - Left,2270.7942508008705,34385,0.06604025740296264
Varde,Other - Right,3803.5066102026994,34385,0.11061528603177838
Varde,Socialdemokratiet (A),9377.775463038526,34385,0.2727286742195296
Varde,Socialistisk Folkeparti (F),1979.0147643574003,34385,0.05755459544444962
Varde,Venstre (V),6411.7045808848425,34385,0.18646806982361036
Vejen,Danmarksdemokraterne (Æ),2055.321707111424,29072,0.07069763714610017
Vejen,Did not vote,1312.974548211627,29072,0.04516285595114292
Vejen,Liberal Alliance (I),2910.1732819419512,29072,0.10010227304423333
Vejen,Moderaterne (M),2687.5477570897942,29072,0.09244454310297862
Vejen,Other,155.00027574662062,29072,0.005331600018802305
Vejen,Other - Left,2011.5353483780082,29072,0.06919150207684398
Vejen,Other - Right,3572.2502906026575,29072,0.12287597312199565
Vejen,Socialdemokratiet (A),7648.402834871641,29072,0.26308485260290454
Vejen,Socialistisk Folkeparti (F),1830.1888745357896,29072,0.06295366244275556
Vejen,Venstre (V),4888.605081510487,29072,0.16815510049224297
Vejle,Danmarksdemokraterne (Æ),6376.240546799632,82619,0.07717644303125955
Vejle,Did not vote,3806.884637767844,82619,0.046077592778511534
Vejle,Liberal Alliance (I),9714.64391159234,82619,0.11758365402137935
Vejle,Moderaterne (M),6929.050060620958,82619,0.08386751304931019
Vejle,Other,497.2938789994862,82619,0.006019122465770419
Vejle,Other - Left,7296.585879247232,82619,0.08831607595404485
Vejle,Other - Right,9352.11976750234,82619,0.11319575118922208
Vejle,Socialdemokratiet (A),20459.14598241344,82619,0.24763245721218413
Vejle,Socialistisk Folkeparti (F),6338.820829347058,82619,0.07672352399989177
Vejle,Venstre (V),11848.21450570967,82619,0.14340786629842614
Vesthimmerlands,Danmarksdemokraterne (Æ),2875.1428724429015,25675,0.11198219561608184
Vesthimmerlands,Did not vote,1319.009503219343,25675,0.051373301001727094
Vesthimmerlands,Liberal Alliance (I),2425.2077732290486,25675,0.09445794637698339
Vesthimmerlands,Moderaterne (M),1669.5027572713152,25675,0.06502445013714957
Vesthimmerlands,Other,139.81025465692312,25675,0.005445384796764289
Vesthimmerlands,Other - Left,1763.0479914814857,25675,0.06866788671787676
Vesthimmerlands,Other - Right,3151.2106165692558,25675,0.12273459071350558
Vesthimmerlands,Socialdemokratiet (A),7265.577736825228,25675,0.2829825798179252
Vesthimmerlands,Socialistisk Folkeparti (F),1901.3987266600068,25675,0.07405642557585226
Vesthimmerlands,Venstre (V),3165.0917676444924,25675,0.12327523924613408
Viborg,Danmarksdemokraterne (Æ),4125.294797512062,69281,0.059544388757553475
Viborg,Did not vote,3002.0495049799665,69281,0.04333149788513397
Viborg,Liberal Alliance (I),6990.673126115399,69281,0.10090317873753842
Viborg,Moderaterne (M),4401.564670150626,69281,0.06353206030730829
Viborg,Other,387.50829729125377,69281,0.005593283833825346
Viborg,Other - Left,5259.8245241836,69281,0.07592015883407573
Viborg,Other - Right,13271.310019171671,69281,0.19155771451294976
Viborg,Socialdemokratiet (A),18456.593819106274,69281,0.2664019546355606
Viborg,Socialistisk Folkeparti (F),5021.841193196942,69281,0.07248511414669162
Viborg,Venstre (V),8364.340048292206,69281,0.12073064834936283
Vordingborg,Danmarksdemokraterne (Æ),2006.433283060836,33915,0.05916064523251765
Vordingborg,Did not vote,1591.4843374696795,33915,0.046925677059403786
Vordingborg,Liberal Alliance (I),2647.189018399727,33915,0.07805363462773779
Vordingborg,Moderaterne (M),3709.9891356279945,33915,0.10939080452979491
Vordingborg,Other,185.8343564251308,33915,0.005479414902701778
Vordingborg,Other - Left,2579.246950219464,33915,0.07605033024382911
Vordingborg,Other - Right,3181.804799340186,33915,0.09381703668996567
Vordingborg,Socialdemokratiet (A),11291.081011236234,33915,0.3329229252907632
Vordingborg,Socialistisk Folkeparti (F),3621.2144528113918,33915,0.1067732405369716
Vordingborg,Venstre (V),3100.7226554093563,33915,0.0914262908863145
