party,point_estimate
Socialdemokratiet (A),0.26460720580658703
Other - Left,0.1311717443385435
Venstre (V),0.11028286222482224
Other - Right,0.10780939736589254
Liberal Alliance (I),0.09671743240557648
Socialistisk Folkeparti (F),0.09545839244191943
Moderaterne (M),0.08478264899932302
Danmarksdemokraterne (Æ),0.05953773308873969
Did not vote,0.043727484314978686
Other,0.00590509901361744
