MunicipalityCode,MunicipalityName,Age,Sex,Education,N
0115,Vallentuna,18-22,Female,Upper secondary,753.8
0115,Vallentuna,18-22,Male,Primary 9-10yr,883.9
0115,Vallentuna,18-22,Male,Primary <9yr,7.4
0115,Vallentuna,18-22,Male,Tertiary 2yr+,33.7
0115,Vallentuna,18-22,Male,Tertiary <2yr,153.6
0115,Vallentuna,18-22,Male,Upper secondary,896.5
0115,Vallentuna,23-30,Female,Postgraduate,3.1
0115,Vallentuna,23-30,Female,Primary 9-10yr,23.1
0115,Vallentuna,23-30,Female,Primary <9yr,1.4
0115,Vallentuna,23-30,Female,Tertiary 2yr+,211.8
0115,Vallentuna,23-30,Female,Tertiary <2yr,116.8
0115,Vallentuna,23-30,Female,Upper secondary,200.3
0115,Vallentuna,23-30,Male,Postgraduate,2.8
0115,Vallentuna,23-30,Male,Primary 9-10yr,55.9
0115,Vallentuna,23-30,Male,Primary <9yr,8.8
0115,Vallentuna,23-30,Male,Tertiary 2yr+,143.4
0115,Vallentuna,23-30,Male,Tertiary <2yr,134.2
0115,Vallentuna,23-30,Male,Upper secondary,351.0
0115,Vallentuna,31-40,Female,Postgraduate,24.5
0115,Vallentuna,31-40,Female,Primary 9-10yr,78.2
0115,Vallentuna,31-40,Female,Primary <9yr,8.3
0115,Vallentuna,31-40,Female,Tertiary 2yr+,902.0
0115,Vallentuna,31-40,Female,Tertiary <2yr,392.9
0115,Vallentuna,31-40,Female,Upper secondary,661.8
0115,Vallentuna,31-40,Male,Postgraduate,24.6
0115,Vallentuna,31-40,Male,Primary 9-10yr,161.3
0115,Vallentuna,31-40,Male,Primary <9yr,26.7
0115,Vallentuna,31-40,Male,Tertiary 2yr+,514.6
0115,Vallentuna,31-40,Male,Tertiary <2yr,389.0
0115,Vallentuna,31-40,Male,Upper secondary,900.1
0115,Vallentuna,41-50,Female,Postgraduate,51.9
0115,Vallentuna,41-50,Female,Primary 9-10yr,84.1
0115,Vallentuna,41-50,Female,Primary <9yr,23.4
0115,Vallentuna,41-50,Female,Tertiary 2yr+,1099.0
0115,Vallentuna,41-50,Female,Tertiary <2yr,386.6
0115,Vallentuna,41-50,Female,Upper secondary,725.7
0115,Vallentuna,41-50,Male,Postgraduate,51.3
0115,Vallentuna,41-50,Male,Primary 9-10yr,158.8
0115,Vallentuna,41-50,Male,Primary <9yr,23.6
0115,Vallentuna,41-50,Male,Tertiary 2yr+,659.9
0115,Vallentuna,41-50,Male,Tertiary <2yr,385.8
0115,Vallentuna,41-50,Male,Upper secondary,917.1
0115,Vallentuna,51-60,Female,Postgraduate,50.7
0115,Vallentuna,51-60,Female,Primary 9-10yr,114.5
0115,Vallentuna,51-60,Female,Primary <9yr,38.7
0115,Vallentuna,51-60,Female,Tertiary 2yr+,820.7
0115,Vallentuna,51-60,Female,Tertiary <2yr,399.6
0115,Vallentuna,51-60,Female,Upper secondary,919.9
0115,Vallentuna,51-60,Male,Postgraduate,66.2
0115,Vallentuna,51-60,Male,Primary 9-10yr,189.6
0115,Vallentuna,51-60,Male,Primary <9yr,19.8
0115,Vallentuna,51-60,Male,Tertiary 2yr+,598.1
0115,Vallentuna,51-60,Male,Tertiary <2yr,415.6
0115,Vallentuna,51-60,Male,Upper secondary,1089.8
0115,Vallentuna,61-70,Female,Postgraduate,18.7
0115,Vallentuna,61-70,Female,Primary 9-10yr,121.8
0115,Vallentuna,61-70,Female,Primary <9yr,33.8
0115,Vallentuna,61-70,Female,Tertiary 2yr+,347.3
0115,Vallentuna,61-70,Female,Tertiary <2yr,284.2
0115,Vallentuna,61-70,Female,Upper secondary,714.6
0115,Vallentuna,61-70,Male,Postgraduate,44.6
0115,Vallentuna,61-70,Male,Primary 9-10yr,213.1
0115,Vallentuna,61-70,Male,Primary <9yr,25.4
0115,Vallentuna,61-70,Male,Tertiary 2yr+,286.6
0115,Vallentuna,61-70,Male,Tertiary <2yr,293.8
0115,Vallentuna,61-70,Male,Upper secondary,755.2
0115,Vallentuna,71-104,Female,Postgraduate,12.0
0115,Vallentuna,71-104,Female,Primary 9-10yr,203.4
0115,Vallentuna,71-104,Female,Primary <9yr,229.8
0115,Vallentuna,71-104,Female,Tertiary 2yr+,433.5
0115,Vallentuna,71-104,Female,Tertiary <2yr,363.1
0115,Vallentuna,71-104,Female,Upper secondary,983.2
0115,Vallentuna,71-104,Male,Postgraduate,50.5
0115,Vallentuna,71-104,Male,Primary 9-10yr,185.8
0115,Vallentuna,71-104,Male,Primary <9yr,206.6
0115,Vallentuna,71-104,Male,Tertiary 2yr+,285.8
0115,Vallentuna,71-104,Male,Tertiary <2yr,256.3
0115,Vallentuna,71-104,Male,Upper secondary,807.8
0117,Österåker,18-22,Female,Primary 9-10yr,1129.5
0117,Österåker,18-22,Female,Primary <9yr,6.2
0117,Österåker,18-22,Female,Tertiary 2yr+,54.1
0117,Österåker,18-22,Female,Tertiary <2yr,239.2
0117,Österåker,18-22,Female,Upper secondary,978.8
0117,Österåker,18-22,Male,Primary 9-10yr,1195.3
0117,Österåker,18-22,Male,Primary <9yr,9.3
0117,Österåker,18-22,Male,Tertiary 2yr+,44.2
0117,Österåker,18-22,Male,Tertiary <2yr,212.4
0117,Österåker,18-22,Male,Upper secondary,1218.9
0117,Österåker,23-30,Female,Postgraduate,2.3
0117,Österåker,23-30,Female,Primary 9-10yr,38.2
0117,Österåker,23-30,Female,Primary <9yr,4.2
0117,Österåker,23-30,Female,Tertiary 2yr+,273.9
0117,Österåker,23-30,Female,Tertiary <2yr,159.5
0117,Österåker,23-30,Female,Upper secondary,268.3
0117,Österåker,23-30,Male,Postgraduate,2.1
0117,Österåker,23-30,Male,Primary 9-10yr,70.4
0117,Österåker,23-30,Male,Primary <9yr,8.9
0117,Österåker,23-30,Male,Tertiary 2yr+,140.0
0117,Österåker,23-30,Male,Tertiary <2yr,157.1
0117,Österåker,23-30,Male,Upper secondary,449.3
0117,Österåker,31-40,Female,Postgraduate,29.4
0117,Österåker,31-40,Female,Primary 9-10yr,128.9
0117,Österåker,31-40,Female,Primary <9yr,26.7
0117,Österåker,31-40,Female,Tertiary 2yr+,1280.3
0117,Österåker,31-40,Female,Tertiary <2yr,581.5
0117,Österåker,31-40,Female,Upper secondary,924.6
0117,Österåker,31-40,Male,Postgraduate,25.2
0117,Österåker,31-40,Male,Primary 9-10yr,221.9
0117,Österåker,31-40,Male,Primary <9yr,30.9
0117,Österåker,31-40,Male,Tertiary 2yr+,647.1
0117,Österåker,31-40,Male,Tertiary <2yr,525.6
0117,Österåker,31-40,Male,Upper secondary,1288.8
0117,Österåker,41-50,Female,Postgraduate,49.7
0117,Österåker,41-50,Female,Primary 9-10yr,113.7
0117,Österåker,41-50,Female,Primary <9yr,36.7
