StartDate,EndDate,Status,RecordedDate,res_attempts,res_city,res_audio,lang,consent_en,consent_followup_en,vote_2025_en,vote_2025_party_en,vote_2025_party_en_17_TEXT,vote_likelihood_en,vote_today_party_en,vote_today_party_en_18_TEXT,news_time_en,gender_en,gender_en_3_TEXT,birth_year_en,municipality_en_1,education_en,consent_nl,consent_followup_nl,vote_2025_nl,vote_2025_party_nl,vote_2025_party_nl_17_TEXT,vote_likelihood_nl,vote_today_party_nl,vote_today_party_nl_18_TEXT,news_time_nl,gender_nl,gender_nl_3_TEXT,birth_year_nl,municipality_nl_1,education_nl,res_interview_lang
2026-04-20 06:48:11,2026-04-20 06:53:43,IP Address,2026-04-20 06:53:44,1,Groningen,BC004POL20042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,SP (Socialistische Partij),,10,SP (Socialistische Partij),,00:30,Vrouw,,1998,Noordenveld,wo,Dutch
2026-04-20 08:31:55,2026-04-20 08:35:55,IP Address,2026-04-20 08:35:55,0,Groningen ,XM008POL20042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,Ik weet het niet,,8,Ik weet het niet,,05:00,Vrouw,,2003,Het Hogeland,havo/vwo,English
2026-04-20 08:30:33,2026-04-20 08:35:59,IP Address,2026-04-20 08:35:59,0,Groningen ,AA006POL20042026,English,I consent to participate,yes,Yes,ChristenUnie (Christian union party),,7,ChristenUnie (Christian union party),,00:00,Male,,2005,Haarlem,"mbo (intermediate vocational education, US: junior college)",,,,,,,,,,,,,,,English
2026-04-20 08:38:19,2026-04-20 08:47:35,IP Address,2026-04-20 08:47:35,4,Groningen,MM008POL20042026,English,I consent to participate,no,Yes,GroenLinks (green party)-PvdA (labor party),,10,D66 (social-liberal party),,00:10,Male,,1965,Groningen,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",,,,,,,,,,,,,,,English
2026-04-20 08:45:43,2026-04-20 08:55:06,IP Address,2026-04-20 08:55:06,0,Groningen,XM001APP20042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Nee,Ja,Ik weet het niet,,9,Ik weet het niet,,05:00,Vrouw,,2003,Het Hogeland,havo/vwo,English
2026-04-20 08:52:28,2026-04-20 09:03:34,IP Address,2026-04-20 09:03:34,2,Groningen ,AA007POL20042026,English,I consent to participate,yes,Yes,SP (socialist party),,10,I don’t know,,02:00,Male,,1964,Midden-Groningen,wo (university),,,,,,,,,,,,,,,English
2026-04-20 08:59:57,2026-04-20 09:06:59,IP Address,2026-04-20 09:06:59,0,Groningen,MM009POL20042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,GroenLinks-PvdA,,10,GroenLinks-PvdA,,01:00,Man,,1989,Groningen,hbo,English
2026-04-20 08:53:51,2026-04-20 09:14:34,IP Address,2026-04-20 09:14:34,8,Groningen,BC005POL20042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,VVD (Volkspartij voor Vrijheid en Democratie),,10,D66 (Democraten 66),,00:30,Man,,1946,Tynaarlo,havo/vwo,Dutch
2026-04-20 09:12:38,2026-04-20 09:24:02,IP Address,2026-04-20 09:24:02,0,Groningen ,AA008POL20042026,English,I consent to participate,yes,Yes,Partij voor de Dieren (animal welfare party),,10,Partij voor de Dieren (animal welfare party),,00:20,Female,,2005,Groningen,"mbo (intermediate vocational education, US: junior college)",,,,,,,,,,,,,,,English
2026-04-20 06:47:53,2026-04-20 09:24:38,IP Address,2026-04-20 09:24:39,20,Groningen,DJ002POL20042026,Nederlands,,,,,,,,,,,,,,,Ik geef toestemming om deel te nemen,Ja,Ja,Partij voor de Dieren,,10,Partij voor de Dieren,,01:00,Man,,2005,Het Hogeland,mbo,English
