municipality,party,point_estimate,lower_quartile,median,upper_quartile,sd_draws,n_distinct_draws
Aabenraa,A: Socialdemokratiet,0.27366180165644083,0.2496857100929803,0.2641781093182546,0.2814365981090235,0.02173236523461394,250
Aabenraa,V: Venstre,0.13196677418099123,0.12534229238325761,0.14085868137131902,0.15389033653023718,0.021182677770261112,250
Aabenraa,Other - Right,0.13027532590506563,0.1111382616214264,0.12238066981722319,0.13503305112585545,0.017981154251014972,250
Aabenraa,Æ: Danmarksdemokraterne,0.09256207469804693,0.08331635127560413,0.09331456164379179,0.10208619658533388,0.013870890287044545,250
Aabenraa,Other - Left,0.08694756395773946,0.06870529262182601,0.07420183126666907,0.08012248236229089,0.008067101940208545,250
Aabenraa,F: SF - Socialistisk Folkeparti,0.07776357813781329,0.070660149339948,0.0778560435197848,0.0846768333216525,0.00972496112357431,250
Aabenraa,I: Liberal Alliance,0.07397560612034432,0.060877847984275646,0.06820264381262692,0.07535261217621393,0.011632960430461395,250
Aabenraa,M: Moderaterne,0.06350797036460457,0.07179296773487669,0.08280866198560219,0.0958577226242874,0.01681964149301522,250
Aabenraa,Did not vote,0.05073605614827224,0.04743538913333554,0.050208092000189775,0.05369606828420043,0.00494645553407592,250
Aabenraa,Other,0.01860324883068141,0.019182937894442635,0.021261894094019768,0.02473298313182882,0.004213794783793987,250
Aalborg,A: Socialdemokratiet,0.24594814559610395,0.23201685284996357,0.24536057718544435,0.2608646014552519,0.0215385587775973,250
Aalborg,V: Venstre,0.12814948178436997,0.11548006930413478,0.12481126695009936,0.13403613465292527,0.016250249641480422,250
Aalborg,Other - Left,0.11987107353076361,0.11020770363736576,0.11966129235555364,0.12591594172417653,0.011495576360148075,250
Aalborg,I: Liberal Alliance,0.1050598343401767,0.08531477239576521,0.0938618345516521,0.10348931664057505,0.013926615265518317,250
Aalborg,F: SF - Socialistisk Folkeparti,0.09797804644658499,0.07802231460806819,0.08487271742646435,0.09327805138567712,0.011428405992217477,250
Aalborg,Other - Right,0.08263642149443495,0.08328122988451439,0.09138749799360651,0.09943686013718653,0.012261240537105714,250
Aalborg,Æ: Danmarksdemokraterne,0.08072865057606957,0.06243222980222776,0.06920866381903978,0.07601905497736927,0.01104328099819773,250
Aalborg,M: Moderaterne,0.07636142979942975,0.08440329704547109,0.09375092783465372,0.1075826019621181,0.01580318613862796,250
Aalborg,Did not vote,0.04399179223612823,0.041384567635786094,0.04376647795959712,0.04670157026401604,0.003982264539456689,250
Aalborg,Other,0.019275124195937902,0.023526507973130106,0.026509105297318942,0.0303538012020618,0.005139665578407227,250
Aarhus,Other - Left,0.22034800730996726,0.20543868828091597,0.21877790621748325,0.23326715406199797,0.02226530825284509,250
Aarhus,A: Socialdemokratiet,0.20001171792976155,0.16938971377412032,0.17817901443385825,0.18859954275316548,0.014713826390661195,250
Aarhus,F: SF - Socialistisk Folkeparti,0.14177516976569943,0.13465894200462034,0.146091863247308,0.15745261262089275,0.017702711351194327,250
Aarhus,V: Venstre,0.09615026000390733,0.09200713727796286,0.10048515784250736,0.1083680754365891,0.012459043661162402,250
Aarhus,M: Moderaterne,0.0860104402116882,0.08195754123510635,0.0900931042976506,0.10099659276730143,0.014893727992730574,250
Aarhus,I: Liberal Alliance,0.08070691807936137,0.07006854497287673,0.07738024640458835,0.08687085114049982,0.012390894875921975,250
Aarhus,Other - Right,0.0656346276663485,0.07222500124156218,0.07984274367761382,0.0884995569296308,0.011835783879162513,250
Aarhus,Æ: Danmarksdemokraterne,0.0541542043934621,0.03389742318947791,0.037995359405600615,0.04336010196597442,0.006495884930694583,250
Aarhus,Did not vote,0.0364759875730524,0.034836708448264087,0.0369596980535758,0.03935702132524005,0.003192571393269039,250
Aarhus,Other,0.01873266706675243,0.02244423641478071,0.025718080123927862,0.02916166559891667,0.004867769421535202,250
Albertslund,A: Socialdemokratiet,0.2869661676546203,0.23758656129999828,0.2508426992742175,0.26215938708865877,0.019741121995398913,250
Albertslund,Other - Left,0.13977464889189295,0.13369064180761617,0.14316968912151373,0.1537480275391282,0.015094058794686095,250
Albertslund,F: SF - Socialistisk Folkeparti,0.13814060986718185,0.1390692019083127,0.1515546872550554,0.16581453681265898,0.020684517257085783,250
Albertslund,I: Liberal Alliance,0.08264837671373017,0.06310330064073376,0.06829794022145202,0.07517976440947627,0.010367270819236272,250
Albertslund,Other - Right,0.07999130714518746,0.0763054758271801,0.08288776215958571,0.09045792298924067,0.011552793610168095,250
Albertslund,Æ: Danmarksdemokraterne,0.06690533815668338,0.05690937940062679,0.061995638946302056,0.06847649796644477,0.008781418885584402,250
Albertslund,V: Venstre,0.06250001952137674,0.06723592521166154,0.07527378220203396,0.08341449828262501,0.012767834061017063,250
Albertslund,Did not vote,0.061182654474772495,0.056319967404193164,0.061953983035433764,0.06857080045763991,0.01082023625305849,250
Albertslund,M: Moderaterne,0.05845223619227219,0.05910712057862782,0.06405326170880948,0.07112421611940199,0.008909958827913986,250
