municipality,party,expected_N,total_N,point_estimate
Vallensbæk,Other - Right,1535.1015645347925,10523,0.14588060102012662
Vallensbæk,V: Venstre,1223.4958901695225,10523,0.11626873421738311
Vallensbæk,Æ: Danmarksdemokraterne,607.747339575518,10523,0.0577541898294705
Varde,A: Socialdemokratiet,9453.40751971038,34385,0.27492823963095475
Varde,Did not vote,1533.273445769535,34385,0.044591346394344485
Varde,F: SF - Socialistisk Folkeparti,1956.439686667352,34385,0.05689805690467797
Varde,I: Liberal Alliance,2835.255950771184,34385,0.08245618585927537
Varde,M: Moderaterne,3055.1861894229896,34385,0.08885229575172283
Varde,Other,542.3310950407789,34385,0.01577231627281602
Varde,Other - Left,2264.29438869135,34385,0.06585122549633125
Varde,Other - Right,3806.2690467417106,34385,0.1106956244508277
Varde,V: Venstre,6481.564285104464,34385,0.18849976109072164
Varde,Æ: Danmarksdemokraterne,2456.9783920802624,34385,0.07145494814832812
Vejen,A: Socialdemokratiet,7704.209584160337,29072.000000000004,0.2650044573527909
Vejen,Did not vote,1311.6230167205513,29072.000000000004,0.04511636683821378
Vejen,F: SF - Socialistisk Folkeparti,1815.3206336706137,29072.000000000004,0.06244223423467988
Vejen,I: Liberal Alliance,2481.668297514022,29072.000000000004,0.08536283356886426
Vejen,M: Moderaterne,2684.6760477664398,29072.000000000004,0.09234576388849888
Vejen,Other,509.53740054796896,29072.000000000004,0.017526740525177796
Vejen,Other - Left,2007.4936067110953,29072.000000000004,0.06905247684064031
Vejen,Other - Right,3579.156321849867,29072.000000000004,0.12311352235311868
Vejen,V: Venstre,4931.972296274861,29072.000000000004,0.16964681811622387
Vejen,Æ: Danmarksdemokraterne,2046.3427947842463,29072.000000000004,0.07038878628179163
Vejle,A: Socialdemokratiet,20604.1714027951,82619.00000000006,0.24938780913343278
Vejle,Did not vote,3828.7427305933097,82619.00000000006,0.04634215774329521
Vejle,F: SF - Socialistisk Folkeparti,6303.828801515824,82619.00000000006,0.07629998912496908
Vejle,I: Liberal Alliance,8449.935717681114,82619.00000000006,0.10227593795230042
Vejle,M: Moderaterne,6905.676295405126,82619.00000000006,0.08358460275971775
Vejle,Other,1561.1201623910097,82619.00000000006,0.018895413432636666
Vejle,Other - Left,7296.806197182205,82619.00000000006,0.08831874262799357
Vejle,Other - Right,9362.359083770652,82619.00000000006,0.11331968534805124
Vejle,V: Venstre,11944.487704098308,82619.00000000006,0.1445731333482407
Vejle,Æ: Danmarksdemokraterne,6361.871904567359,82619.00000000006,0.07700252852936194
Vesthimmerlands,A: Socialdemokratiet,7326.674271414994,25675.000000000004,0.28536219168120713
Vesthimmerlands,Did not vote,1317.8789372542592,25675.000000000004,0.051329267273778345
Vesthimmerlands,F: SF - Socialistisk Folkeparti,1895.3514440963227,25675.000000000004,0.07382089363568929
Vesthimmerlands,I: Liberal Alliance,2108.202385307486,25675.000000000004,0.0821110958250238
Vesthimmerlands,M: Moderaterne,1654.6103133821105,25675.000000000004,0.06444441337418151
Vesthimmerlands,Other,382.6623144146659,25675.000000000004,0.014904082353054172
Vesthimmerlands,Other - Left,1760.213126632738,25675.000000000004,0.06855747328657207
Vesthimmerlands,Other - Right,3158.2140102765356,25675.000000000004,0.12300736164660313
Vesthimmerlands,V: Venstre,3185.5362661252534,25675.000000000004,0.12407151961539446
Vesthimmerlands,Æ: Danmarksdemokraterne,2885.6569310956315,25675.000000000004,0.11239170130849585
Viborg,A: Socialdemokratiet,18609.999492099992,69280.99999999996,0.2686162077929014
Viborg,Did not vote,2995.3207927668477,69280.99999999996,0.04323437584282631
Viborg,F: SF - Socialistisk Folkeparti,4996.099672950266,69280.99999999996,0.07211356176946448
Viborg,I: Liberal Alliance,6044.568414943215,69280.99999999996,0.08724713002039837
Viborg,M: Moderaterne,4358.6851820761785,69280.99999999996,0.06291313898581402
Viborg,Other,1139.688829147663,69280.99999999996,0.016450236416155423
Viborg,Other - Left,5252.451659381716,69280.99999999996,0.07581373911146952
Viborg,Other - Right,13378.447317978374,69280.99999999996,0.1931041312622275
Viborg,V: Venstre,8417.629288447255,69280.99999999996,0.12149982373879217
Viborg,Æ: Danmarksdemokraterne,4088.109350208482,69280.99999999996,0.05900765505995128
Vordingborg,A: Socialdemokratiet,11419.000915640197,33915,0.33669470486923775
Vordingborg,Did not vote,1581.8641111051031,33915,0.04664202008270981
Vordingborg,F: SF - Socialistisk Folkeparti,3643.261246367132,33915,0.10742330079219024
Vordingborg,I: Liberal Alliance,2131.4587697455754,33915,0.06284708151984596
Vordingborg,M: Moderaterne,3716.2068623026707,33915,0.10957413717536992
Vordingborg,Other,586.9954118568389,33915,0.01730784053831163
Vordingborg,Other - Left,2580.667791701443,33915,0.0760922244346585
Vordingborg,Other - Right,3172.4828934765433,33915,0.09354217583595882
Vordingborg,V: Venstre,3111.2745579616126,33915,0.09173741878111787
Vordingborg,Æ: Danmarksdemokraterne,1971.7874398428735,33915,0.05813909597059925
