Did not vote,A: Socialdemokratiet,Other - Left,V: Venstre,F: SF - Socialistisk Folkeparti,Other - Right,M: Moderaterne,I: Liberal Alliance,Æ: Danmarksdemokraterne,Other
0.0220921365446165,0.2461811680198958,0.05266254401195182,0.10713444526928563,0.027792752970232447,0.1646657977765602,0.06339590739418882,0.27461774668142497,0.04015100970677599,0.0013064916250676876
0.09565439144449364,0.2680010007564305,0.09939075185258578,0.09693144975415943,0.02440599423737945,0.13680364698328623,0.03861432125891939,0.15198315855839237,0.08084697502172346,0.007368310132629895
0.05525710525327734,0.1613132241468827,0.16106908396470285,0.08183431853974686,0.040353018003245936,0.20281159294835827,0.044520675903175856,0.22942078107064598,0.01967067242855805,0.003749527741406134
0.0446027841599853,0.06531995723936825,0.1002531792741936,0.10641505187431106,0.05724654158427098,0.19206520085026343,0.07003506987525872,0.32595921857449517,0.034112208529741145,0.003990788038112233
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.05945840178697076,0.13723277534344597,0.11281507180417545,0.13770160780590973,0.03391035187505577,0.18075639138140373,0.08177605117650893,0.20932314629654067,0.03739077785929826,0.009635424670690921
0.024154585106507913,0.17776679670730053,0.05598971890482275,0.10439198239241258,0.04280866492804748,0.11661219587603792,0.19522579489083317,0.14898052543625812,0.09868411619728681,0.03538561956049281
0.09971570344541145,0.21596777541204382,0.10363835011997898,0.08976123900099996,0.0389571325202487,0.12567574640110993,0.08672049001881726,0.07773260721374775,0.080740946791883,0.08109000907575899
0.059395843427382154,0.0952937768274624,0.1633834426770401,0.0902923444049267,0.06259214497594998,0.17025628223156947,0.11194042252072135,0.16009577829097876,0.02797916920565124,0.05877079543831785
