party,point_estimate
A: Socialdemokratiet,0.24089405955609267
Other - Left,0.14818360150382476
V: Venstre,0.11833948917340592
F: SF - Socialistisk Folkeparti,0.10485666121895365
Other - Right,0.09982409858314732
M: Moderaterne,0.08833119922094088
I: Liberal Alliance,0.06998571498429253
Æ: Danmarksdemokraterne,0.0643223576872826
Did not vote,0.04602981793369449
Other,0.01923300013836937
