Did not vote,A: Socialdemokratiet,Other - Left,V: Venstre,F: SF - Socialistisk Folkeparti,Other - Right,M: Moderaterne,I: Liberal Alliance,Æ: Danmarksdemokraterne,Other
0.052736553515323734,0.2500777236159456,0.12170113832528501,0.13857118967124013,0.09517934802275949,0.0966992383014693,0.0987796366443798,0.0690498686214803,0.05722077047145185,0.01998453281066793
0.04251239360665382,0.2456390634854561,0.14648416686552826,0.12371044317833982,0.1027398563617893,0.09325392011785684,0.09093291109947858,0.05644290640713412,0.07311651073576303,0.025167828142005792
0.04426291200784835,0.2199446026213215,0.1510225802924787,0.12932931312158255,0.09554865005055857,0.10989128819578955,0.10683173634368388,0.05792633382831077,0.06488520992690808,0.020357373611522695
0.0416811218475241,0.2221165133074885,0.1362774386716867,0.12851959281950326,0.09964636972598799,0.09999362197995598,0.11224852296960902,0.06757290596258961,0.07112388020434084,0.020820032511317154
0.038920890563496305,0.22240699839604924,0.14736700455411617,0.13048006184757727,0.0934667237539221,0.08730170166056586,0.1131288315931132,0.07883852563613704,0.06056279540601677,0.02752646658900954
0.049272794332800386,0.27679768331344107,0.12482581999442909,0.11669126137730981,0.103776338234239,0.09490506493786977,0.0765046634286607,0.07351398036259064,0.061818704308284275,0.02189368971038094
0.04312802433160059,0.2504055723355387,0.145581142242714,0.11171651918103531,0.10309200130194347,0.08615151770092072,0.08289906812014686,0.08163277227246749,0.0701136297966206,0.0252797527170166
0.040631455746648684,0.24934985877465768,0.14034423592062084,0.1356037164865277,0.09840130527074986,0.09864594225838058,0.08481833268108563,0.06558251082432234,0.06331732635604508,0.023305315680965322
0.04322421605092551,0.23222424679538517,0.14644897833325113,0.11493293785548961,0.1001965763336279,0.10491129130741896,0.10161950761080374,0.05869160388217664,0.07004035255613938,0.027710289274787296
0.04039055902344402,0.22386497134744224,0.14721045318630713,0.13957026954389043,0.10407363663378869,0.09848360214684729,0.1007020204748136,0.06364313848987209,0.05825306560101379,0.023808283552584866
0.04120176187864831,0.2441343877302993,0.12010987939034766,0.12187692940410866,0.13509579678580622,0.092801642602901,0.08865200449798816,0.0704402721958875,0.06079937079948029,0.024887954714539057
0.0395692128855523,0.2302621527758308,0.13451418048809075,0.12181563334364515,0.10821682548982692,0.09192169999059217,0.09556262858471895,0.0691897646160714,0.0787080063683504,0.03023989545732602
0.045376403517861416,0.2257730328715291,0.13350923297908515,0.12135626782006659,0.09742878078104439,0.0933131804065412,0.1057923675069411,0.07637877266680372,0.07487516917703475,0.026196792273095935
0.047623777286109004,0.22874580118737006,0.13616529437713112,0.14354468367482476,0.09649155213631998,0.11209825897154971,0.09264349407581643,0.062123051239372486,0.05980602774804074,0.020758059303469713
0.039134289925567826,0.21045346385397024,0.13942945420786085,0.1366941055019811,0.11359691793576357,0.09012036171777604,0.09300300108837882,0.07874002124482522,0.06958450940391561,0.029243875119963226
0.042701731544837133,0.2520797597467082,0.12654027818343033,0.11832621045371111,0.09618923611584332,0.0964035421527654,0.09850109138441496,0.08080646363284598,0.06017752590996652,0.028274160875481246
0.04276612934904996,0.23964244159761147,0.12703380146386012,0.1200496734849068,0.0949268001284297,0.10948511650672182,0.10114100047500345,0.07201880970097788,0.06982505165701357,0.02311117563643074
0.046573783556954816,0.22622493196334512,0.14227883015710496,0.12131883743361775,0.1142515880801907,0.08895042410002718,0.09969174808973885,0.067502822041736,0.06797209173524267,0.025234942842046738
0.048697125462379795,0.22474857243961238,0.1425417132470242,0.12182773788956257,0.09354775038078719,0.09888910683801941,0.09421933976698504,0.07854851529043992,0.06429334288343909,0.03268679580175324
0.042815858269389,0.24673681626716,0.12119701149626956,0.119699845868302,0.10245797984163636,0.09369639434066178,0.0994390659899682,0.07833087352584238,0.06924249306645722,0.02638366133431608
0.04270004706432765,0.24739939813587336,0.12717289170467289,0.11871601473453652,0.09275072768109262,0.10979740193576462,0.10274405631430714,0.0758384728451904,0.059698874452373034,0.023182115131864262
0.058115871924507304,0.2278686645505575,0.1384592620100586,0.12120260374271855,0.10953773820208301,0.08825235902825332,0.10765149863532303,0.06171708458084486,0.059867947073522186,0.0273269702521362
0.03750478980322944,0.24312769699570366,0.14706114819856314,0.12286852068895956,0.09790284625487894,0.09740295342066006,0.0895763638055839,0.0720030046383801,0.07343183437414612,0.019120841819898295
0.0414700705548705,0.25112685897316467,0.13598084550716197,0.13485297764013102,0.09008951913759203,0.09309555201753678,0.08211418242744238,0.08056822488763217,0.06277538082506748,0.027926388029405756
0.042425939113633855,0.24743703796274216,0.11877995692102995,0.13688605597452977,0.10513489753234892,0.09692664433647798,0.0989671149313489,0.07034281193039396,0.058331461313936836,0.024768079983562494
0.048417389668109025,0.23373434726447326,0.13309969645945932,0.1354932182428402,0.09300562322157016,0.10660764626192418,0.09259574779256602,0.07813129436953932,0.058904611657171785,0.020010425062349048
0.039277252708230445,0.2476350845855787,0.12046243435572328,0.13632908612414874,0.11269158171148669,0.11493960332623973,0.08245578007096141,0.06639330260699522,0.058812286652590695,0.021003587858049785
0.04701837425799277,0.2498185237809818,0.14893663633657012,0.12828140425666365,0.11148148084937595,0.09511670867731808,0.08590812844580199,0.055714633145260935,0.05460714971038187,0.02311696053965672
0.04743828745716587,0.23661625271074033,0.12949811559365426,0.12170017271765722,0.10623756081530185,0.10992035438756692,0.09355268944689349,0.07246841261607634,0.05780878621592472,0.02475936803902243
0.03723662328338963,0.24803234556011894,0.13776998068603588,0.11320195535771148,0.09693346789917458,0.09648478304628832,0.10815100285206343,0.07231656981296959,0.06341072337673427,0.0264625481255191
0.04492932405821395,0.23807683894698986,0.1223008963305653,0.1100123713144991,0.10804862069022111,0.11326507588706722,0.09549243819604063,0.0614375974893829,0.0782127847884491,0.028224052298576184
0.04150348602550219,0.23766455049499954,0.1308049564950962,0.13688722954460023,0.09653946579757451,0.09148059136003714,0.09927692540565686,0.07330778816850421,0.06459733255569614,0.02793767415233735
0.04492846612608188,0.2564309931291961,0.14692432177838927,0.11949100950708309,0.09699299289344358,0.10153337099621514,0.08883568730897734,0.06448672572674721,0.055574870849165015,0.024801561684705143
0.041729351561924866,0.23967759900119542,0.15018393197942473,0.12308937319271065,0.08909783186202704,0.11264738957268347,0.09798050846332929,0.06335751185046139,0.055986131466236544,0.026250371050011625
0.05036379902948831,0.23658908627699995,0.11522762443636242,0.12465576459557262,0.10159323713711342,0.11201526448773191,0.09082366754417408,0.0837546849873335,0.0639485742520657,0.021028297253162756
0.047665056773551,0.23696131583622038,0.12089357971813354,0.12525368968969824,0.09593463559918264,0.10248686477466769,0.10346111425716997,0.06972647231353923,0.07279200779305214,0.02482526324478861
0.04851099206964716,0.22513554099227132,0.1323951396334833,0.11884620129360285,0.1073840592136418,0.12280542328363622,0.08509575031872063,0.0746730292562921,0.058594838197826384,0.026559025740881495
0.039745908965487325,0.24706838651499463,0.138537967102378,0.14029924622810508,0.07834539763654358,0.09551979857670918,0.10488566651624161,0.07308350733520697,0.057040123388922115,0.025473997735417985
0.043326923176022956,0.221512243464478,0.1387910220432734,0.12538664006427924,0.11227451327173217,0.0960263755112935,0.09251447841634837,0.06567753003369255,0.07644799907441588,0.028042274944466487
0.04755648637702242,0.2235814700397733,0.1420322376600128,0.12150386987356523,0.09358224305627284,0.09516340436434352,0.09990980841730918,0.07316760156646529,0.08206634913192738,0.021436529513315438
0.048733033341024794,0.24199447344432112,0.12871123185313582,0.11028186210238738,0.10833877453022417,0.09834385540762107,0.09530909370519315,0.07307141086620626,0.06379566508226828,0.0314205996676243
0.03907919842041785,0.22391103952743477,0.13270362098850952,0.12734703592641394,0.10901265001449702,0.10176382709272222,0.086691383054585,0.07835549905638896,0.07748240510078495,0.02365334081825011
0.04397563293766412,0.27126763727150277,0.1302537032213816,0.10632998162905885,0.10635669926484638,0.09556052211266008,0.0845919508192578,0.0712817439084426,0.06362373712181567,0.026758391713376406
0.03993820145283219,0.23618923314265325,0.12472249887929694,0.13493989738717724,0.11506011494130614,0.10424244045570952,0.09024333431272094,0.07357449781152198,0.0576706348472101,0.023419146769575707
0.04224922360208615,0.27665100046709745,0.134955572255462,0.1173036806919058,0.10456852295246723,0.08335296310534634,0.08864249593293788,0.06662458471290757,0.06132634016280521,0.024325616116989718
0.041991226810515474,0.23468775158221725,0.12650818478753717,0.12514130076136232,0.10606053162296306,0.10943201575101107,0.09875159959450189,0.0645542199831744,0.06576738135455838,0.027105787752162793
0.04397205308317393,0.22064032294784497,0.13141293270057142,0.14925466585777306,0.10486508840054744,0.09468133938898622,0.08751107279378932,0.07592633685778755,0.061364047540539354,0.0303721404289898
0.046174286652253295,0.24874724724490557,0.13002020151030858,0.13130534470880056,0.08999733238702123,0.09653512208629346,0.09811167015700324,0.07003447631302165,0.061912766868442284,0.027161552071955593
0.046134141264718966,0.24146120362043338,0.1380685350132304,0.1321533142639242,0.09966646924414709,0.10568973942034816,0.0816480103902493,0.06659204121794748,0.06535248356208466,0.023234062002918953
0.05161006737119974,0.2036703718581821,0.12896659766734128,0.11217929018887567,0.10877284895639011,0.10716683720339282,0.11334071856516903,0.08334241469732352,0.061199020199203764,0.029751833292923947
0.04186915045689217,0.2311257174540779,0.13242558225029116,0.13626395766497998,0.10938467934146501,0.09714964307255049,0.08265771355362853,0.06875298660851949,0.06410579901464449,0.03626477058295381
0.043369913640562,0.22294420021904604,0.15119919531853643,0.10594641214825248,0.11958743300762228,0.09283975427914057,0.10273530334417717,0.07529205606783416,0.05796718195040934,0.028118550024422675
0.04555402494902805,0.2440616254004708,0.14108932927383547,0.12282892216772304,0.09431614871202346,0.10166013301167376,0.0888067675999767,0.07406795844979841,0.06020645584507751,0.027408634590397527
0.04286414507041366,0.24955097406970025,0.1466936903849739,0.10276483517349995,0.09545331640940455,0.09580988902871727,0.09900995100455266,0.07886027270977362,0.0642555126482652,0.024737413500701275
