municipality,party,pct
Dragør,Other - Right,0.1710175847433765
Dragør,Socialdemokratiet (A),0.23523666854602135
Dragør,Socialistisk Folkeparti (F),0.07071810702649425
Dragør,Venstre (V),0.1318469604168632
Egedal,Danmarksdemokraterne (Æ),0.055742667649909296
Egedal,Liberal Alliance (I),0.08520329384062804
Egedal,Moderaterne (M),0.11702174262588874
Egedal,Other,0.005429864021708974
Egedal,Other - Left,0.09639344715502786
Egedal,Other - Right,0.13212349397719345
Egedal,Socialdemokratiet (A),0.2725487169118638
Egedal,Socialistisk Folkeparti (F),0.08329482499764208
Egedal,Venstre (V),0.1522419488201379
Esbjerg,Danmarksdemokraterne (Æ),0.09887510891025518
Esbjerg,Liberal Alliance (I),0.08117920135376001
Esbjerg,Moderaterne (M),0.08808753058740514
Esbjerg,Other,0.005703264389728903
Esbjerg,Other - Left,0.06798426068761922
Esbjerg,Other - Right,0.13793728457562296
Esbjerg,Socialdemokratiet (A),0.3077104641923355
Esbjerg,Socialistisk Folkeparti (F),0.06646057582531055
Esbjerg,Venstre (V),0.14606230947796256
Faaborg-Midtfyn,Danmarksdemokraterne (Æ),0.10426021341784544
Faaborg-Midtfyn,Liberal Alliance (I),0.05453419915016054
Faaborg-Midtfyn,Moderaterne (M),0.09638205665267456
Faaborg-Midtfyn,Other,0.004960949546333785
Faaborg-Midtfyn,Other - Left,0.08200904225254796
Faaborg-Midtfyn,Other - Right,0.11999408527437316
Faaborg-Midtfyn,Socialdemokratiet (A),0.3357017370482886
Faaborg-Midtfyn,Socialistisk Folkeparti (F),0.07236442696321257
Faaborg-Midtfyn,Venstre (V),0.12979328969456344
Favrskov,Danmarksdemokraterne (Æ),0.09747034813611906
Favrskov,Liberal Alliance (I),0.08099166785266275
Favrskov,Moderaterne (M),0.0841688313542671
Favrskov,Other,0.0047379190726933
Favrskov,Other - Left,0.08774082942783534
Favrskov,Other - Right,0.13710369296313582
Favrskov,Socialdemokratiet (A),0.2851175659074027
Favrskov,Socialistisk Folkeparti (F),0.07390511686498373
Favrskov,Venstre (V),0.14876402842090017
Faxe,Danmarksdemokraterne (Æ),0.10460180265922878
Faxe,Liberal Alliance (I),0.06899602503323532
Faxe,Moderaterne (M),0.10805586274750757
Faxe,Other,0.005489459757876743
Faxe,Other - Left,0.060545365455859666
Faxe,Other - Right,0.14692414777443852
Faxe,Socialdemokratiet (A),0.2983589185923262
Faxe,Socialistisk Folkeparti (F),0.09173542838726946
Faxe,Venstre (V),0.11529298959225777
Fredensborg,Danmarksdemokraterne (Æ),0.04281250405222826
Fredensborg,Liberal Alliance (I),0.09685328702963386
Fredensborg,Moderaterne (M),0.11733796403480508
Fredensborg,Other,0.007588434037535725
Fredensborg,Other - Left,0.143289738331769
Fredensborg,Other - Right,0.1414367391333241
Fredensborg,Socialdemokratiet (A),0.22516059845650588
Fredensborg,Socialistisk Folkeparti (F),0.08053692839834323
Fredensborg,Venstre (V),0.14498380652585488
Fredericia,Danmarksdemokraterne (Æ),0.09320617818039212
Fredericia,Liberal Alliance (I),0.07869324568150723
Fredericia,Moderaterne (M),0.10105643286361918
Fredericia,Other,0.005703935447124776
Fredericia,Other - Left,0.07552862886602073
Fredericia,Other - Right,0.13399327588491305
Fredericia,Socialdemokratiet (A),0.3334662763364129
Fredericia,Socialistisk Folkeparti (F),0.06738630411576084
Fredericia,Venstre (V),0.11096572262424917
Frederiksberg,Danmarksdemokraterne (Æ),0.018906360358165848
Frederiksberg,Liberal Alliance (I),0.091451042188792
Frederiksberg,Moderaterne (M),0.10453574205857397
Frederiksberg,Other,0.006739766785866931
Frederiksberg,Other - Left,0.2690732223359884
Frederiksberg,Other - Right,0.11205498841293327
Frederiksberg,Socialdemokratiet (A),0.19085753196784205
Frederiksberg,Socialistisk Folkeparti (F),0.1020707707570293
Frederiksberg,Venstre (V),0.10431057513480815
Frederikshavn,Danmarksdemokraterne (Æ),0.16748817674404096
Frederikshavn,Liberal Alliance (I),0.0590010373844855
Frederikshavn,Moderaterne (M),0.06168733535940152
Frederikshavn,Other,0.005267653080161382
Frederikshavn,Other - Left,0.03820381832214146
Frederikshavn,Other - Right,0.11312350636960639
Frederikshavn,Socialdemokratiet (A),0.3896407156899408
Frederikshavn,Socialistisk Folkeparti (F),0.04197878256633908
Frederikshavn,Venstre (V),0.12360897448388301
Frederikssund,Danmarksdemokraterne (Æ),0.0701116682962597
Frederikssund,Liberal Alliance (I),0.07381440755838127
Frederikssund,Moderaterne (M),0.10058659255732352
Frederikssund,Other,0.005560116936979263
Frederikssund,Other - Left,0.09063657968880062
Frederikssund,Other - Right,0.1473801244790533
Frederikssund,Socialdemokratiet (A),0.29112510908847944
Frederikssund,Socialistisk Folkeparti (F),0.07711984199382306
Frederikssund,Venstre (V),0.14366555940089976
Furesø,Danmarksdemokraterne (Æ),0.02709861783275702
Furesø,Liberal Alliance (I),0.08728751692666
Furesø,Moderaterne (M),0.1140694618616223
Furesø,Other,0.007535767575940391
Furesø,Other - Left,0.17409905188931088
Furesø,Other - Right,0.12273873714715282
Furesø,Socialdemokratiet (A),0.23774013190355622
Furesø,Socialistisk Folkeparti (F),0.09089790051184513
Furesø,Venstre (V),0.1385328143511553
Gentofte,Danmarksdemokraterne (Æ),0.02072812108848373
Gentofte,Liberal Alliance (I),0.13794282952636008
Gentofte,Moderaterne (M),0.14122100296373302
Gentofte,Other,0.009677827187000899
Gentofte,Other - Left,0.14751262043954036
Gentofte,Other - Right,0.1846127357785612
Gentofte,Socialdemokratiet (A),0.1326516498500386
Gentofte,Socialistisk Folkeparti (F),0.0629820021327603
Gentofte,Venstre (V),0.16267121103352183
Gladsaxe,Danmarksdemokraterne (Æ),0.03289077320799777
Gladsaxe,Liberal Alliance (I),0.07311543784082573
Gladsaxe,Moderaterne (M),0.1079236304398896
Gladsaxe,Other,0.005454071020386974
Gladsaxe,Other - Left,0.1860119279554633
Gladsaxe,Other - Right,0.10674521026317323
Gladsaxe,Socialdemokratiet (A),0.27803455576123937
Gladsaxe,Socialistisk Folkeparti (F),0.11546874962571851
Gladsaxe,Venstre (V),0.0943556438853055
Glostrup,Danmarksdemokraterne (Æ),0.051685616578802496
Glostrup,Liberal Alliance (I),0.0756003219626092
Glostrup,Moderaterne (M),0.10829060847116358
Glostrup,Other,0.0055469261964484805
Glostrup,Other - Left,0.11257997010535833
Glostrup,Other - Right,0.13384893372238266
Glostrup,Socialdemokratiet (A),0.3265138655689278
Glostrup,Socialistisk Folkeparti (F),0.08123480163471482
Glostrup,Venstre (V),0.10469895575959266
Greve,Danmarksdemokraterne (Æ),0.06229227867106918
Greve,Liberal Alliance (I),0.08468666805441609
Greve,Moderaterne (M),0.12561360665900373
Greve,Other,0.005643934201001815
Greve,Other - Left,0.07543922443498607
Greve,Other - Right,0.1270546422212633
Greve,Socialdemokratiet (A),0.26277934999949293
Greve,Socialistisk Folkeparti (F),0.06745209379513734
Greve,Venstre (V),0.18903820196362955
Gribskov,Danmarksdemokraterne (Æ),0.08044336063958259
Gribskov,Liberal Alliance (I),0.07666784028949246
Gribskov,Moderaterne (M),0.14035047984755625
Gribskov,Other,0.0064967361275460826
Gribskov,Other - Left,0.10007335942309248
Gribskov,Other - Right,0.158806124243976
Gribskov,Socialdemokratiet (A),0.24416449806263035
Gribskov,Socialistisk Folkeparti (F),0.06739563029906132
Gribskov,Venstre (V),0.12560197106706253
Guldborgsund,Danmarksdemokraterne (Æ),0.08800090207961032
Guldborgsund,Liberal Alliance (I),0.04786370064051008
Guldborgsund,Moderaterne (M),0.0915689545966526
Guldborgsund,Other,0.004853903863363859
Guldborgsund,Other - Left,0.05997085565016796
Guldborgsund,Other - Right,0.16725517478575191
Guldborgsund,Socialdemokratiet (A),0.3585050092502098
Guldborgsund,Socialistisk Folkeparti (F),0.08122039870523842
Guldborgsund,Venstre (V),0.100761100428495
Haderslev,Danmarksdemokraterne (Æ),0.11196384490245367
Haderslev,Liberal Alliance (I),0.063611983480945
Haderslev,Moderaterne (M),0.0826894873190872
Haderslev,Other,0.0051848371971154935
Haderslev,Other - Left,0.060510500868356354
Haderslev,Other - Right,0.16153389277062855
Haderslev,Socialdemokratiet (A),0.30088339919898743
Haderslev,Socialistisk Folkeparti (F),0.050237550184646804
Haderslev,Venstre (V),0.16338450407777955
Halsnæs,Danmarksdemokraterne (Æ),0.0803929854726248
Halsnæs,Liberal Alliance (I),0.05370183022027928
Halsnæs,Moderaterne (M),0.09354484975882393
Halsnæs,Other,0.005303183160497413
Halsnæs,Other - Left,0.10666519337984236
Halsnæs,Other - Right,0.1324132333291656
Halsnæs,Socialdemokratiet (A),0.3341928887777584
Halsnæs,Socialistisk Folkeparti (F),0.08399827142177016
Halsnæs,Venstre (V),0.10978756447923818
Hedensted,Danmarksdemokraterne (Æ),0.13691187174591515
Hedensted,Liberal Alliance (I),0.09482757728048154
Hedensted,Moderaterne (M),0.09027301461163888
Hedensted,Other,0.005602379598006022
Hedensted,Other - Left,0.04912655546218274
Hedensted,Other - Right,0.144697103470314
Hedensted,Socialdemokratiet (A),0.25343667268225967
Hedensted,Socialistisk Folkeparti (F),0.04280880558532232
Hedensted,Venstre (V),0.18231601956387972
Helsingør,Danmarksdemokraterne (Æ),0.04910344187547401
Helsingør,Liberal Alliance (I),0.08462137004674974
Helsingør,Moderaterne (M),0.10831404687072986
Helsingør,Other,0.007067832039606487
Helsingør,Other - Left,0.15010168535267712
Helsingør,Other - Right,0.14093427888977697
Helsingør,Socialdemokratiet (A),0.27612450661944565
Helsingør,Socialistisk Folkeparti (F),0.07768803045815129
Helsingør,Venstre (V),0.10604480784738893
Herlev,Danmarksdemokraterne (Æ),0.044992942553641106
Herlev,Liberal Alliance (I),0.06326258964657155
Herlev,Moderaterne (M),0.09785427186644445
Herlev,Other,0.005147519800525099
Herlev,Other - Left,0.14575253952509187
