municipality,party,pct
Bollnäs,Left Party (V),0.05110874880513999
Bollnäs,Moderate Party (M),0.13728035513188475
Bollnäs,Other party,0.011091737865102536
Bollnäs,Social Democrats (S),0.35970771562041864
Bollnäs,Sweden Democrats (SD),0.24238685040105845
Bollnäs,The Liberals (L),0.026910040824250702
Borgholm,Centre Party (C),0.08857080300302037
Borgholm,Christian Democrats (KD),0.07507940588494054
Borgholm,Green Party (MP),0.04703277472907676
Borgholm,Left Party (V),0.03722026127466806
Borgholm,Moderate Party (M),0.17894393377485068
Borgholm,Other party,0.013306014262437356
Borgholm,Social Democrats (S),0.2804053634738025
Borgholm,Sweden Democrats (SD),0.24910918733730214
Borgholm,The Liberals (L),0.030332256259901554
Borlänge,Centre Party (C),0.05307459502623498
Borlänge,Christian Democrats (KD),0.04844951065115198
Borlänge,Green Party (MP),0.04146625497518635
Borlänge,Left Party (V),0.060037423468397286
Borlänge,Moderate Party (M),0.1651640589675918
Borlänge,Other party,0.016242802331333087
Borlänge,Social Democrats (S),0.33876877965610347
Borlänge,Sweden Democrats (SD),0.2405603589834081
Borlänge,The Liberals (L),0.03623621594059293
Borås,Centre Party (C),0.0594573275837831
Borås,Christian Democrats (KD),0.0633940115379461
Borås,Green Party (MP),0.041879290946728716
Borås,Left Party (V),0.06114965948726473
Borås,Moderate Party (M),0.19812070509114915
Borås,Other party,0.01791914668104978
Borås,Social Democrats (S),0.3030755335612902
Borås,Sweden Democrats (SD),0.2123144575520374
Borås,The Liberals (L),0.04268986755875082
Botkyrka,Centre Party (C),0.04776417854318548
Botkyrka,Christian Democrats (KD),0.06602893421517664
Botkyrka,Green Party (MP),0.051166358846777206
Botkyrka,Left Party (V),0.09935504160566232
Botkyrka,Moderate Party (M),0.1679624388074366
Botkyrka,Other party,0.03487481382360854
Botkyrka,Social Democrats (S),0.31905186092879945
Botkyrka,Sweden Democrats (SD),0.1806035633471587
Botkyrka,The Liberals (L),0.033192809882195085
Boxholm,Centre Party (C),0.05936171028662486
Boxholm,Christian Democrats (KD),0.06076907991376954
Boxholm,Green Party (MP),0.028299690979208727
Boxholm,Left Party (V),0.040963996697266254
Boxholm,Moderate Party (M),0.14607039401155192
Boxholm,Other party,0.013605885443417197
Boxholm,Social Democrats (S),0.3607782186830912
Boxholm,Sweden Democrats (SD),0.26461357456581897
Boxholm,The Liberals (L),0.025537449419251356
Bromölla,Centre Party (C),0.024251332519373454
Bromölla,Christian Democrats (KD),0.05174897795245993
Bromölla,Green Party (MP),0.02156303005512098
Bromölla,Left Party (V),0.03208623740555784
Bromölla,Moderate Party (M),0.15779841945986797
Bromölla,Other party,0.011823600894571096
Bromölla,Social Democrats (S),0.2836966998379969
Bromölla,Sweden Democrats (SD),0.3899365357959937
Bromölla,The Liberals (L),0.027095166079058135
Bräcke,Centre Party (C),0.07961077494188785
Bräcke,Christian Democrats (KD),0.04680428047895136
Bräcke,Green Party (MP),0.028810219085311204
Bräcke,Left Party (V),0.04572431469380235
Bräcke,Moderate Party (M),0.12804387632624528
Bräcke,Other party,0.013186417888091969
Bräcke,Social Democrats (S),0.3727470828317904
Bräcke,Sweden Democrats (SD),0.2721723095890813
Bräcke,The Liberals (L),0.012900724164838215
Burlöv,Centre Party (C),0.04888393774650258
Burlöv,Christian Democrats (KD),0.034050020703611066
Burlöv,Green Party (MP),0.044782117701523544
Burlöv,Left Party (V),0.0690603807466857
Burlöv,Moderate Party (M),0.1731261581361964
Burlöv,Other party,0.02720135175343543
Burlöv,Social Democrats (S),0.3262825105712572
Burlöv,Sweden Democrats (SD),0.23971588636278401
Burlöv,The Liberals (L),0.03689763627800416
Båstad,Centre Party (C),0.07633957487071485
Båstad,Christian Democrats (KD),0.06828749634463611
Båstad,Green Party (MP),0.04572808061513654
Båstad,Left Party (V),0.02485805896395882
Båstad,Moderate Party (M),0.2551195120669252
Båstad,Other party,0.011287445989972288
Båstad,Social Democrats (S),0.21130822109398328
Båstad,Sweden Democrats (SD),0.24533265579643007
Båstad,The Liberals (L),0.0617389542582429
Danderyd,Centre Party (C),0.0986902548337618
Danderyd,Christian Democrats (KD),0.05887242841545131
Danderyd,Green Party (MP),0.0464613280727234
Danderyd,Left Party (V),0.019865061535950527
Danderyd,Moderate Party (M),0.40402458806073976
Danderyd,Other party,0.009030712532943335
Danderyd,Social Democrats (S),0.12999129780154137
Danderyd,Sweden Democrats (SD),0.11102198956830128
Danderyd,The Liberals (L),0.12204233917858723
Degerfors,Centre Party (C),0.03877391458723146
Degerfors,Christian Democrats (KD),0.04201053571461292
Degerfors,Green Party (MP),0.026686800902949823
Degerfors,Left Party (V),0.07766956229473229
Degerfors,Moderate Party (M),0.11961869827873897
Degerfors,Other party,0.013844898091684796
Degerfors,Social Democrats (S),0.39354445300870516
Degerfors,Sweden Democrats (SD),0.2637756535409951
Degerfors,The Liberals (L),0.02407548358034942
Eda,Centre Party (C),0.061562316073869756
Eda,Christian Democrats (KD),0.09203917957912142
Eda,Green Party (MP),0.019271517551142252
Eda,Left Party (V),0.030424472556241717
Eda,Moderate Party (M),0.13710337909475917
Eda,Other party,0.01017593887007866
Eda,Social Democrats (S),0.33810848575794317
Eda,Sweden Democrats (SD),0.2890371712826941
Eda,The Liberals (L),0.022277539234149702
Ekerö,Centre Party (C),0.09110910442435675
Ekerö,Christian Democrats (KD),0.056762931904291686
Ekerö,Green Party (MP),0.06409833004250794
Ekerö,Left Party (V),0.03626331935808365
Ekerö,Moderate Party (M),0.2528695010580641
Ekerö,Other party,0.01098377499114769
Ekerö,Social Democrats (S),0.23291369548405408
Ekerö,Sweden Democrats (SD),0.19258013096070256
Ekerö,The Liberals (L),0.0624192117767915
Eksjö,Centre Party (C),0.08921108696717613
Eksjö,Christian Democrats (KD),0.0791077424546967
Eksjö,Green Party (MP),0.03355705293174221
Eksjö,Left Party (V),0.036055577336921794
Eksjö,Moderate Party (M),0.17629801499849979
Eksjö,Other party,0.01906056864637489
Eksjö,Social Democrats (S),0.2869000463187699
Eksjö,Sweden Democrats (SD),0.24109385601982483
Eksjö,The Liberals (L),0.038716054325993794
Emmaboda,Centre Party (C),0.07027702506931725
Emmaboda,Christian Democrats (KD),0.06305717235151642
Emmaboda,Green Party (MP),0.02996696659604795
Emmaboda,Left Party (V),0.04339534178262981
Emmaboda,Moderate Party (M),0.14419837647898254
Emmaboda,Other party,0.014595907460661061
Emmaboda,Social Democrats (S),0.33176665725679666
Emmaboda,Sweden Democrats (SD),0.2775439500731631
Emmaboda,The Liberals (L),0.02519860293088526
Enköping,Centre Party (C),0.06649788073150047
Enköping,Christian Democrats (KD),0.06380243997464309
Enköping,Green Party (MP),0.03727990308077212
Enköping,Left Party (V),0.04154163158724015
Enköping,Moderate Party (M),0.2141895071003542
Enköping,Other party,0.015301867477227398
Enköping,Social Democrats (S),0.2805018261012051
Enköping,Sweden Democrats (SD),0.24409157728552788
Enköping,The Liberals (L),0.03679336666152957
Eskilstuna,Centre Party (C),0.051572445087209526
Eskilstuna,Christian Democrats (KD),0.04795808155942812
Eskilstuna,Green Party (MP),0.03947547010583646
Eskilstuna,Left Party (V),0.05838850915261038
Eskilstuna,Moderate Party (M),0.1820377655390163
Eskilstuna,Other party,0.015741194462299952
Eskilstuna,Social Democrats (S),0.32914851331036515
Eskilstuna,Sweden Democrats (SD),0.23860563935609963
Eskilstuna,The Liberals (L),0.03707238142713449
Eslöv,Centre Party (C),0.05122168546376943
Eslöv,Christian Democrats (KD),0.04713560148336212
Eslöv,Green Party (MP),0.04058209759391472
Eslöv,Left Party (V),0.04751185235783675
Eslöv,Moderate Party (M),0.1749403232105478
Eslöv,Other party,0.016561602116714015
Eslöv,Social Democrats (S),0.28210910529938527
Eslöv,Sweden Democrats (SD),0.30400255583918295
Eslöv,The Liberals (L),0.03593517663528691
Essunga,Centre Party (C),0.08284807490430036
Essunga,Christian Democrats (KD),0.05903345661061012
Essunga,Green Party (MP),0.02872445890228914
Essunga,Left Party (V),0.034290364604963784
Essunga,Moderate Party (M),0.2053171906587512
Essunga,Other party,0.009883417097705006
Essunga,Social Democrats (S),0.27083047432425345
Essunga,Sweden Democrats (SD),0.28954368115963264
Essunga,The Liberals (L),0.019528881737494255
Fagersta,Centre Party (C),0.03411272384439635
Fagersta,Christian Democrats (KD),0.0494991263060821
Fagersta,Green Party (MP),0.030181741641573223
Fagersta,Left Party (V),0.07655308945859432
Fagersta,Moderate Party (M),0.1473609834718178
Fagersta,Other party,0.012321512756086922
Fagersta,Social Democrats (S),0.3506088151521243
Fagersta,Sweden Democrats (SD),0.274254756319296
Fagersta,The Liberals (L),0.025107251050028978
Falkenberg,Centre Party (C),0.08415869241534427
Falkenberg,Christian Democrats (KD),0.054499339851809006
Falkenberg,Green Party (MP),0.03920108337620248
Falkenberg,Left Party (V),0.04156409408708654
Falkenberg,Moderate Party (M),0.19852094035089107
Falkenberg,Other party,0.010688626199111574
Falkenberg,Social Democrats (S),0.31632143442696564
Falkenberg,Sweden Democrats (SD),0.2149833830256636
Falkenberg,The Liberals (L),0.04006240626692584
Falköping,Centre Party (C),0.07119764757271688
Falköping,Christian Democrats (KD),0.07673668662617715
Falköping,Green Party (MP),0.037845825268999496
Falköping,Left Party (V),0.0481756382311021
Falköping,Moderate Party (M),0.17176808963628576
Falköping,Other party,0.016687121019827222
Falköping,Social Democrats (S),0.2971716119964151
Falköping,Sweden Democrats (SD),0.2482093513466576
Falköping,The Liberals (L),0.032208028301818716
Falun,Centre Party (C),0.08047494943278564
Falun,Christian Democrats (KD),0.055176891914293105
Falun,Green Party (MP),0.06608377238923432
Falun,Left Party (V),0.05951495460757762
Falun,Moderate Party (M),0.1836289022569053
Falun,Other party,0.01515653883680247
Falun,Social Democrats (S),0.31596955799808285
Falun,Sweden Democrats (SD),0.18429453735040977
Falun,The Liberals (L),0.039699895213908834
Filipstad,Centre Party (C),0.03157076036599959
Filipstad,Christian Democrats (KD),0.0496447145967509
Filipstad,Green Party (MP),0.0210878484230987
Filipstad,Left Party (V),0.050428359498678584
Filipstad,Moderate Party (M),0.14484027797133475
Filipstad,Other party,0.013409905163797612
Filipstad,Social Democrats (S),0.36479108449063924
Filipstad,Sweden Democrats (SD),0.2986401922513981
Filipstad,The Liberals (L),0.025586857238302563
Finspång,Centre Party (C),0.04843793605917739
Finspång,Christian Democrats (KD),0.05555686797744334
Finspång,Green Party (MP),0.03225439006574474
Finspång,Left Party (V),0.0533099528815165
Finspång,Moderate Party (M),0.15036248336622463
Finspång,Other party,0.014988746496387874
Finspång,Social Democrats (S),0.35464312793720204
Finspång,Sweden Democrats (SD),0.25836097792162077
Finspång,The Liberals (L),0.032085517294682744
Flen,Centre Party (C),0.06292588029942238
Flen,Christian Democrats (KD),0.05077359723710414
Flen,Green Party (MP),0.04504209860516595
Flen,Left Party (V),0.051059034906907066
Flen,Moderate Party (M),0.15080452281435566
Flen,Other party,0.013436935308254858
Flen,Social Democrats (S),0.34866107355734366
Flen,Sweden Democrats (SD),0.2457465155910498
Flen,The Liberals (L),0.031550341680396554
Forshaga,Centre Party (C),0.0483448997894646
Forshaga,Christian Democrats (KD),0.05875071824090362
Forshaga,Green Party (MP),0.030744125140633634
Forshaga,Left Party (V),0.04296653924269693
Forshaga,Moderate Party (M),0.14016549252728622
Forshaga,Other party,0.011329540719909006
Forshaga,Social Democrats (S),0.379626086104195
Forshaga,Sweden Democrats (SD),0.264634575204013
Forshaga,The Liberals (L),0.023438023030898
Färgelanda,Centre Party (C),0.06883348888664988
Färgelanda,Christian Democrats (KD),0.06697097479359948
Färgelanda,Green Party (MP),0.020041854524813343
Färgelanda,Left Party (V),0.030624611790302448
Färgelanda,Moderate Party (M),0.12853981604142625
Färgelanda,Other party,0.012260806959512002
Färgelanda,Social Democrats (S),0.26874879828969606
Färgelanda,Sweden Democrats (SD),0.3757351269319806
Färgelanda,The Liberals (L),0.02824452178201982
Gagnef,Centre Party (C),0.08166937422741256
Gagnef,Christian Democrats (KD),0.09193823923344181
Gagnef,Green Party (MP),0.041554176235492526
Gagnef,Left Party (V),0.04733769710052645
Gagnef,Moderate Party (M),0.15137664357779576
Gagnef,Other party,0.00950310671808584
Gagnef,Social Democrats (S),0.27317630693274564
Gagnef,Sweden Democrats (SD),0.2741118874343255
Gagnef,The Liberals (L),0.0293325685401739
Gislaved,Centre Party (C),0.07111942669809473
Gislaved,Christian Democrats (KD),0.07836314029365316
Gislaved,Green Party (MP),0.023353369347747937
Gislaved,Left Party (V),0.03486550518958331
Gislaved,Moderate Party (M),0.19086031495055336
Gislaved,Other party,0.010252891221049323
Gislaved,Social Democrats (S),0.28781921769967483
Gislaved,Sweden Democrats (SD),0.2723071534400958
Gislaved,The Liberals (L),0.031058981159547524
Gnesta,Centre Party (C),0.07643558978538255
Gnesta,Christian Democrats (KD),0.043714013966646086
Gnesta,Green Party (MP),0.06488814134957539
Gnesta,Left Party (V),0.0678994429002255
Gnesta,Moderate Party (M),0.1922641980038966
Gnesta,Other party,0.014136441512314578
Gnesta,Social Democrats (S),0.2920886582357969
Gnesta,Sweden Democrats (SD),0.21893746704014203
