municipality_code,municipality,age_group,gender,education_level,N
0180,Stockholm,18-22,Men,"Tertiary education, 2 years or longer",2689.8
0180,Stockholm,18-22,Men,"Tertiary education, shorter than 2 years",6624.8
0180,Stockholm,18-22,Men,Upper secondary school,17088.8
0180,Stockholm,18-22,Women,"Primary school, 9/10 years",16590.2
0180,Stockholm,18-22,Women,"Primary school, shorter than 9 years",98.2
0180,Stockholm,18-22,Women,"Tertiary education, 2 years or longer",3859.8
0180,Stockholm,18-22,Women,"Tertiary education, shorter than 2 years",8006.1
0180,Stockholm,18-22,Women,Upper secondary school,16159.6
0180,Stockholm,23-30,Men,Postgraduate education,254.6
0180,Stockholm,23-30,Men,"Primary school, 9/10 years",1729.7
0180,Stockholm,23-30,Men,"Primary school, shorter than 9 years",327.4
0180,Stockholm,23-30,Men,"Tertiary education, 2 years or longer",14345.0
0180,Stockholm,23-30,Men,"Tertiary education, shorter than 2 years",6493.9
0180,Stockholm,23-30,Men,Upper secondary school,8628.3
0180,Stockholm,23-30,Women,Postgraduate education,234.9
0180,Stockholm,23-30,Women,"Primary school, 9/10 years",950.9
0180,Stockholm,23-30,Women,"Primary school, shorter than 9 years",228.8
0180,Stockholm,23-30,Women,"Tertiary education, 2 years or longer",20132.6
0180,Stockholm,23-30,Women,"Tertiary education, shorter than 2 years",6520.8
0180,Stockholm,23-30,Women,Upper secondary school,6522.8
0180,Stockholm,31-40,Men,Postgraduate education,1292.5
0180,Stockholm,31-40,Men,"Primary school, 9/10 years",4415.6
0180,Stockholm,31-40,Men,"Primary school, shorter than 9 years",1132.6
0180,Stockholm,31-40,Men,"Tertiary education, 2 years or longer",33761.9
0180,Stockholm,31-40,Men,"Tertiary education, shorter than 2 years",14830.0
0180,Stockholm,31-40,Men,Upper secondary school,19554.3
0180,Stockholm,31-40,Women,Postgraduate education,1167.3
0180,Stockholm,31-40,Women,"Primary school, 9/10 years",2299.1
0180,Stockholm,31-40,Women,"Primary school, shorter than 9 years",913.7
0180,Stockholm,31-40,Women,"Tertiary education, 2 years or longer",43722.9
0180,Stockholm,31-40,Women,"Tertiary education, shorter than 2 years",13654.1
0180,Stockholm,31-40,Women,Upper secondary school,14565.3
0180,Stockholm,41-50,Men,Postgraduate education,1816.6
0180,Stockholm,41-50,Men,"Primary school, 9/10 years",3893.1
0180,Stockholm,41-50,Men,"Primary school, shorter than 9 years",1311.9
0180,Stockholm,41-50,Men,"Tertiary education, 2 years or longer",24808.5
0180,Stockholm,41-50,Men,"Tertiary education, shorter than 2 years",10506.9
0180,Stockholm,41-50,Men,Upper secondary school,16482.8
0180,Stockholm,41-50,Women,Postgraduate education,1684.6
0180,Stockholm,41-50,Women,"Primary school, 9/10 years",2126.3
0180,Stockholm,41-50,Women,"Primary school, shorter than 9 years",1392.0
0180,Stockholm,41-50,Women,"Tertiary education, 2 years or longer",30869.5
0180,Stockholm,41-50,Women,"Tertiary education, shorter than 2 years",9123.8
0180,Stockholm,41-50,Women,Upper secondary school,13210.4
0180,Stockholm,51-60,Men,Postgraduate education,1820.1
0180,Stockholm,51-60,Men,"Primary school, 9/10 years",3981.1
0180,Stockholm,51-60,Men,"Primary school, shorter than 9 years",1320.7
0180,Stockholm,51-60,Men,"Tertiary education, 2 years or longer",18153.5
0180,Stockholm,51-60,Men,"Tertiary education, shorter than 2 years",9344.1
0180,Stockholm,51-60,Men,Upper secondary school,18285.7
0180,Stockholm,51-60,Women,Postgraduate education,1628.4
0180,Stockholm,51-60,Women,"Primary school, 9/10 years",2583.5
0180,Stockholm,51-60,Women,"Primary school, shorter than 9 years",1758.9
0180,Stockholm,51-60,Women,"Tertiary education, 2 years or longer",23239.3
0180,Stockholm,51-60,Women,"Tertiary education, shorter than 2 years",9045.4
0180,Stockholm,51-60,Women,Upper secondary school,16751.8
0180,Stockholm,61-70,Men,Postgraduate education,1521.2
0180,Stockholm,61-70,Men,"Primary school, 9/10 years",4006.8
0180,Stockholm,61-70,Men,"Primary school, shorter than 9 years",1210.4
0180,Stockholm,61-70,Men,"Tertiary education, 2 years or longer",12571.1
0180,Stockholm,61-70,Men,"Tertiary education, shorter than 2 years",7773.2
0180,Stockholm,61-70,Men,Upper secondary school,15997.2
0180,Stockholm,61-70,Women,Postgraduate education,1159.8
0180,Stockholm,61-70,Women,"Primary school, 9/10 years",2907.7
0180,Stockholm,61-70,Women,"Primary school, shorter than 9 years",1651.6
0180,Stockholm,61-70,Women,"Tertiary education, 2 years or longer",15446.4
0180,Stockholm,61-70,Women,"Tertiary education, shorter than 2 years",8842.3
0180,Stockholm,61-70,Women,Upper secondary school,16138.1
0180,Stockholm,71-104,Men,Postgraduate education,2046.2
0180,Stockholm,71-104,Men,"Primary school, 9/10 years",3810.3
0180,Stockholm,71-104,Men,"Primary school, shorter than 9 years",2980.7
0180,Stockholm,71-104,Men,"Tertiary education, 2 years or longer",13645.7
0180,Stockholm,71-104,Men,"Tertiary education, shorter than 2 years",6222.8
0180,Stockholm,71-104,Men,Upper secondary school,16006.8
0180,Stockholm,71-104,Women,Postgraduate education,1163.4
0180,Stockholm,71-104,Women,"Primary school, 9/10 years",4768.2
0180,Stockholm,71-104,Women,"Primary school, shorter than 9 years",4441.5
0180,Stockholm,71-104,Women,"Tertiary education, 2 years or longer",17257.3
0180,Stockholm,71-104,Women,"Tertiary education, shorter than 2 years",10081.2
0180,Stockholm,71-104,Women,Upper secondary school,20296.1
0181,Södertälje,18-22,Men,"Primary school, 9/10 years",2183.2
0181,Södertälje,18-22,Men,"Primary school, shorter than 9 years",19.1
0181,Södertälje,18-22,Men,"Tertiary education, 2 years or longer",146.2
0181,Södertälje,18-22,Men,"Tertiary education, shorter than 2 years",494.0
0181,Södertälje,18-22,Men,Upper secondary school,1937.1
0181,Södertälje,18-22,Women,"Primary school, 9/10 years",2028.1
0181,Södertälje,18-22,Women,"Primary school, shorter than 9 years",13.1
0181,Södertälje,18-22,Women,"Tertiary education, 2 years or longer",280.4
0181,Södertälje,18-22,Women,"Tertiary education, shorter than 2 years",638.1
0181,Södertälje,18-22,Women,Upper secondary school,1803.2
0181,Södertälje,23-30,Men,Postgraduate education,5.2
0181,Södertälje,23-30,Men,"Primary school, 9/10 years",339.2
0181,Södertälje,23-30,Men,"Primary school, shorter than 9 years",73.8
0181,Södertälje,23-30,Men,"Tertiary education, 2 years or longer",582.2
0181,Södertälje,23-30,Men,"Tertiary education, shorter than 2 years",493.4
0181,Södertälje,23-30,Men,Upper secondary school,1177.0
0181,Södertälje,23-30,Women,Postgraduate education,6.4
0181,Södertälje,23-30,Women,"Primary school, 9/10 years",182.2
0181,Södertälje,23-30,Women,"Primary school, shorter than 9 years",45.8
0181,Södertälje,23-30,Women,"Tertiary education, 2 years or longer",879.8
0181,Södertälje,23-30,Women,"Tertiary education, shorter than 2 years",488.6
0181,Södertälje,23-30,Women,Upper secondary school,874.1
0181,Södertälje,31-40,Men,Postgraduate education,34.3
0181,Södertälje,31-40,Men,"Primary school, 9/10 years",791.3
0181,Södertälje,31-40,Men,"Primary school, shorter than 9 years",275.4
0181,Södertälje,31-40,Men,"Tertiary education, 2 years or longer",1393.4
0181,Södertälje,31-40,Men,"Tertiary education, shorter than 2 years",1094.8
0181,Södertälje,31-40,Men,Upper secondary school,2584.6
0181,Södertälje,31-40,Women,Postgraduate education,28.5
0181,Södertälje,31-40,Women,"Primary school, 9/10 years",448.1
0181,Södertälje,31-40,Women,"Primary school, shorter than 9 years",183.7
0181,Södertälje,31-40,Women,"Tertiary education, 2 years or longer",2067.0
0181,Södertälje,31-40,Women,"Tertiary education, shorter than 2 years",1078.6
0181,Södertälje,31-40,Women,Upper secondary school,2110.8
0181,Södertälje,41-50,Men,Postgraduate education,56.3
0181,Södertälje,41-50,Men,"Primary school, 9/10 years",802.3
0181,Södertälje,41-50,Men,"Primary school, shorter than 9 years",373.6
0181,Södertälje,41-50,Men,"Tertiary education, 2 years or longer",1185.3
0181,Södertälje,41-50,Men,"Tertiary education, shorter than 2 years",868.2
0181,Södertälje,41-50,Men,Upper secondary school,2320.8
0181,Södertälje,41-50,Women,Postgraduate education,36.3
0181,Södertälje,41-50,Women,"Primary school, 9/10 years",435.0
0181,Södertälje,41-50,Women,"Primary school, shorter than 9 years",294.7
0181,Södertälje,41-50,Women,"Tertiary education, 2 years or longer",1590.6
0181,Södertälje,41-50,Women,"Tertiary education, shorter than 2 years",821.3
0181,Södertälje,41-50,Women,Upper secondary school,2023.0
0181,Södertälje,51-60,Men,Postgraduate education,64.4
0181,Södertälje,51-60,Men,"Primary school, 9/10 years",831.8
0181,Södertälje,51-60,Men,"Primary school, shorter than 9 years",420.7
0181,Södertälje,51-60,Men,"Tertiary education, 2 years or longer",920.3
0181,Södertälje,51-60,Men,"Tertiary education, shorter than 2 years",860.8
0181,Södertälje,51-60,Men,Upper secondary school,2512.7
0181,Södertälje,51-60,Women,Postgraduate education,36.7
0181,Södertälje,51-60,Women,"Primary school, 9/10 years",506.1
0181,Södertälje,51-60,Women,"Primary school, shorter than 9 years",414.5
0181,Södertälje,51-60,Women,"Tertiary education, 2 years or longer",1190.0
0181,Södertälje,51-60,Women,"Tertiary education, shorter than 2 years",796.5
0181,Södertälje,51-60,Women,Upper secondary school,2314.1
0181,Södertälje,61-70,Men,Postgraduate education,48.0
0181,Södertälje,61-70,Men,"Primary school, 9/10 years",652.7
0181,Södertälje,61-70,Men,"Primary school, shorter than 9 years",422.8
0181,Södertälje,61-70,Men,"Tertiary education, 2 years or longer",597.9
0181,Södertälje,61-70,Men,"Tertiary education, shorter than 2 years",690.7
0181,Södertälje,61-70,Men,Upper secondary school,1942.9
0181,Södertälje,61-70,Women,Postgraduate education,26.2
0181,Södertälje,61-70,Women,"Primary school, 9/10 years",461.9
0181,Södertälje,61-70,Women,"Primary school, shorter than 9 years",473.8
0181,Södertälje,61-70,Women,"Tertiary education, 2 years or longer",736.6
0181,Södertälje,61-70,Women,"Tertiary education, shorter than 2 years",643.5
0181,Södertälje,61-70,Women,Upper secondary school,1855.0
0181,Södertälje,71-104,Men,Postgraduate education,41.7
0181,Södertälje,71-104,Men,"Primary school, 9/10 years",551.9
0181,Södertälje,71-104,Men,"Primary school, shorter than 9 years",781.3
0181,Södertälje,71-104,Men,"Tertiary education, 2 years or longer",575.6
0181,Södertälje,71-104,Men,"Tertiary education, shorter than 2 years",525.1
0181,Södertälje,71-104,Men,Upper secondary school,1828.7
0181,Södertälje,71-104,Women,Postgraduate education,18.4
0181,Södertälje,71-104,Women,"Primary school, 9/10 years",610.9
0181,Södertälje,71-104,Women,"Primary school, shorter than 9 years",1045.8
0181,Södertälje,71-104,Women,"Tertiary education, 2 years or longer",752.2
0181,Södertälje,71-104,Women,"Tertiary education, shorter than 2 years",717.0
0181,Södertälje,71-104,Women,Upper secondary school,2186.6
0182,Nacka,18-22,Men,"Primary school, 9/10 years",2794.6
0182,Nacka,18-22,Men,"Primary school, shorter than 9 years",11.5
0182,Nacka,18-22,Men,"Tertiary education, 2 years or longer",156.1
0182,Nacka,18-22,Men,"Tertiary education, shorter than 2 years",613.2
0182,Nacka,18-22,Men,Upper secondary school,2488.5
0182,Nacka,18-22,Women,"Primary school, 9/10 years",2462.6
0182,Nacka,18-22,Women,"Primary school, shorter than 9 years",3.2
0182,Nacka,18-22,Women,"Tertiary education, 2 years or longer",232.5
0182,Nacka,18-22,Women,"Tertiary education, shorter than 2 years",686.9
0182,Nacka,18-22,Women,Upper secondary school,2166.0
0182,Nacka,23-30,Men,Postgraduate education,11.1
0182,Nacka,23-30,Men,"Primary school, 9/10 years",147.4
0182,Nacka,23-30,Men,"Primary school, shorter than 9 years",26.2
0182,Nacka,23-30,Men,"Tertiary education, 2 years or longer",768.6
0182,Nacka,23-30,Men,"Tertiary education, shorter than 2 years",529.0
0182,Nacka,23-30,Men,Upper secondary school,859.5
0182,Nacka,23-30,Women,Postgraduate education,11.9
0182,Nacka,23-30,Women,"Primary school, 9/10 years",77.0
0182,Nacka,23-30,Women,"Primary school, shorter than 9 years",15.7
0182,Nacka,23-30,Women,"Tertiary education, 2 years or longer",1105.8
0182,Nacka,23-30,Women,"Tertiary education, shorter than 2 years",472.8
0182,Nacka,23-30,Women,Upper secondary school,588.2
0182,Nacka,31-40,Men,Postgraduate education,71.3
0182,Nacka,31-40,Men,"Primary school, 9/10 years",377.7
0182,Nacka,31-40,Men,"Primary school, shorter than 9 years",74.0
0182,Nacka,31-40,Men,"Tertiary education, 2 years or longer",2536.6
0182,Nacka,31-40,Men,"Tertiary education, shorter than 2 years",1396.3
0182,Nacka,31-40,Men,Upper secondary school,2094.4
0182,Nacka,31-40,Women,Postgraduate education,80.5
0182,Nacka,31-40,Women,"Primary school, 9/10 years",196.1
0182,Nacka,31-40,Women,"Primary school, shorter than 9 years",52.9
0182,Nacka,31-40,Women,"Tertiary education, 2 years or longer",3713.7
0182,Nacka,31-40,Women,"Tertiary education, shorter than 2 years",1323.8
0182,Nacka,31-40,Women,Upper secondary school,1553.5
0182,Nacka,41-50,Men,Postgraduate education,138.9
0182,Nacka,41-50,Men,"Primary school, 9/10 years",361.1
0182,Nacka,41-50,Men,"Primary school, shorter than 9 years",69.7
0182,Nacka,41-50,Men,"Tertiary education, 2 years or longer",2998.7
0182,Nacka,41-50,Men,"Tertiary education, shorter than 2 years",1301.2
0182,Nacka,41-50,Men,Upper secondary school,2040.6
0182,Nacka,41-50,Women,Postgraduate education,140.0
0182,Nacka,41-50,Women,"Primary school, 9/10 years",165.6
0182,Nacka,41-50,Women,"Primary school, shorter than 9 years",71.4
0182,Nacka,41-50,Women,"Tertiary education, 2 years or longer",4037.0
0182,Nacka,41-50,Women,"Tertiary education, shorter than 2 years",1172.0
0182,Nacka,41-50,Women,Upper secondary school,1643.8
0182,Nacka,51-60,Men,Postgraduate education,192.8
0182,Nacka,51-60,Men,"Primary school, 9/10 years",426.4
0182,Nacka,51-60,Men,"Primary school, shorter than 9 years",66.5
0182,Nacka,51-60,Men,"Tertiary education, 2 years or longer",2659.2
0182,Nacka,51-60,Men,"Tertiary education, shorter than 2 years",1328.4
0182,Nacka,51-60,Men,Upper secondary school,2368.6
0182,Nacka,51-60,Women,Postgraduate education,151.3
0182,Nacka,51-60,Women,"Primary school, 9/10 years",212.3
0182,Nacka,51-60,Women,"Primary school, shorter than 9 years",96.3
0182,Nacka,51-60,Women,"Tertiary education, 2 years or longer",3309.4
0182,Nacka,51-60,Women,"Tertiary education, shorter than 2 years",1218.8
0182,Nacka,51-60,Women,Upper secondary school,2227.3
0182,Nacka,61-70,Men,Postgraduate education,155.7
0182,Nacka,61-70,Men,"Primary school, 9/10 years",410.8
0182,Nacka,61-70,Men,"Primary school, shorter than 9 years",63.7
0182,Nacka,61-70,Men,"Tertiary education, 2 years or longer",1476.8
0182,Nacka,61-70,Men,"Tertiary education, shorter than 2 years",941.1
0182,Nacka,61-70,Men,Upper secondary school,1768.2
0182,Nacka,61-70,Women,Postgraduate education,103.3
0182,Nacka,61-70,Women,"Primary school, 9/10 years",259.4
0182,Nacka,61-70,Women,"Primary school, shorter than 9 years",97.1
0182,Nacka,61-70,Women,"Tertiary education, 2 years or longer",1762.5
0182,Nacka,61-70,Women,"Tertiary education, shorter than 2 years",1031.9
0182,Nacka,61-70,Women,Upper secondary school,1873.9
0182,Nacka,71-104,Men,Postgraduate education,210.6
0182,Nacka,71-104,Men,"Primary school, 9/10 years",461.2
0182,Nacka,71-104,Men,"Primary school, shorter than 9 years",370.3
0182,Nacka,71-104,Men,"Tertiary education, 2 years or longer",1738.9
0182,Nacka,71-104,Men,"Tertiary education, shorter than 2 years",851.1
0182,Nacka,71-104,Men,Upper secondary school,2219.5
0182,Nacka,71-104,Women,Postgraduate education,123.2
0182,Nacka,71-104,Women,"Primary school, 9/10 years",605.9
0182,Nacka,71-104,Women,"Primary school, shorter than 9 years",488.3
0182,Nacka,71-104,Women,"Tertiary education, 2 years or longer",2054.1
0182,Nacka,71-104,Women,"Tertiary education, shorter than 2 years",1320.4
0182,Nacka,71-104,Women,Upper secondary school,2743.4
0183,Sundbyberg,18-22,Men,"Primary school, 9/10 years",889.3
0183,Sundbyberg,18-22,Men,"Primary school, shorter than 9 years",9.5
0183,Sundbyberg,18-22,Men,"Tertiary education, 2 years or longer",69.5
0183,Sundbyberg,18-22,Men,"Tertiary education, shorter than 2 years",259.9
0183,Sundbyberg,18-22,Men,Upper secondary school,850.2
0183,Sundbyberg,18-22,Women,"Primary school, 9/10 years",809.9
0183,Sundbyberg,18-22,Women,"Primary school, shorter than 9 years",4.9
0183,Sundbyberg,18-22,Women,"Tertiary education, 2 years or longer",150.6
0183,Sundbyberg,18-22,Women,"Tertiary education, shorter than 2 years",293.3
0183,Sundbyberg,18-22,Women,Upper secondary school,805.0
0183,Sundbyberg,23-30,Men,Postgraduate education,20.5
0183,Sundbyberg,23-30,Men,"Primary school, 9/10 years",124.2
0183,Sundbyberg,23-30,Men,"Primary school, shorter than 9 years",21.2
0183,Sundbyberg,23-30,Men,"Tertiary education, 2 years or longer",824.6
0183,Sundbyberg,23-30,Men,"Tertiary education, shorter than 2 years",425.2
0183,Sundbyberg,23-30,Men,Upper secondary school,628.3
0183,Sundbyberg,23-30,Women,Postgraduate education,15.2
0183,Sundbyberg,23-30,Women,"Primary school, 9/10 years",72.9
0183,Sundbyberg,23-30,Women,"Primary school, shorter than 9 years",16.7
0183,Sundbyberg,23-30,Women,"Tertiary education, 2 years or longer",1231.4
0183,Sundbyberg,23-30,Women,"Tertiary education, shorter than 2 years",424.9
0183,Sundbyberg,23-30,Women,Upper secondary school,482.6
0183,Sundbyberg,31-40,Men,Postgraduate education,99.4
0183,Sundbyberg,31-40,Men,"Primary school, 9/10 years",359.9
0183,Sundbyberg,31-40,Men,"Primary school, shorter than 9 years",93.2
0183,Sundbyberg,31-40,Men,"Tertiary education, 2 years or longer",2135.4
0183,Sundbyberg,31-40,Men,"Tertiary education, shorter than 2 years",1050.4
0183,Sundbyberg,31-40,Men,Upper secondary school,1570.1
0183,Sundbyberg,31-40,Women,Postgraduate education,73.0
0183,Sundbyberg,31-40,Women,"Primary school, 9/10 years",185.2
0183,Sundbyberg,31-40,Women,"Primary school, shorter than 9 years",59.5
0183,Sundbyberg,31-40,Women,"Tertiary education, 2 years or longer",2757.8
0183,Sundbyberg,31-40,Women,"Tertiary education, shorter than 2 years",966.2
0183,Sundbyberg,31-40,Women,Upper secondary school,1129.8
0183,Sundbyberg,41-50,Men,Postgraduate education,94.3
0183,Sundbyberg,41-50,Men,"Primary school, 9/10 years",260.5
0183,Sundbyberg,41-50,Men,"Primary school, shorter than 9 years",89.1
0183,Sundbyberg,41-50,Men,"Tertiary education, 2 years or longer",1212.4
0183,Sundbyberg,41-50,Men,"Tertiary education, shorter than 2 years",600.7
0183,Sundbyberg,41-50,Men,Upper secondary school,1066.2
0183,Sundbyberg,41-50,Women,Postgraduate education,74.4
0183,Sundbyberg,41-50,Women,"Primary school, 9/10 years",136.7
0183,Sundbyberg,41-50,Women,"Primary school, shorter than 9 years",77.4
0183,Sundbyberg,41-50,Women,"Tertiary education, 2 years or longer",1492.8
0183,Sundbyberg,41-50,Women,"Tertiary education, shorter than 2 years",511.1
0183,Sundbyberg,41-50,Women,Upper secondary school,856.3
0183,Sundbyberg,51-60,Men,Postgraduate education,68.9
0183,Sundbyberg,51-60,Men,"Primary school, 9/10 years",257.6
0183,Sundbyberg,51-60,Men,"Primary school, shorter than 9 years",78.6
0183,Sundbyberg,51-60,Men,"Tertiary education, 2 years or longer",701.1
0183,Sundbyberg,51-60,Men,"Tertiary education, shorter than 2 years",467.1
0183,Sundbyberg,51-60,Men,Upper secondary school,1060.5
0183,Sundbyberg,51-60,Women,Postgraduate education,52.3
0183,Sundbyberg,51-60,Women,"Primary school, 9/10 years",158.1
0183,Sundbyberg,51-60,Women,"Primary school, shorter than 9 years",96.6
0183,Sundbyberg,51-60,Women,"Tertiary education, 2 years or longer",879.5
0183,Sundbyberg,51-60,Women,"Tertiary education, shorter than 2 years",396.5
0183,Sundbyberg,51-60,Women,Upper secondary school,973.4
0183,Sundbyberg,61-70,Men,Postgraduate education,43.5
0183,Sundbyberg,61-70,Men,"Primary school, 9/10 years",255.2
0183,Sundbyberg,61-70,Men,"Primary school, shorter than 9 years",73.8
0183,Sundbyberg,61-70,Men,"Tertiary education, 2 years or longer",398.7
0183,Sundbyberg,61-70,Men,"Tertiary education, shorter than 2 years",361.2
0183,Sundbyberg,61-70,Men,Upper secondary school,884.0
0183,Sundbyberg,61-70,Women,Postgraduate education,32.2
0183,Sundbyberg,61-70,Women,"Primary school, 9/10 years",189.7
0183,Sundbyberg,61-70,Women,"Primary school, shorter than 9 years",101.3
0183,Sundbyberg,61-70,Women,"Tertiary education, 2 years or longer",530.2
0183,Sundbyberg,61-70,Women,"Tertiary education, shorter than 2 years",392.3
0183,Sundbyberg,61-70,Women,Upper secondary school,945.8
0183,Sundbyberg,71-104,Men,Postgraduate education,38.1
0183,Sundbyberg,71-104,Men,"Primary school, 9/10 years",240.5
0183,Sundbyberg,71-104,Men,"Primary school, shorter than 9 years",212.9
0183,Sundbyberg,71-104,Men,"Tertiary education, 2 years or longer",379.5
0183,Sundbyberg,71-104,Men,"Tertiary education, shorter than 2 years",255.6
0183,Sundbyberg,71-104,Men,Upper secondary school,855.8
0183,Sundbyberg,71-104,Women,Postgraduate education,19.2
0183,Sundbyberg,71-104,Women,"Primary school, 9/10 years",251.3
0183,Sundbyberg,71-104,Women,"Primary school, shorter than 9 years",270.6
0183,Sundbyberg,71-104,Women,"Tertiary education, 2 years or longer",466.6
0183,Sundbyberg,71-104,Women,"Tertiary education, shorter than 2 years",372.3
0183,Sundbyberg,71-104,Women,Upper secondary school,1030.1
0184,Solna,18-22,Men,"Primary school, 9/10 years",1058.6
0184,Solna,18-22,Men,"Primary school, shorter than 9 years",14.7
0184,Solna,18-22,Men,"Tertiary education, 2 years or longer",379.5
0184,Solna,18-22,Men,"Tertiary education, shorter than 2 years",703.0
0184,Solna,18-22,Men,Upper secondary school,1104.6
0184,Solna,18-22,Women,"Primary school, 9/10 years",962.8
0184,Solna,18-22,Women,"Primary school, shorter than 9 years",5.5
0184,Solna,18-22,Women,"Tertiary education, 2 years or longer",427.2
0184,Solna,18-22,Women,"Tertiary education, shorter than 2 years",760.8
0184,Solna,18-22,Women,Upper secondary school,970.1
0184,Solna,23-30,Men,Postgraduate education,72.4
0184,Solna,23-30,Men,"Primary school, 9/10 years",105.1
0184,Solna,23-30,Men,"Primary school, shorter than 9 years",18.2
0184,Solna,23-30,Men,"Tertiary education, 2 years or longer",1745.5
0184,Solna,23-30,Men,"Tertiary education, shorter than 2 years",626.8
0184,Solna,23-30,Men,Upper secondary school,665.3
0184,Solna,23-30,Women,Postgraduate education,74.4
0184,Solna,23-30,Women,"Primary school, 9/10 years",56.7
0184,Solna,23-30,Women,"Primary school, shorter than 9 years",12.3
0184,Solna,23-30,Women,"Tertiary education, 2 years or longer",2110.7
0184,Solna,23-30,Women,"Tertiary education, shorter than 2 years",561.1
0184,Solna,23-30,Women,Upper secondary school,466.9
0184,Solna,31-40,Men,Postgraduate education,320.9
0184,Solna,31-40,Men,"Primary school, 9/10 years",274.0
0184,Solna,31-40,Men,"Primary school, shorter than 9 years",45.5
0184,Solna,31-40,Men,"Tertiary education, 2 years or longer",4010.9
0184,Solna,31-40,Men,"Tertiary education, shorter than 2 years",1380.9
0184,Solna,31-40,Men,Upper secondary school,1478.0
0184,Solna,31-40,Women,Postgraduate education,279.7
0184,Solna,31-40,Women,"Primary school, 9/10 years",139.5
0184,Solna,31-40,Women,"Primary school, shorter than 9 years",40.5
0184,Solna,31-40,Women,"Tertiary education, 2 years or longer",4360.4
0184,Solna,31-40,Women,"Tertiary education, shorter than 2 years",1160.5
0184,Solna,31-40,Women,Upper secondary school,1036.0
0184,Solna,41-50,Men,Postgraduate education,297.6
0184,Solna,41-50,Men,"Primary school, 9/10 years",238.2
0184,Solna,41-50,Men,"Primary school, shorter than 9 years",40.0
0184,Solna,41-50,Men,"Tertiary education, 2 years or longer",2342.7
0184,Solna,41-50,Men,"Tertiary education, shorter than 2 years",826.4
0184,Solna,41-50,Men,Upper secondary school,1172.3
0184,Solna,41-50,Women,Postgraduate education,245.3
0184,Solna,41-50,Women,"Primary school, 9/10 years",116.5
0184,Solna,41-50,Women,"Primary school, shorter than 9 years",55.3
0184,Solna,41-50,Women,"Tertiary education, 2 years or longer",2388.3
0184,Solna,41-50,Women,"Tertiary education, shorter than 2 years",659.8
0184,Solna,41-50,Women,Upper secondary school,923.1
0184,Solna,51-60,Men,Postgraduate education,189.0
0184,Solna,51-60,Men,"Primary school, 9/10 years",243.5
0184,Solna,51-60,Men,"Primary school, shorter than 9 years",42.6
0184,Solna,51-60,Men,"Tertiary education, 2 years or longer",1278.1
0184,Solna,51-60,Men,"Tertiary education, shorter than 2 years",643.1
0184,Solna,51-60,Men,Upper secondary school,1291.2
0184,Solna,51-60,Women,Postgraduate education,154.5
0184,Solna,51-60,Women,"Primary school, 9/10 years",169.3
0184,Solna,51-60,Women,"Primary school, shorter than 9 years",78.5
0184,Solna,51-60,Women,"Tertiary education, 2 years or longer",1547.5
0184,Solna,51-60,Women,"Tertiary education, shorter than 2 years",601.2
0184,Solna,51-60,Women,Upper secondary school,1250.5
0184,Solna,61-70,Men,Postgraduate education,149.4
0184,Solna,61-70,Men,"Primary school, 9/10 years",254.6
0184,Solna,61-70,Men,"Primary school, shorter than 9 years",54.3
0184,Solna,61-70,Men,"Tertiary education, 2 years or longer",764.4
0184,Solna,61-70,Men,"Tertiary education, shorter than 2 years",549.2
0184,Solna,61-70,Men,Upper secondary school,1183.0
0184,Solna,61-70,Women,Postgraduate education,98.3
0184,Solna,61-70,Women,"Primary school, 9/10 years",214.7
0184,Solna,61-70,Women,"Primary school, shorter than 9 years",93.3
0184,Solna,61-70,Women,"Tertiary education, 2 years or longer",1001.6
0184,Solna,61-70,Women,"Tertiary education, shorter than 2 years",613.6
0184,Solna,61-70,Women,Upper secondary school,1239.2
0184,Solna,71-104,Men,Postgraduate education,163.9
0184,Solna,71-104,Men,"Primary school, 9/10 years",304.9
0184,Solna,71-104,Men,"Primary school, shorter than 9 years",248.1
0184,Solna,71-104,Men,"Tertiary education, 2 years or longer",858.1
0184,Solna,71-104,Men,"Tertiary education, shorter than 2 years",522.3
0184,Solna,71-104,Men,Upper secondary school,1388.4
0184,Solna,71-104,Women,Postgraduate education,82.2
0184,Solna,71-104,Women,"Primary school, 9/10 years",423.0
0184,Solna,71-104,Women,"Primary school, shorter than 9 years",434.6
0184,Solna,71-104,Women,"Tertiary education, 2 years or longer",1150.0
0184,Solna,71-104,Women,"Tertiary education, shorter than 2 years",819.8
0184,Solna,71-104,Women,Upper secondary school,1839.0
0186,Lidingö,18-22,Men,"Primary school, 9/10 years",1225.3
0186,Lidingö,18-22,Men,"Primary school, shorter than 9 years",9.4
0186,Lidingö,18-22,Men,"Tertiary education, 2 years or longer",97.4
0186,Lidingö,18-22,Men,"Tertiary education, shorter than 2 years",285.9
0186,Lidingö,18-22,Men,Upper secondary school,1105.0
0186,Lidingö,18-22,Women,"Primary school, 9/10 years",1070.8
0186,Lidingö,18-22,Women,"Primary school, shorter than 9 years",1.0
0186,Lidingö,18-22,Women,"Tertiary education, 2 years or longer",102.3
0186,Lidingö,18-22,Women,"Tertiary education, shorter than 2 years",328.1
0186,Lidingö,18-22,Women,Upper secondary school,936.5
0186,Lidingö,23-30,Men,Postgraduate education,6.4
0186,Lidingö,23-30,Men,"Primary school, 9/10 years",52.8
0186,Lidingö,23-30,Men,"Primary school, shorter than 9 years",6.4
