municipality_code,municipality,age_group,gender,education_level,N
0114,Upplands Väsby,71-104,Women,"Primary school, 9/10 years",315.7
0114,Upplands Väsby,71-104,Women,"Primary school, shorter than 9 years",410.9
0114,Upplands Väsby,71-104,Women,"Tertiary education, 2 years or longer",506.1
0114,Upplands Väsby,71-104,Women,"Tertiary education, shorter than 2 years",435.7
0114,Upplands Väsby,71-104,Women,Upper secondary school,1364.6
0115,Vallentuna,18-22,Men,"Primary school, 9/10 years",883.9
0115,Vallentuna,18-22,Men,"Primary school, shorter than 9 years",7.4
0115,Vallentuna,18-22,Men,"Tertiary education, 2 years or longer",33.7
0115,Vallentuna,18-22,Men,"Tertiary education, shorter than 2 years",153.6
0115,Vallentuna,18-22,Men,Upper secondary school,896.5
0115,Vallentuna,18-22,Women,"Primary school, 9/10 years",835.5
0115,Vallentuna,18-22,Women,"Primary school, shorter than 9 years",2.2
0115,Vallentuna,18-22,Women,"Tertiary education, 2 years or longer",63.6
0115,Vallentuna,18-22,Women,"Tertiary education, shorter than 2 years",172.9
0115,Vallentuna,18-22,Women,Upper secondary school,753.8
0115,Vallentuna,23-30,Men,Postgraduate education,2.8
0115,Vallentuna,23-30,Men,"Primary school, 9/10 years",55.9
0115,Vallentuna,23-30,Men,"Primary school, shorter than 9 years",8.8
0115,Vallentuna,23-30,Men,"Tertiary education, 2 years or longer",143.4
0115,Vallentuna,23-30,Men,"Tertiary education, shorter than 2 years",134.2
0115,Vallentuna,23-30,Men,Upper secondary school,351.0
0115,Vallentuna,23-30,Women,Postgraduate education,3.1
0115,Vallentuna,23-30,Women,"Primary school, 9/10 years",23.1
0115,Vallentuna,23-30,Women,"Primary school, shorter than 9 years",1.4
0115,Vallentuna,23-30,Women,"Tertiary education, 2 years or longer",211.8
0115,Vallentuna,23-30,Women,"Tertiary education, shorter than 2 years",116.8
0115,Vallentuna,23-30,Women,Upper secondary school,200.3
0115,Vallentuna,31-40,Men,Postgraduate education,24.6
0115,Vallentuna,31-40,Men,"Primary school, 9/10 years",161.3
0115,Vallentuna,31-40,Men,"Primary school, shorter than 9 years",26.7
0115,Vallentuna,31-40,Men,"Tertiary education, 2 years or longer",514.6
0115,Vallentuna,31-40,Men,"Tertiary education, shorter than 2 years",389.0
0115,Vallentuna,31-40,Men,Upper secondary school,900.1
0115,Vallentuna,31-40,Women,Postgraduate education,24.5
0115,Vallentuna,31-40,Women,"Primary school, 9/10 years",78.2
0115,Vallentuna,31-40,Women,"Primary school, shorter than 9 years",8.3
0115,Vallentuna,31-40,Women,"Tertiary education, 2 years or longer",902.0
0115,Vallentuna,31-40,Women,"Tertiary education, shorter than 2 years",392.9
0115,Vallentuna,31-40,Women,Upper secondary school,661.8
0115,Vallentuna,41-50,Men,Postgraduate education,51.3
0115,Vallentuna,41-50,Men,"Primary school, 9/10 years",158.8
